617 3344
1 8 41
2 19 6
3 13 46
4 25 36
5 16 33
6 7 48
7 21 48
8 16 34
9 30 17
10 12 15
11 27 33
12 27 18
13 25 45
14 20 19
15 10 7
16 10 7
17 29 11
18 2 21
19 26 48
20 18 3
21 21 36
22 10 1
23 14 37
24 6 23
25 24 7
26 29 2
27 22 18
28 19 48
29 24 28
30 26 43
31 26 6
32 11 35
33 18 14
34 5 25
35 22 15
36 7 42
37 30 28
38 14 35
39 24 30
40 18 19
41 6 48
42 21 29
43 17 41
44 26 31
45 1 42
46 13 6
47 19 26
48 20 18
49 19 47
50 2 50
51 23 18
52 21 12
53 7 35
54 27 10
55 24 6
56 9 1
57 5 1
58 10 24
59 21 7
60 24 11
61 18 28
62 9 48
63 13 8
64 25 42
65 6 6
66 3 20
67 25 34
68 12 21
69 20 30
70 1 33
71 27 11
72 25 41
73 21 16
74 14 3
75 23 19
76 24 22
77 19 32
78 22 3
79 21 36
80 24 49
81 4 37
82 8 18
83 12 1
84 29 41
85 10 21
86 5 18
87 13 9
88 29 43
89 17 24
90 27 49
91 25 10
92 2 43
93 13 43
94 5 36
95 1 41
96 14 24
97 9 3
98 1 2
99 24 31
100 12 35
101 11 18
102 23 33
103 28 13
104 17 4
105 8 24
106 14 34
107 25 26
108 28 28
109 30 25
110 25 50
111 15 48
112 3 45
113 12 16
114 26 7
115 16 39
116 22 49
117 28 46
118 3 35
119 10 10
120 9 47
121 25 42
122 3 21
123 29 10
124 10 41
125 24 14
126 20 50
127 3 15
128 14 15
129 2 41
130 11 29
131 21 14
132 27 38
133 29 12
134 5 20
135 3 13
136 9 7
137 26 1
138 29 25
139 10 29
140 15 44
141 12 6
142 25 5
143 2 39
144 21 3
145 1 43
146 12 14
147 17 10
148 23 17
149 21 27
150 7 43
151 1 5
152 11 47
153 25 30
154 13 16
155 18 39
156 21 1
157 14 6
158 27 18
159 16 27
160 10 28
161 10 3
162 21 28
163 5 46
164 16 35
165 24 32
166 10 15
167 28 32
168 21 44
169 13 35
170 2 22
171 13 22
172 13 18
173 7 29
174 25 24
175 18 7
176 22 29
177 9 44
178 28 23
179 9 3
180 30 13
181 27 41
182 19 26
183 4 41
184 30 37
185 25 33
186 8 47
187 14 32
188 16 33
189 13 1
190 26 20
191 7 9
192 10 17
193 13 7
194 12 43
195 19 3
196 7 47
197 25 35
198 23 18
199 25 44
200 6 49
201 6 14
202 17 29
203 17 13
204 23 9
205 5 21
206 20 23
207 19 29
208 9 31
209 27 32
210 14 48
211 14 30
212 14 28
213 7 18
214 28 41
215 11 3
216 12 36
217 8 40
218 27 15
219 14 31
220 15 18
221 21 5
222 12 30
223 25 31
224 2 22
225 2 37
226 29 48
227 19 14
228 7 35
229 2 24
230 17 42
231 7 18
232 20 46
233 10 48
234 22 13
235 18 37
236 3 29
237 3 24
238 10 27
239 26 21
240 10 20
241 18 20
242 27 26
243 26 43
244 22 17
245 29 38
246 30 47
247 28 39
248 2 17
249 18 4
250 21 16
251 30 13
252 6 34
253 29 5
254 12 44
255 17 12
256 13 36
257 13 31
258 1 18
259 26 24
260 26 44
261 22 46
262 20 19
263 6 33
264 17 26
265 6 17
266 21 27
267 22 38
268 20 20
269 2 24
270 5 20
271 15 30
272 6 19
273 10 18
274 19 35
275 12 24
276 20 5
277 1 19
278 13 9
279 14 11
280 14 39
281 19 26
282 8 12
283 13 29
284 21 6
285 12 48
286 15 38
287 27 30
288 7 36
289 18 47
290 3 41
291 22 2
292 15 45
293 23 19
294 13 26
295 9 38
296 16 9
297 13 33
298 21 27
299 12 1
300 22 15
301 20 6
302 3 26
303 18 9
304 14 35
305 17 36
306 17 28
307 7 21
308 22 11
309 19 26
310 18 19
311 13 4
312 7 27
313 18 47
314 3 1
315 30 34
316 6 49
317 22 18
318 27 29
319 8 40
320 5 34
321 25 41
322 23 13
323 21 35
324 6 1
325 10 13
326 19 25
327 26 45
328 23 4
329 14 6
330 4 43
331 11 19
332 23 32
333 8 19
334 2 15
335 28 26
336 8 34
337 26 11
338 29 28
339 7 24
340 8 8
341 18 46
342 14 4
343 13 37
344 19 38
345 24 14
346 30 34
347 15 22
348 28 22
349 11 29
350 29 50
351 5 38
352 6 20
353 20 34
354 8 46
355 29 27
356 26 46
357 25 39
358 21 17
359 15 11
360 16 18
361 7 35
362 4 11
363 28 21
364 4 50
365 29 24
366 30 5
367 22 37
368 17 11
369 22 24
370 7 30
371 22 14
372 27 26
373 2 30
374 14 27
375 10 49
376 16 16
377 5 49
378 28 43
379 19 14
380 2 20
381 17 43
382 4 50
383 19 50
384 11 50
385 5 19
386 21 27
387 2 8
388 4 33
389 27 48
390 11 28
391 8 7
392 6 33
393 15 25
394 15 26
395 18 18
396 5 27
397 1 20
398 26 41
399 20 36
400 13 46
401 6 25
402 4 37
403 12 28
404 2 20
405 17 32
406 20 24
407 8 45
408 28 45
409 19 32
410 10 9
411 12 14
412 25 14
413 13 12
414 6 4
415 10 48
416 10 5
417 13 25
418 14 6
419 12 15
420 8 30
421 18 27
422 6 36
423 21 13
424 2 41
425 7 1
426 29 48
427 16 35
428 13 50
429 27 18
430 14 46
431 6 5
432 20 40
433 19 43
434 25 33
435 9 24
436 12 7
437 20 19
438 14 22
439 12 25
440 3 30
441 17 13
442 27 42
443 8 39
444 21 44
445 26 46
446 9 23
447 2 40
448 2 33
449 15 9
450 5 43
451 12 28
452 11 34
453 17 44
454 17 30
455 30 19
456 29 46
457 4 37
458 17 31
459 17 30
460 6 34
461 25 16
462 27 29
463 25 20
464 1 41
465 30 25
466 24 14
467 4 36
468 27 2
469 12 3
470 23 1
471 24 41
472 27 9
473 29 35
474 29 5
475 4 14
476 11 41
477 1 49
478 9 35
479 18 31
480 26 50
481 27 11
482 13 10
483 28 11
484 4 29
485 5 46
486 20 40
487 9 26
488 8 17
489 12 38
490 14 26
491 23 14
492 28 33
493 22 38
494 10 31
495 28 45
496 2 24
497 7 46
498 15 4
499 28 48
500 13 23
501 6 14
502 14 34
503 1 12
504 12 2
505 11 25
506 19 4
507 10 48
508 26 3
509 5 5
510 16 4
511 1 17
512 17 9
513 15 14
514 25 22
515 11 49
516 6 6
517 22 10
518 21 2
519 3 43
520 3 23
521 27 34
522 16 9
523 21 14
524 21 16
525 30 46
526 11 23
527 15 48
528 21 29
529 21 45
530 2 23
531 13 48
532 1 6
533 27 21
534 17 31
535 23 12
536 3 32
537 17 31
538 10 27
539 14 50
540 24 15
541 28 15
542 27 14
543 24 20
544 24 26
545 24 45
546 28 9
547 24 28
548 16 2
549 11 25
550 2 13
551 6 37
552 14 34
553 7 33
554 20 12
555 15 6
556 16 34
557 10 15
558 29 33
559 14 42
560 30 49
561 8 7
562 27 34
563 17 25
564 5 37
565 29 19
566 21 34
567 25 45
568 9 21
569 19 28
570 4 15
571 3 11
572 20 4
573 15 48
574 28 8
575 1 47
576 27 31
577 16 15
578 24 42
579 19 48
580 20 37
581 18 30
582 12 22
583 14 40
584 4 5
585 10 27
586 11 4
587 18 21
588 8 14
589 18 47
590 22 11
591 24 30
592 11 49
593 24 4
594 2 35
595 23 21
596 21 21
597 30 45
598 14 26
599 6 38
600 22 5
601 16 2
602 19 5
603 2 18
604 19 42
605 14 42
606 22 9
607 11 44
608 29 14
609 27 50
610 30 1
611 12 21
612 13 24
613 7 17
614 9 2
615 6 32
616 27 23
617 23 17
