623 3290
1 17 34
2 18 50
3 29 39
4 11 8
5 29 44
6 18 24
7 22 18
8 24 44
9 21 46
10 7 14
11 12 35
12 24 13
13 30 45
14 11 12
15 8 37
16 11 36
17 2 38
18 5 23
19 8 37
20 12 36
21 2 49
22 22 25
23 16 35
24 8 9
25 20 34
26 22 43
27 30 36
28 7 9
29 30 28
30 3 9
31 26 15
32 14 40
33 25 30
34 12 32
35 16 43
36 30 47
37 21 31
38 23 9
39 27 41
40 27 48
41 6 38
42 30 46
43 25 46
44 26 5
45 23 28
46 15 41
47 25 11
48 30 49
49 30 43
50 12 8
51 25 1
52 24 27
53 23 27
54 5 49
55 9 3
56 26 44
57 3 35
58 19 17
59 23 45
60 21 7
61 4 38
62 17 18
63 18 28
64 8 37
65 10 2
66 24 6
67 22 50
68 3 37
69 18 17
70 25 48
71 22 33
72 1 14
73 29 32
74 20 1
75 26 3
76 20 1
77 30 8
78 11 37
79 6 40
80 25 5
81 21 21
82 11 45
83 12 45
84 11 1
85 11 17
86 8 34
87 9 40
88 17 20
89 11 27
90 12 48
91 9 31
92 19 20
93 29 19
94 8 24
95 30 34
96 10 1
97 4 42
98 25 27
99 16 25
100 27 49
101 23 26
102 12 42
103 26 31
104 23 36
105 27 34
106 4 37
107 5 32
108 26 3
109 12 13
110 28 11
111 18 9
112 23 2
113 3 7
114 20 40
115 13 7
116 28 26
117 12 22
118 29 49
119 22 31
120 5 10
121 16 18
122 6 30
123 21 3
124 14 4
125 17 13
126 26 14
127 2 29
128 17 24
129 5 47
130 13 20
131 15 3
132 15 38
133 26 15
134 17 29
135 17 21
136 18 12
137 20 35
138 14 42
139 29 27
140 25 5
141 30 10
142 10 13
143 8 37
144 18 25
145 3 2
146 14 39
147 24 40
148 26 31
149 24 12
150 11 50
151 24 48
152 3 25
153 4 6
154 6 22
155 5 12
156 8 26
157 12 48
158 18 11
159 14 25
160 15 18
161 18 30
162 16 32
163 9 33
164 14 24
165 7 25
166 25 30
167 14 38
168 27 10
169 13 22
170 3 29
171 24 11
172 4 7
173 20 41
174 7 45
175 17 4
176 2 45
177 25 19
178 8 4
179 3 43
180 19 49
181 7 4
182 1 43
183 11 37
184 22 35
185 28 34
186 24 43
187 26 17
188 9 5
189 10 18
190 9 28
191 13 12
192 22 7
193 2 1
194 2 35
195 4 41
196 13 12
197 26 15
198 14 38
199 1 5
200 12 11
201 21 37
202 3 36
203 16 4
204 1 17
205 3 41
206 4 45
207 3 18
208 13 34
209 8 17
210 8 13
211 19 3
212 5 4
213 17 30
214 11 20
215 15 14
216 30 25
217 3 34
218 12 8
219 27 2
220 26 11
221 13 19
222 27 47
223 16 10
224 10 6
225 8 50
226 10 36
227 14 44
228 1 22
229 24 31
230 1 10
231 16 22
232 26 48
233 16 47
234 27 44
235 11 32
236 25 45
237 13 11
238 13 40
239 22 22
240 5 49
241 23 15
242 16 28
243 20 26
244 20 35
245 18 42
246 4 4
247 26 31
248 13 21
249 20 12
250 6 32
251 15 22
252 6 47
253 13 18
254 9 6
255 1 33
256 25 16
257 19 40
258 5 11
259 26 46
260 5 23
261 28 41
262 8 3
263 13 33
264 25 2
265 14 40
266 23 38
267 22 10
268 17 46
269 29 25
270 21 22
271 29 7
272 29 10
273 9 33
274 2 16
275 19 18
276 30 18
277 28 18
278 22 33
279 12 46
280 26 45
281 7 19
282 14 50
283 30 20
284 7 11
285 16 50
286 4 7
287 18 22
288 16 6
289 26 37
290 13 36
291 14 13
292 13 14
293 12 24
294 28 33
295 11 33
296 9 10
297 3 12
298 21 33
299 14 10
300 15 29
301 9 28
302 5 18
303 11 2
304 6 6
305 20 48
306 12 44
307 22 46
308 29 43
309 12 6
310 17 44
311 10 5
312 23 43
313 9 16
314 7 2
315 25 21
316 12 35
317 8 19
318 4 48
319 20 29
320 15 10
321 27 46
322 5 38
323 12 15
324 13 13
325 12 9
326 6 11
327 16 11
328 3 34
329 18 29
330 7 4
331 29 18
332 20 48
333 26 43
334 7 8
335 2 2
336 9 50
337 9 23
