657 3522
1 15 35
2 13 41
3 16 10
4 2 16
5 10 45
6 14 22
7 18 25
8 21 24
9 29 12
10 17 50
11 21 46
12 5 1
13 10 34
14 17 34
15 22 39
16 3 36
17 23 7
18 19 38
19 8 50
20 5 7
21 4 48
22 9 34
23 14 31
24 7 14
25 2 16
26 16 24
27 13 30
28 4 22
29 14 30
30 15 5
31 20 39
32 2 42
33 16 20
34 11 15
35 10 35
36 2 15
37 24 2
38 18 9
39 22 7
40 3 25
41 24 38
42 29 36
43 7 22
44 28 32
45 14 14
46 8 23
47 5 30
48 15 2
49 21 45
50 26 22
51 2 37
52 27 15
53 28 36
54 16 19
55 14 48
56 4 17
57 27 44
58 13 3
59 25 12
60 7 18
61 27 24
62 3 31
63 15 7
64 12 6
65 3 48
66 19 34
67 26 17
68 21 26
69 13 26
70 4 46
71 15 39
72 25 11
73 22 17
74 5 49
75 30 1
76 8 6
77 17 10
78 27 31
79 18 20
80 28 21
81 29 19
82 16 5
83 15 6
84 10 37
85 3 25
86 15 7
87 26 1
88 19 49
89 29 34
90 17 48
91 26 17
92 23 12
93 26 41
94 5 44
95 11 32
96 26 31
97 10 21
98 25 37
99 9 16
100 13 13
101 1 9
102 12 8
103 11 40
104 18 29
105 23 7
106 6 9
107 13 31
108 22 48
109 23 16
110 13 33
111 20 8
112 4 49
113 11 50
114 15 11
115 16 10
116 13 8
117 30 44
118 17 31
119 16 24
120 19 8
121 30 37
122 18 2
123 29 40
124 12 41
125 27 44
126 24 6
127 24 39
128 15 36
129 30 41
130 6 7
131 2 20
132 6 24
133 26 32
134 26 1
135 18 14
136 10 37
137 22 28
138 21 20
139 29 42
140 11 25
141 17 36
142 11 42
143 6 37
144 27 15
145 29 24
146 12 33
147 26 39
148 16 11
149 1 11
150 23 28
151 16 22
152 26 28
153 21 6
154 19 19
155 9 9
156 6 36
157 16 28
158 27 21
159 24 6
160 18 44
161 1 11
162 6 26
163 29 31
164 8 19
165 23 50
166 8 19
167 24 14
168 8 24
169 19 46
170 25 18
171 17 40
172 15 2
173 29 33
174 15 32
175 10 12
176 27 21
177 22 3
178 28 22
179 15 36
180 11 28
181 27 40
182 8 10
183 13 45
184 26 24
185 2 30
186 13 50
187 11 49
188 12 39
189 21 26
190 22 21
191 19 48
192 3 10
193 12 40
194 21 39
195 27 23
196 26 14
197 25 15
198 5 19
199 1 10
200 22 4
201 19 36
202 4 11
203 6 5
204 29 17
205 2 22
206 19 20
207 22 33
208 21 23
209 12 13
210 21 1
211 18 28
212 16 2
213 2 40
214 2 4
215 20 16
216 18 40
217 11 11
218 13 37
219 27 1
220 5 50
221 15 45
222 1 46
223 27 3
224 30 50
225 15 31
226 30 4
227 20 15
228 27 4
229 5 29
230 7 6
231 14 16
232 7 46
233 6 49
234 24 44
235 22 40
236 13 26
237 4 13
238 3 12
239 25 42
240 22 32
241 22 11
242 25 34
243 28 44
244 17 34
245 4 45
246 1 19
247 1 37
248 16 36
249 18 50
250 30 41
251 21 22
252 28 25
253 17 40
254 8 1
255 1 49
256 12 5
257 12 19
258 18 41
259 12 26
260 24 37
261 10 14
262 15 30
263 22 20
264 8 41
265 1 49
266 1 12
267 2 48
268 8 8
269 27 25
270 29 20
271 6 42
272 4 39
273 30 13
274 9 23
275 30 2
276 9 9
277 17 15
278 11 20
279 7 8
280 1 7
281 8 41
282 20 29
283 29 7
284 27 27
285 4 47
286 6 11
287 18 21
288 9 48
289 13 27
290 12 22
291 10 33
292 13 48
293 27 23
294 17 33
295 2 27
296 2 39
297 18 11
298 9 8
299 10 5
300 24 3
301 13 30
302 13 41
303 30 13
304 10 35
305 21 13
306 8 22
307 25 40
308 9 44
309 4 37
310 8 47
311 4 19
312 27 33
313 22 6
314 12 1
315 2 25
316 5 15
317 26 19
318 7 8
319 21 48
320 22 21
321 20 1
322 2 5
323 3 12
324 20 8
325 18 27
326 25 13
327 28 43
328 25 31
329 18 36
330 11 12
331 3 37
332 18 18
333 15 34
334 7 35
335 1 20
336 7 42
337 11 50
338 18 13
339 1 47
340 2 10
341 26 26
342 23 25
343 9 17
344 25 18
345 15 35
346 29 19
347 11 6
348 6 27
349 1 15
350 13 23
351 24 19
352 5 4
353 10 12
354 8 30
355 21 40
356 11 36
357 27 13
358 22 37
359 12 16
360 15 36
361 20 35
362 4 22
363 21 41
364 30 33
365 27 12
366 6 41
367 30 22
368 16 1
369 15 16
370 2 47
371 25 22
372 4 23
373 15 45
374 10 16
375 10 16
376 13 11
377 20 8
378 12 42
379 8 31
380 15 5
381 14 32
382 17 25
383 5 42
384 5 39
385 17 6
386 16 13
387 18 19
388 16 12
389 14 47
390 27 25
391 2 29
392 6 11
393 16 19
394 23 35
395 12 29
396 11 45
397 10 39
398 30 14
399 21 44
400 24 39
401 10 41
402 2 27
403 20 39
404 20 25
405 25 18
406 9 46
407 8 36
408 8 35
409 15 12
410 21 6
411 20 12
412 20 1
413 12 21
414 4 32
415 15 20
416 1 16
417 20 24
418 4 21
419 2 33
420 17 48
421 22 48
422 5 49
423 23 2
424 13 37
425 4 3
426 24 5
427 26 46
428 6 18
429 16 21
430 1 32
431 20 23
432 7 2
433 16 42
434 2 9
435 16 19
436 26 27
437 28 50
438 5 50
439 4 9
440 19 19
441 4 34
442 13 31
443 9 28
444 20 47
445 11 1
446 8 42
447 13 27
448 23 21
449 30 17
450 29 46
451 5 37
452 22 2
453 16 49
454 13 41
455 19 41
456 9 22
457 5 34
458 13 5
459 23 2
460 21 13
461 14 31
462 25 29
463 19 47
464 9 28
465 3 29
466 3 49
467 15 47
468 22 3
469 27 7
470 25 5
471 27 4
472 29 23
473 17 33
