604 3055
1 19 42
2 16 29
3 9 7
4 24 21
5 10 44
6 6 50
7 5 50
8 23 25
9 10 35
10 21 7
11 12 36
12 8 28
13 5 41
14 1 47
15 15 40
16 15 36
17 23 21
18 4 23
19 17 17
20 4 28
21 23 9
22 27 49
23 20 42
24 3 29
25 6 35
26 27 27
27 12 14
28 6 49
29 16 8
30 25 23
31 28 30
32 18 32
33 2 21
34 5 30
35 10 48
36 28 4
37 8 36
38 12 17
39 27 26
40 17 4
41 20 34
42 2 34
43 9 40
44 2 5
45 27 28
46 17 46
47 19 34
48 28 12
49 16 34
50 22 47
51 1 1
52 10 40
53 26 1
54 18 15
55 26 4
56 30 38
57 9 2
58 1 38
59 23 4
60 12 39
61 3 20
62 5 44
63 23 14
64 25 10
65 17 46
66 17 29
67 18 6
68 8 34
69 9 25
70 20 34
71 20 19
72 3 19
73 12 45
74 8 14
75 18 49
76 23 33
77 30 39
78 26 24
79 12 30
80 13 48
81 28 41
82 6 25
83 17 45
84 28 7
85 29 9
86 20 50
87 28 13
88 8 49
89 17 25
90 13 7
91 25 17
92 1 44
93 15 16
94 7 6
95 15 2
96 15 24
97 2 32
98 19 40
99 16 8
100 26 46
101 17 38
102 15 44
103 22 13
104 14 10
105 29 6
106 26 16
107 22 6
108 9 28
109 13 28
110 23 20
111 19 37
112 23 22
113 18 41
114 22 45
115 11 9
116 30 17
117 16 35
118 2 47
119 29 5
120 7 39
121 3 24
122 4 36
123 12 15
124 14 4
125 12 46
126 13 22
127 5 16
128 25 4
129 8 6
130 9 8
131 25 38
132 6 10
133 14 37
134 9 24
135 14 15
136 15 6
137 8 18
138 1 21
139 22 4
140 5 25
141 12 47
142 8 38
143 14 43
144 21 24
145 10 39
146 23 16
147 29 9
148 28 4
149 27 36
150 8 40
151 20 42
152 17 39
153 1 40
154 30 45
155 15 36
156 1 46
157 4 21
158 3 48
159 3 26
160 23 14
161 14 5
162 30 44
163 5 7
164 8 12
165 2 27
166 3 43
167 20 2
168 23 30
169 21 44
170 26 35
171 9 47
172 23 13
173 27 17
174 22 31
175 2 34
176 24 8
177 28 23
178 11 5
179 11 48
180 18 24
181 16 22
182 16 45
183 23 1
184 25 15
185 14 50
186 2 23
187 8 36
188 27 14
189 2 48
190 24 46
191 1 40
192 25 20
193 24 5
194 6 45
195 15 43
196 8 30
197 5 36
198 27 39
199 16 1
200 24 31
201 2 7
202 5 50
203 2 41
204 5 45
205 18 11
206 12 20
207 30 46
208 22 15
209 3 19
210 11 9
211 12 29
212 30 28
213 26 16
214 26 3
215 8 21
216 23 20
217 27 38
218 11 18
219 20 35
220 23 20
221 27 4
