591 3098
1 4 48
2 22 22
3 3 5
4 22 12
5 7 6
6 6 35
7 10 6
8 27 42
9 30 35
10 10 46
11 5 34
12 27 7
13 21 13
14 29 6
15 8 4
16 7 43
17 23 20
18 4 28
19 6 37
20 29 12
21 5 16
22 19 44
23 24 17
24 16 43
25 1 17
26 11 27
27 20 37
28 23 12
29 9 33
30 19 18
31 19 47
32 10 43
33 6 24
34 12 43
35 22 13
36 15 6
37 28 5
38 2 1
39 1 37
40 6 23
41 25 36
42 19 6
43 14 34
44 8 24
45 8 38
46 21 8
47 5 50
48 21 50
49 5 22
50 5 39
51 4 49
52 6 14
53 13 47
54 14 23
55 15 11
56 5 39
57 26 45
58 7 21
59 10 16
60 14 48
61 23 34
62 5 37
63 26 5
64 29 10
65 19 33
66 10 14
67 13 46
68 7 35
69 22 43
70 29 27
71 23 5
72 7 1
73 9 15
74 11 29
75 10 17
76 28 33
77 20 32
78 21 37
79 19 9
80 29 19
81 13 48
82 12 25
83 23 9
84 11 37
85 1 19
86 13 3
87 25 31
88 25 24
89 16 26
90 14 25
91 22 33
92 19 43
93 4 32
94 2 4
95 12 30
96 12 35
97 29 4
98 11 22
99 12 22
100 28 14
101 22 22
102 18 17
103 4 23
104 12 49
105 10 47
106 6 41
107 19 36
108 25 42
109 17 16
110 28 9
111 17 19
112 15 26
113 24 5
114 29 37
115 8 8
116 30 22
117 19 18
118 8 32
119 30 31
120 3 41
121 27 10
122 1 5
123 15 17
124 28 12
125 5 45
126 22 31
127 26 16
128 28 39
129 22 6
130 16 2
131 5 27
132 13 43
133 24 12
134 7 35
135 22 11
136 15 18
137 30 7
138 24 14
139 24 21
140 7 10
141 8 48
142 10 35
143 25 50
144 13 39
145 25 50
146 30 20
147 27 12
148 14 20
149 23 42
150 27 16
151 4 33
152 15 23
153 10 8
154 9 15
155 20 17
156 14 47
157 27 15
158 21 31
159 14 6
160 21 21
161 15 10
162 22 33
163 23 7
164 15 47
165 1 11
166 12 4
167 13 46
168 29 34
169 25 19
170 8 35
171 5 23
172 3 1
173 28 16
174 22 3
175 11 4
176 25 27
177 24 18
178 20 38
179 5 14
180 15 27
181 6 48
182 22 18
183 14 10
184 2 48
185 18 1
186 14 13
187 14 17
188 15 13
189 2 48
190 27 2
191 2 42
192 20 15
193 29 39
194 2 35
195 4 38
196 21 29
197 26 43
198 27 31
199 24 50
200 8 34
201 12 12
202 26 25
203 30 12
204 19 11
205 30 6
206 12 11
207 29 43
208 25 9
209 2 28
210 6 35
211 26 6
212 6 3
213 30 12
214 13 6
215 13 12
216 19 14
217 25 36
218 11 4
219 7 31
220 24 6
221 28 27
222 6 36
223 20 42
224 7 3
225 10 42
226 9 37
227 29 4
228 9 1
229 7 23
230 6 31
231 24 44
232 5 9
233 21 37
234 12 27
235 19 28
236 3 7
237 24 50
238 4 25
239 22 40
240 17 13
241 21 18
242 11 32
243 1 39
244 2 40
245 23 37
246 10 46
247 22 16
248 26 12
249 12 20
250 30 21
251 27 22
252 9 2
253 24 22
254 17 15
255 22 5
256 29 44
257 12 29
258 15 45
259 19 8
260 4 31
261 14 5
262 18 27
263 11 34
264 8 24
265 13 28
266 6 1
267 1 24
268 12 26
269 18 30
270 22 11
271 15 20
272 26 8
273 20 31
274 14 18
275 10 39
276 10 36
277 14 28
278 12 16
279 3 2
280 29 15
281 11 37
282 7 33
283 2 18
284 19 9
285 8 50
286 11 34
287 22 27
288 1 21
289 9 45
290 19 48
291 23 40
292 3 28
293 17 45
294 13 31
295 18 34
296 25 28
297 30 13
298 30 33
299 11 20
300 4 30
301 20 14
302 23 41
303 20 5
304 21 48
305 21 1
306 8 36
307 21 30
308 3 9
309 16 8
310 10 23
311 11 36
312 30 12
313 19 12
314 24 31
315 1 39
316 22 50
317 3 26
318 22 42
319 12 5
320 12 33
321 27 39
322 30 47
323 20 34
324 8 46
325 1 49
326 8 33
327 26 18
328 26 36
329 29 40
330 18 9
331 8 29
332 11 32
333 14 2
334 16 36
335 28 19
336 20 15
337 7 39
338 3 26
339 4 20
340 1 15
341 10 41
342 29 6
343 30 45
344 3 38
345 6 11
346 18 15
347 29 10
348 7 43
349 14 24
350 30 21
351 2 49
352 5 48
353 29 48
354 25 12
355 9 48
356 28 39
357 18 27
358 16 47
359 13 38
360 6 8
361 8 35
362 14 37
363 5 20
364 11 10
365 3 10
366 20 34
367 20 15
368 3 48
369 24 10
370 11 32
371 7 39
372 20 46
373 27 17
374 24 39
375 15 31
376 18 2
377 5 21
378 20 11
379 13 20
380 10 37
381 1 2
382 3 40
383 16 5
384 29 29
385 16 50
386 2 24
387 18 32
388 21 4
389 18 14
390 14 4
391 26 41
392 16 13
393 1 45
394 15 3
395 27 45
396 20 47
397 8 14
398 9 13
399 10 27
400 23 36
401 16 4
402 9 15
403 7 30
404 30 37
405 5 13
406 10 41
407 13 47
408 23 16
409 14 27
410 10 10
411 23 9
412 28 20
413 4 46
414 14 44
415 5 28
416 9 2
417 22 39
418 29 20
419 8 38
420 6 15
421 11 48
422 5 5
423 24 9
424 20 39
425 17 40
426 8 12
427 20 8
428 1 24
429 25 17
430 7 29
431 4 47
432 3 25
433 15 1
434 7 5
435 28 2
436 19 40
437 11 25
438 15 47
439 25 16
440 25 21
441 25 35
442 12 7
443 22 15
444 30 46
445 11 48
446 7 24
447 26 9
448 1 30
449 9 47
450 16 48
451 10 4
452 28 3
453 10 34
454 9 14
455 29 33
456 7 4
457 27 18
458 30 8
459 14 41
460 26 14
461 10 32
462 30 35
463 2 42
464 6 50
465 28 2
466 7 39
467 17 36
468 11 39
469 29 41
470 22 18
471 14 40
472 13 40
473 8 34
474 20 43
475 16 7
476 7 15
477 8 48
478 21 29
479 19 18
480 10 26
481 9 28
482 6 28
483 4 9
484 28 32
485 19 19
486 21 22
487 1 23
488 4 20
489 6 15
490 12 33
491 21 18
492 7 10
493 15 49
494 28 3
495 7 19
496 10 37
497 6 48
498 24 11
