660 3554
1 2 1
2 28 50
3 26 24
4 12 48
5 2 4
6 9 47
7 25 19
8 13 50
9 27 21
10 9 22
11 29 45
12 21 28
13 9 47
14 14 31
15 19 5
16 3 40
17 18 31
18 19 33
19 26 31
20 3 38
21 16 21
22 16 30
23 11 48
24 21 27
25 29 9
26 28 29
27 4 20
28 16 2
29 26 39
30 14 15
31 16 37
32 26 5
33 17 45
34 29 22
35 7 21
36 1 12
37 3 46
38 24 33
39 14 24
40 12 14
41 13 9
42 22 38
43 19 50
44 19 46
45 20 22
46 12 35
47 10 18
48 21 28
49 14 30
50 22 40
51 12 12
52 11 47
53 30 46
54 11 5
55 2 42
56 30 6
57 23 11
58 13 31
59 12 31
60 8 2
61 24 40
62 28 14
63 27 29
64 13 20
65 30 44
66 29 11
67 26 11
68 17 17
69 19 40
70 13 30
71 11 42
72 25 33
73 24 27
74 5 16
75 29 43
76 7 14
77 2 4
78 9 40
79 14 22
80 21 43
81 25 21
82 16 22
83 3 14
84 20 41
85 13 12
86 2 34
87 5 6
88 26 9
89 24 33
90 4 44
91 5 42
92 20 8
93 27 38
94 9 31
95 11 9
96 15 28
97 9 30
98 9 11
99 24 41
100 24 48
101 14 25
102 21 9
103 13 49
104 17 18
105 1 42
106 12 7
107 5 23
108 16 31
109 20 14
110 3 23
111 14 38
112 20 2
113 9 50
114 24 14
115 10 19
116 22 44
117 4 44
118 12 28
119 12 20
120 5 24
121 23 8
122 30 47
123 30 47
124 27 40
125 30 42
126 4 33
127 1 13
128 26 1
129 4 2
130 25 4
131 20 28
132 29 15
133 3 2
134 22 17
135 21 39
136 10 35
137 26 22
138 1 26
139 8 9
140 7 30
141 10 30
142 4 32
143 24 50
144 3 7
145 3 49
146 10 22
147 18 8
148 29 50
149 9 30
150 26 31
151 30 8
152 17 16
153 21 47
154 21 50
155 28 7
156 19 9
157 28 43
158 1 31
159 14 23
160 17 46
161 13 49
162 29 50
163 18 7
164 19 19
165 9 17
166 1 8
167 26 18
168 3 6
169 4 15
170 5 23
171 11 36
172 22 10
173 8 22
174 20 23
175 16 29
176 28 18
177 17 36
178 27 34
179 15 17
180 14 33
181 13 5
182 22 10
183 2 15
184 15 35
185 1 22
186 20 4
187 27 41
188 3 36
189 24 3
190 8 11
191 21 27
192 28 9
193 22 46
194 2 8
195 14 48
196 20 47
197 22 34
198 26 23
199 20 23
200 19 30
201 14 18
202 23 2
203 18 46
204 27 21
205 10 46
206 11 30
207 22 10
208 28 33
209 7 31
210 11 21
211 28 32
212 9 29
213 25 26
214 3 14
215 28 12
216 26 43
217 29 28
218 4 37
219 13 32
220 19 22
221 17 42
222 13 48
223 13 42
224 21 10
225 15 23
226 10 4
227 6 48
228 15 23
229 13 37
230 28 23
231 8 33
232 5 29
233 3 9
234 15 35
235 30 25
236 29 19
237 8 13
238 16 21
239 27 48
240 10 31
241 12 11
242 14 28
243 28 20
244 2 32
245 7 39
246 4 6
247 14 21
248 4 36
249 1 50
250 22 22
251 5 32
252 30 44
253 15 6
254 24 1
255 13 45
256 13 25
257 5 16
258 4 12
259 8 5
260 26 44
261 25 49
262 19 18
263 21 35
264 15 1
265 24 27
266 13 10
267 10 12
268 24 4
269 27 19
270 26 22
271 4 38
272 26 18
273 26 49
274 2 43
275 25 27
276 8 49
277 17 36
278 19 48
279 2 25
280 28 6
281 1 22
282 7 11
283 14 20
284 26 2
285 9 22
286 3 4
287 21 20
288 11 18
289 10 2
290 10 24
291 30 47
292 15 7
293 5 45
294 16 6
295 19 5
296 23 22
297 7 30
298 14 12
299 21 49
300 13 41
301 22 38
302 24 35
303 27 15
304 12 27
305 8 14
306 2 48
307 30 28
308 16 46
309 2 11
310 24 43
311 5 18
312 24 41
313 29 47
314 22 50
315 7 17
316 10 19
317 4 36
318 25 12
319 22 6
320 20 19
321 19 42
322 28 31
323 21 23
324 28 43
325 13 31
326 5 50
327 21 50
328 12 49
329 26 46
330 8 42
331 22 40
332 22 17
333 27 16
334 8 28
335 22 18
336 16 42
337 11 14
338 12 31
339 18 2
340 15 23
341 14 11
342 2 34
343 30 15
344 23 7
345 30 32
346 19 23
347 23 12
348 29 49
349 18 19
350 6 1
351 18 24
352 24 50
353 19 18
354 12 26
355 29 7
356 28 2
357 29 21
358 16 29
359 26 20
360 15 47
361 13 35
362 30 26
363 19 10
364 16 28
365 10 4
366 20 17
367 27 23
368 16 15
369 10 48
370 12 8
371 16 42
372 20 24
373 22 47
374 4 49
375 18 41
376 18 20
377 27 17
378 27 25
379 28 23
380 12 8
381 18 31
382 26 4
383 6 42
384 20 45
385 1 13
386 23 46
387 24 14
388 21 18
389 22 25
390 8 29
391 5 15
392 30 41
393 3 47
394 8 13
395 1 21
396 30 50
397 4 45
398 23 9
399 28 24
400 23 30
401 18 7
402 5 44
403 2 48
404 3 33
405 12 30
406 23 38
407 27 13
408 30 31
409 11 49
410 13 33
411 10 14
412 12 23
413 29 36
414 21 48
415 21 35
416 8 48
417 12 4
418 11 15
419 21 5
420 20 24
421 15 12
422 23 33
423 26 45
424 23 38
425 13 6
426 30 12
427 1 1
428 26 29
429 28 16
430 9 48
431 13 8
432 26 46
433 11 38
434 20 14
435 3 9
436 9 29
437 13 4
438 3 50
439 8 25
440 28 40
441 22 7
442 4 3
443 30 39
444 13 47
445 7 13
446 15 9
447 20 42
448 26 33
449 21 15
450 16 25
451 16 36
452 15 50
453 9 17
454 19 36
455 4 36
456 28 25
457 5 33
458 9 4
459 13 14
460 30 29
461 26 46
462 29 46
463 29 46
464 30 20
465 1 25
466 4 38
467 22 49
468 27 1
469 27 37
470 8 10
471 23 17
472 17 17
473 19 17
474 22 22
475 30 23
476 12 8
477 19 43
478 25 7
479 18 34
480 28 50
481 8 24
482 17 21
483 4 25
484 21 40
485 12 11
486 30 36
487 17 36
488 14 26
489 24 25
490 29 34
491 9 50
492 11 19
493 4 45
494 28 32
495 20 5
496 23 37
497 18 20
498 9 1
499 6 30
500 21 9
501 20 42
502 4 16
503 19 49
504 3 32
505 5 43
506 27 24
507 3 7
508 2 38
509 3 19
510 11 32
511 16 4
512 10 5
513 5 29
514 16 20
515 10 48
516 19 1
517 1 24
518 26 19
519 23 11
520 22 47
521 13 19
522 2 47
523 17 14
524 5 32
525 24 5
526 25 9
527 10 35
528 4 34
529 15 21
530 24 24
531 30 34
532 14 10
533 17 41
534 10 31
535 13 33
536 20 8
537 3 1
538 24 30
539 24 40
540 23 50
541 27 27
542 10 6
543 13 23
544 20 27
545 15 45
546 12 14
547 8 27
548 5 36
549 10 6
550 17 22
551 29 46
552 9 41
553 26 35
554 12 12
555 6 34
556 21 22
557 21 20
558 30 23
559 5 21
560 22 41
561 15 5
562 25 44
563 12 31
564 29 3
565 27 45
566 4 25
567 12 5
568 17 40
569 21 39
570 11 18
571 24 13
572 20 36
573 14 21
574 1 30
575 21 12
576 21 7
577 16 27
578 10 49
579 27 28
580 1 43
581 15 27
582 9 16
583 23 36
584 25 25
585 16 7
586 22 1
587 11 33
588 7 5
589 13 47
590 4 45
591 20 6
592 21 27
593 22 2
594 16 39
595 30 28
596 3 4
597 26 2
598 1 38
599 29 28
600 22 16
601 14 4
602 6 7
603 16 2
604 11 41
605 10 46
606 15 9
607 22 38
608 26 33
609 19 13
610 23 20
611 2 6
612 23 48
613 7 46
614 15 47
615 3 49
616 2 8
617 4 29
618 16 41
619 3 26
620 1 32
621 24 18
622 3 27
623 5 28
624 19 45
625 22 34
626 25 33
627 29 39
628 20 45
629 16 17
630 23 8
631 17 4
632 18 20
633 14 33
634 30 16
635 21 43
636 28 36
637 30 40
638 12 16
639 19 22
640 10 10
641 25 26
642 24 43
643 5 26
644 19 50
645 24 31
646 30 10
647 26 29
648 21 20
649 3 40
650 25 25
651 4 32
652 20 43
653 13 21
654 20 41
655 23 20
656 2 47
657 17 48
658 10 13
659 23 28
660 3 16
