582 2996
1 24 27
2 26 4
3 7 15
4 26 48
5 22 41
6 22 35
7 30 26
8 18 23
9 6 50
10 15 7
11 12 13
12 13 49
13 2 16
14 13 32
15 20 40
16 14 5
17 6 39
18 28 24
19 6 25
20 13 9
21 17 4
22 23 19
23 20 50
24 1 17
25 20 5
26 13 3
27 29 27
28 21 21
29 4 25
30 14 25
31 14 47
32 19 31
33 27 38
34 14 44
35 15 26
36 12 31
37 22 45
38 9 13
39 6 39
40 19 45
41 15 3
42 9 14
43 1 1
44 6 25
45 15 41
46 19 38
47 29 30
48 30 25
49 7 25
50 19 33
51 23 22
52 14 34
53 26 12
54 8 12
55 23 28
56 18 49
57 10 7
58 4 12
59 17 1
60 6 34
61 11 37
62 13 29
63 16 43
64 26 34
65 17 26
66 27 19
67 27 32
68 14 15
69 15 1
70 8 47
71 8 37
72 28 9
73 13 13
74 11 2
75 24 8
76 15 6
77 24 7
78 5 11
79 1 42
80 7 18
81 27 15
82 18 15
83 26 42
84 29 40
85 22 6
86 9 22
87 23 38
88 30 37
89 20 2
90 10 15
91 10 26
92 1 5
93 5 7
94 18 35
95 18 14
96 14 16
97 10 42
98 20 25
99 25 11
100 6 26
101 8 6
102 29 10
103 3 31
104 19 45
105 22 38
106 19 43
107 6 31
108 18 50
109 7 17
110 14 36
111 20 40
112 13 11
113 21 35
114 25 15
115 5 2
116 22 12
117 28 43
118 4 2
119 3 22
120 28 4
121 11 9
122 9 26
123 19 46
124 17 28
125 14 11
126 25 45
127 20 18
128 15 32
129 2 41
130 8 48
131 22 41
132 9 1
133 3 34
134 25 5
135 25 2
136 21 18
137 30 9
138 5 1
139 16 22
140 28 19
141 14 42
142 23 35
143 21 17
144 26 14
145 7 13
146 11 50
147 15 22
148 1 38
149 15 7
150 22 12
151 8 2
152 21 20
153 2 25
154 2 17
155 8 49
156 15 31
157 12 47
158 15 5
159 5 32
160 8 21
161 26 31
162 1 1
163 22 23
164 28 6
165 1 31
166 7 40
167 15 47
168 29 46
169 14 30
170 3 21
171 20 49
172 4 24
173 16 18
174 18 10
175 12 47
176 23 47
177 27 5
178 9 30
179 7 36
180 16 7
181 9 4
182 6 3
183 3 7
184 30 28
185 18 12
186 20 20
187 3 3
188 23 8
189 3 22
190 29 24
191 18 3
192 12 47
193 27 21
194 16 35
195 18 13
196 23 26
197 7 41
198 18 21
199 9 28
200 8 36
201 11 47
202 17 3
203 12 49
204 22 24
205 2 33
206 19 42
207 25 20
208 18 44
209 12 13
210 30 50
211 18 23
212 25 44
213 5 5
214 16 13
215 22 15
216 30 24
217 3 7
218 29 14
219 17 42
220 19 29
221 16 37
222 22 13
223 29 9
224 16 50
225 3 35
226 9 50
227 29 24
228 5 23
229 8 12
230 15 11
231 26 37
232 6 39
233 23 16
234 4 1
235 8 43
236 11 33
237 21 2
238 25 41
239 10 2
240 21 35
241 17 41
242 24 47
243 24 31
244 10 43
245 2 6
246 5 20
247 22 43
248 10 36
249 28 15
250 7 15
251 27 17
252 20 40
253 19 44
254 20 30
255 8 22
256 24 36
257 23 50
258 22 28
259 22 3
260 1 23
261 9 27
262 4 2
263 29 5
264 28 27
265 10 24
266 23 28
267 12 42
268 7 10
269 18 49
270 20 37
271 20 5
272 2 32
273 14 3
274 12 35
275 8 34
276 20 16
277 30 5
278 29 31
279 20 6
280 9 29
281 21 1
282 26 23
283 5 23
284 24 34
285 13 23
286 30 42
287 10 41
288 6 33
289 15 37
290 20 2
291 20 29
292 29 31
293 23 38
294 1 42
295 23 19
296 2 26
297 10 28
298 30 16
299 22 33
300 19 24
301 28 18
302 5 37
303 18 42
304 21 2
305 18 40
306 16 49
307 18 24
308 10 3
309 11 40
310 6 6
311 19 20
312 23 30
313 27 32
314 25 48
315 14 43
316 13 21
317 22 39
318 9 19
319 11 30
320 2 10
321 9 27
322 19 39
323 23 38
324 13 15
325 29 40
326 20 39
327 9 2
328 28 5
329 3 14
330 14 49
331 18 26
332 11 19
333 5 30
334 17 45
335 19 11
336 26 29
337 19 14
338 7 43
339 3 9
340 28 32
341 21 27
342 10 9
343 21 40
344 4 15
345 13 19
346 23 13
347 5 34
348 1 9
349 15 20
350 15 23
351 20 10
352 21 20
353 16 20
354 3 28
355 30 20
356 11 30
357 8 33
358 19 28
359 4 4
360 5 28
361 22 7
362 30 16
363 22 21
364 26 6
365 10 32
366 30 21
367 4 33
368 20 19
369 2 4
370 6 31
371 13 9
372 13 23
373 21 1
374 2 14
375 6 46
376 1 27
377 3 31
378 15 46
379 23 22
380 22 42
381 4 31
382 22 47
383 3 3
384 17 16
385 17 14
386 19 31
387 22 11
388 25 14
389 23 7
390 27 18
391 2 20
392 16 6
393 12 40
394 12 4
395 24 5
396 27 19
397 15 8
398 17 50
399 12 33
400 27 20
401 16 15
402 3 20
403 15 7
404 3 37
405 23 10
406 26 17
407 11 2
408 12 32
409 3 25
410 17 8
411 9 33
412 6 16
413 22 42
414 25 3
415 16 31
416 15 22
417 6 27
418 1 22
419 5 23
420 11 48
421 24 16
422 6 16
423 9 39
424 9 14
425 24 35
426 21 42
427 7 47
428 17 8
429 10 23
430 23 16
431 24 37
432 19 1
433 23 31
434 24 47
435 5 34
436 16 39
437 2 13
438 16 22
439 22 5
440 5 15
441 19 8
442 8 8
443 14 15
444 15 45
445 27 29
446 10 42
447 5 48
448 24 29
449 8 18
450 8 33
451 13 25
452 3 6
453 28 28
454 30 39
455 12 14
456 25 23
457 13 12
458 10 28
459 18 46
460 3 17
461 15 32
462 18 41
463 2 4
464 22 11
465 13 49
466 5 27
467 5 19
468 23 12
469 9 14
470 12 32
471 9 8
472 4 2
473 30 35
474 9 49
475 21 1
476 15 7
477 15 25
478 7 18
479 28 18
480 8 50
481 18 25
482 18 43
