655 3422
1 11 4
2 25 25
3 1 26
4 1 21
5 2 5
6 16 42
7 12 49
8 12 29
9 7 27
10 2 44
11 28 4
12 2 18
13 21 4
14 18 42
15 2 49
16 13 34
17 5 39
18 28 15
19 24 31
20 17 26
21 25 3
22 19 28
23 21 40
24 6 8
25 19 29
26 3 6
27 4 16
28 26 25
29 9 25
30 26 41
31 24 50
32 14 28
33 28 32
34 2 2
35 24 28
36 9 48
37 12 47
38 7 33
39 18 33
40 22 8
41 11 46
42 14 45
43 11 41
44 1 30
45 5 38
46 30 40
47 17 43
48 17 24
49 16 10
50 27 39
51 20 7
52 18 21
53 15 15
54 25 43
55 7 48
56 22 9
57 15 15
58 15 6
59 27 25
60 15 22
61 2 6
62 21 50
63 18 30
64 16 26
65 1 4
66 26 30
67 1 4
68 13 15
69 8 9
70 9 16
71 29 11
72 6 3
73 27 33
74 8 34
75 19 44
76 17 23
77 19 19
78 22 49
79 28 47
80 16 41
81 11 41
82 2 13
83 16 24
84 9 13
85 5 38
86 20 45
87 10 8
88 29 26
89 30 9
90 21 50
91 12 17
92 22 3
93 6 46
94 13 35
95 4 28
96 15 46
97 30 47
98 8 16
99 22 37
100 30 6
101 26 10
102 12 25
103 29 1
104 2 10
105 9 13
106 29 12
107 29 31
108 26 14
109 18 18
110 29 21
111 27 23
112 27 17
113 21 26
114 12 43
115 12 11
116 30 39
117 22 2
118 3 42
119 14 17
120 1 14
121 19 10
122 25 7
123 12 43
124 13 19
125 20 23
126 19 7
127 7 7
128 13 18
129 3 6
130 2 46
131 18 11
132 5 42
133 4 49
134 13 17
135 25 34
136 30 45
137 13 7
138 14 34
139 29 26
140 14 10
141 20 44
142 26 48
143 1 40
144 7 35
145 7 28
146 22 17
147 9 18
148 18 4
149 17 40
150 21 33
151 5 2
152 8 19
153 20 31
154 24 10
155 8 7
156 20 9
157 1 37
158 6 3
159 29 25
160 17 25
161 12 18
162 21 42
163 26 50
164 16 4
165 22 18
166 6 16
167 1 15
168 27 31
169 17 40
170 30 4
171 27 9
172 4 49
173 18 20
174 11 26
175 6 37
176 12 47
177 26 45
178 21 41
179 24 36
180 24 35
181 25 32
182 3 25
183 26 39
184 15 45
185 18 47
186 28 26
187 17 12
188 24 4
189 3 26
190 11 28
191 14 33
192 16 20
193 17 16
194 30 22
195 3 6
196 17 7
197 29 11
198 14 36
199 1 40
200 20 30
201 26 30
202 16 45
203 11 31
204 8 25
205 27 29
206 4 20
207 3 29
208 11 39
209 17 3
210 20 49
211 18 18
212 8 48
213 30 43
214 23 30
215 2 15
216 2 20
217 14 17
218 24 36
219 9 13
220 20 7
221 3 15
222 29 5
223 3 19
224 23 41
225 11 5
226 30 30
227 24 49
228 27 6
229 3 12
230 15 24
231 16 48
232 15 21
233 24 8
234 6 15
235 1 17
236 21 13
237 1 1
238 30 25
239 12 14
240 6 42
241 18 7
242 4 44
243 17 2
244 19 49
245 25 35
246 14 40
247 3 19
248 22 48
249 28 17
250 4 50
251 5 35
252 15 17
253 27 34
254 22 8
255 27 7
256 22 17
257 15 25
258 10 21
259 8 10
260 11 43
261 6 44
262 4 30
263 14 46
264 18 44
265 14 41
266 23 49
267 7 7
268 7 16
269 20 8
270 3 39
271 16 26
272 15 30
273 2 16
274 22 30
275 27 22
276 12 22
277 18 7
278 2 33
279 2 31
280 26 18
281 23 21
282 18 2
283 17 34
284 17 19
285 22 41
286 7 9
287 27 13
288 21 18
289 28 42
290 29 4
291 6 22
292 17 35
293 9 30
294 7 32
295 20 45
296 9 33
297 5 18
298 26 43
299 12 2
300 3 45
301 22 19
302 15 10
303 13 45
304 30 12
305 17 28
306 17 4
307 30 44
308 28 28
309 13 6
310 9 35
311 12 10
312 29 18
313 27 4
314 21 30
315 27 23
316 16 48
317 24 31
318 20 26
319 5 39
320 30 13
321 8 6
322 26 17
323 19 5
324 6 24
325 3 7
326 18 14
327 16 26
328 22 44
329 1 44
330 4 37
331 26 1
332 6 11
333 11 45
334 9 8
335 5 28
336 20 3
337 23 38
338 11 34
339 22 17
340 27 4
341 23 16
342 30 38
