534 2779
1 10 50
2 1 21
3 25 11
4 22 46
5 23 22
6 23 48
7 11 19
8 2 4
9 18 45
10 16 14
11 30 5
12 25 25
13 30 19
14 19 44
15 16 23
16 14 37
17 2 16
18 20 26
19 16 11
20 14 20
21 14 48
22 18 37
23 26 41
24 20 15
25 17 5
26 11 38
27 22 45
28 2 31
29 14 20
30 27 31
31 24 50
32 8 17
33 8 27
34 13 45
35 29 18
36 15 24
37 15 34
38 20 32
39 26 50
40 7 12
41 6 27
42 19 17
43 13 12
44 10 36
45 23 26
46 17 26
47 7 36
48 2 44
49 4 36
50 29 4
51 23 5
52 27 19
53 20 37
54 23 15
55 18 49
56 26 43
57 7 26
58 20 49
59 17 9
60 7 21
61 26 5
62 16 12
63 30 37
64 16 5
65 15 46
66 18 29
67 10 36
68 20 39
69 22 2
70 5 9
71 2 32
72 24 28
73 27 15
74 18 45
75 25 16
76 5 10
77 30 12
78 13 11
79 20 30
80 7 24
81 25 26
82 3 26
83 22 2
84 24 33
85 25 18
86 14 6
87 19 49
88 25 7
89 3 14
90 3 37
91 20 19
92 16 1
93 10 20
94 2 30
95 10 30
96 25 24
97 16 9
98 30 17
99 2 15
100 11 16
101 5 44
102 21 35
103 22 5
104 14 6
105 19 46
106 12 50
107 15 39
108 10 46
109 9 13
110 7 8
111 3 32
112 13 48
113 20 34
114 16 2
115 11 16
116 17 35
117 12 40
118 21 5
119 14 14
120 11 14
121 12 2
122 23 28
123 3 15
124 25 1
125 27 2
126 20 21
127 3 42
128 30 24
129 28 35
130 5 28
131 11 44
132 22 14
133 13 34
134 8 28
135 30 28
136 4 11
137 2 8
138 20 24
139 12 14
140 6 1
141 15 35
142 21 49
143 18 41
144 23 5
145 27 47
146 22 27
147 2 45
148 20 24
149 9 10
150 24 28
151 7 47
152 10 20
153 14 29
154 3 28
155 4 18
156 18 9
157 24 50
158 27 32
159 12 29
160 26 19
161 8 18
162 7 19
163 22 39
164 15 42
165 8 50
166 21 36
167 18 10
168 6 1
169 20 48
170 10 34
171 8 7
172 12 21
173 27 50
174 4 48
175 11 40
176 8 8
177 9 15
178 18 22
179 3 24
180 14 50
181 15 34
182 15 22
183 26 42
184 25 35
185 12 4
186 8 9
187 1 11
188 11 19
189 3 35
190 18 43
191 6 36
192 22 34
193 10 31
194 5 4
195 25 20
196 13 31
197 6 39
198 3 1
199 1 27
200 7 22
201 30 7
202 22 42
203 9 14
204 2 31
205 8 30
206 15 23
207 7 26
208 18 18
209 7 13
210 11 13
211 24 25
212 23 39
213 3 47
214 29 45
215 13 28
216 28 5
217 4 1
218 18 2
219 5 10
220 15 12
221 1 9
222 17 7
223 5 44
224 6 43
225 18 46
226 17 42
227 30 1
228 10 34
229 18 21
230 11 20
231 20 48
232 26 33
233 11 24
234 26 15
235 3 20
236 18 25
237 9 16
238 23 15
239 22 8
240 29 19
241 13 15
242 12 24
243 15 42
244 27 12
245 14 37
246 24 13
247 7 9
248 17 37
249 24 32
250 23 18
251 22 32
252 12 32
253 28 24
254 18 9
255 1 6
256 19 35
257 30 41
258 8 36
259 14 15
260 30 49
261 3 35
262 13 39
263 3 9
264 17 29
265 2 31
266 6 45
267 3 38
268 6 12
269 13 23
270 2 46
271 8 50
272 10 49
273 12 40
274 27 25
275 14 36
276 5 8
277 10 37
278 17 14
279 7 25
280 22 39
281 26 40
282 23 20
283 7 11
284 11 39
285 5 4
286 24 15
287 23 16
288 25 47
289 5 1
290 21 10
291 16 48
292 17 7
293 4 15
294 13 31
295 12 14
296 11 47
297 23 5
298 18 31
299 15 48
300 2 2
301 1 7
302 16 5
303 12 30
304 11 28
305 1 24
306 17 18
307 11 6
308 17 6
309 12 49
310 8 13
311 24 8
312 21 19
313 13 28
314 29 29
315 27 22
316 30 29
317 9 47
318 26 2
319 17 36
320 20 9
321 21 18
322 8 33
323 15 4
324 29 47
325 22 26
326 19 16
327 24 22
328 24 48
329 9 34
330 8 28
331 6 8
332 16 34
333 14 41
334 25 32
335 9 16
336 30 41
337 26 18
338 14 10
339 1 12
340 28 25
341 9 19
342 30 24
343 10 23
344 21 40
345 28 49
346 7 13
347 28 25
348 16 13
349 17 33
350 25 47
351 30 36
352 8 35
353 15 11
354 27 28
355 24 4
356 22 12
357 2 43
358 26 13
359 27 8
360 13 24
361 28 21
362 27 15
363 25 34
364 20 12
365 28 26
366 20 18
367 21 47
368 14 18
369 9 2
370 5 32
371 18 48
372 26 29
373 22 33
374 14 8
375 20 46
376 11 50
377 6 19
378 4 13
379 3 45
380 26 20
381 20 35
382 19 33
383 4 45
384 30 42
385 26 46
386 6 5
387 5 21
388 16 36
389 5 29
390 13 46
391 24 25
392 25 41
393 14 11
394 5 48
395 5 30
396 29 25
397 7 8
398 27 50
399 4 8
400 13 1
401 13 18
402 26 49
403 10 41
404 4 44
405 9 28
406 30 44
407 22 34
408 6 45
409 14 41
410 4 1
411 2 13
412 5 38
413 20 33
414 9 25
415 10 32
416 5 44
417 9 30
418 22 41
419 2 25
420 24 42
421 2 25
422 25 5
423 1 23
424 12 6
425 3 45
426 16 34
427 17 32
428 4 28
429 4 12
430 12 3
431 25 29
432 18 46
433 30 39
434 6 32
435 25 21
436 3 18
437 28 10
438 3 8
439 12 26
440 25 46
441 20 21
442 1 27
443 22 4
444 26 18
445 8 8
446 22 12
447 16 20
448 19 45
449 10 44
450 8 25
451 7 3
452 14 14
453 22 18
454 23 45
455 13 37
456 30 13
457 27 20
458 1 11
459 26 48
460 28 43
461 25 49
462 26 42
463 28 15
464 9 28
465 30 18
466 4 26
467 10 49
468 9 33
469 17 11
470 17 9
471 18 16
472 23 6
473 8 15
474 16 13
475 3 45
476 5 19
477 24 12
478 13 11
479 6 3
480 20 38
481 20 45
482 3 42
483 24 4
484 14 10
485 26 1
486 30 15
487 8 45
488 11 5
489 29 38
490 17 23
491 23 23
492 4 26
493 5 6
494 28 12
495 28 30
496 29 29
497 16 12
498 30 19
499 27 44
500 10 32
501 6 2
502 27 13
503 16 19
504 20 6
505 16 36
506 21 40
507 19 24
508 7 45
509 1 7
510 16 40
511 28 5
512 28 13
513 8 38
514 14 34
515 3 15
516 25 28
517 16 11
518 12 13
519 11 11
520 21 37
521 29 1
522 18 9
523 26 45
524 23 6
525 13 8
526 7 40
527 14 14
528 22 31
529 23 37
530 24 35
531 12 29
532 24 17
533 1 6
534 12 22
