555 2845
1 2 10
2 26 4
3 17 26
4 29 33
5 18 36
6 15 38
7 22 24
8 1 47
9 8 34
10 10 14
11 7 36
12 15 27
13 20 34
14 10 7
15 15 41
16 14 18
17 12 42
18 11 38
19 27 49
20 23 47
21 16 7
22 24 19
23 23 36
24 15 12
25 29 16
26 25 16
27 12 42
28 14 1
29 27 13
30 17 43
31 13 32
32 10 6
33 23 30
34 14 40
35 20 18
36 18 15
37 4 21
38 25 8
39 26 49
40 9 27
41 25 46
42 14 18
43 19 37
44 28 15
45 20 26
46 17 4
47 19 18
48 10 32
49 7 5
50 23 28
51 12 10
52 22 47
53 12 28
54 25 39
55 16 25
56 15 42
57 12 8
58 29 10
59 25 28
60 14 46
61 15 32
62 29 14
63 9 10
64 7 47
65 14 19
66 24 37
67 30 17
68 24 11
69 14 40
70 9 22
71 26 14
72 23 38
73 13 24
74 7 19
75 23 23
76 4 8
77 4 15
78 3 5
79 24 19
80 3 40
81 29 27
82 16 18
83 25 11
84 8 39
85 10 28
86 30 18
87 1 24
88 5 16
89 19 1
90 4 2
91 15 48
92 11 29
93 24 35
94 15 39
95 13 37
96 8 43
97 5 6
98 30 10
99 16 39
100 8 18
101 6 9
102 15 9
103 4 41
104 4 33
105 21 7
106 4 16
107 6 46
108 16 21
109 10 32
110 30 34
111 8 39
112 16 35
113 14 37
114 4 12
115 5 43
116 9 42
117 1 15
118 30 34
119 25 25
120 18 47
121 2 1
122 4 39
123 18 11
124 20 27
125 2 19
126 10 12
127 9 37
128 6 3
129 23 39
130 14 49
131 3 44
132 13 33
133 28 42
134 28 12
135 7 36
136 28 50
137 28 22
138 20 38
139 4 49
140 4 26
141 19 26
142 7 28
143 22 34
144 12 37
145 4 45
146 25 6
147 8 27
148 30 47
149 11 9
150 18 39
151 26 17
152 8 36
153 30 27
154 23 24
155 28 36
156 1 46
157 1 39
158 5 25
159 2 6
160 21 47
161 2 45
162 2 41
163 14 43
164 27 44
165 11 44
166 24 47
167 13 21
168 14 2
169 19 6
170 7 28
171 23 27
172 16 6
173 5 50
174 30 38
175 28 40
176 24 9
177 26 35
178 30 9
179 9 36
180 24 30
181 2 37
182 18 46
183 9 11
184 17 10
185 6 26
186 19 10
187 14 14
188 5 19
189 16 44
190 16 23
191 15 42
192 3 21
193 26 34
194 11 5
195 20 37
196 16 3
197 5 15
198 18 34
199 25 46
200 25 42
201 11 33
202 11 25
203 9 16
204 5 14
205 11 2
206 28 46
207 13 20
208 28 21
209 24 48
210 27 25
211 4 14
212 9 11
213 28 28
214 6 2
215 13 40
216 5 46
217 4 45
218 2 24
219 22 18
220 27 25
221 9 26
222 20 14
223 8 37
224 14 3
225 16 12
226 27 22
227 5 7
228 12 2
229 14 27
230 23 8
231 8 49
232 3 41
233 25 26
234 7 7
235 23 3
236 11 14
237 19 2
238 7 28
239 8 12
240 10 25
241 13 6
242 26 47
243 24 27
244 18 47
245 23 2
246 24 22
247 12 9
248 25 46
249 14 31
250 22 29
251 3 34
252 22 13
253 15 18
254 30 24
255 9 19
256 29 3
257 6 46
258 29 41
259 23 48
260 27 27
261 1 43
262 29 2
263 23 15
264 17 38
265 15 1
266 26 29
267 16 7
268 14 23
269 6 33
270 6 4
271 14 46
272 18 31
273 12 8
274 2 16
275 7 10
276 24 7
277 24 44
278 10 8
279 28 9
280 6 2
281 11 11
282 21 46
283 18 24
284 18 43
285 8 16
286 29 13
287 3 8
288 16 6
289 16 19
290 23 22
291 20 17
292 21 34
293 30 40
294 13 20
295 10 38
296 1 10
297 19 3
298 16 18
299 8 25
300 12 36
301 2 10
302 20 5
303 18 45
304 10 35
305 5 33
306 16 45
307 11 36
308 30 12
309 28 22
310 21 27
311 30 4
312 27 10
313 26 44
314 7 34
315 28 38
316 11 12
317 20 22
318 26 19
319 19 27
320 23 33
321 21 8
322 17 11
323 6 8
324 25 23
325 20 5
326 9 39
327 28 37
328 28 16
329 30 26
330 19 50
331 13 21
332 11 14
333 12 28
334 22 10
335 24 34
336 15 15
337 14 23
338 7 39
339 1 1
340 13 10
341 8 11
342 30 17
343 18 49
344 12 29
345 14 32
346 28 38
347 4 40
348 12 48
349 27 35
350 29 23
351 9 3
352 19 14
353 6 15
354 24 6
355 18 16
356 17 27
357 18 16
358 13 25
359 4 27
360 6 39
361 8 33
362 18 12
363 25 29
364 11 41
365 24 19
366 25 34
367 22 3
368 29 47
369 30 2
370 24 39
371 19 20
372 25 46
373 17 9
374 3 2
375 15 28
376 20 45
377 2 17
378 18 36
379 28 18
380 9 13
381 6 43
382 28 7
383 16 46
384 15 15
385 9 10
386 23 19
387 9 19
388 24 15
389 7 36
390 6 14
391 3 7
392 28 27
393 16 17
394 22 25
395 4 42
396 17 19
397 25 34
398 28 32
399 1 34
400 8 31
401 4 2
402 19 24
403 30 12
404 21 48
405 30 8
406 11 14
407 5 20
408 20 42
409 6 4
410 16 21
411 25 2
412 2 31
413 7 21
414 12 19
415 24 9
416 29 49
417 2 47
418 23 33
419 20 15
420 21 9
421 22 43
422 13 36
423 23 14
424 29 50
425 27 44
426 13 12
427 15 14
428 2 33
429 4 4
430 11 39
431 24 49
432 8 28
433 17 12
434 10 7
435 26 40
436 25 47
437 15 39
438 5 47
439 23 13
440 18 19
441 17 20
442 10 3
443 5 24
444 6 18
445 9 38
446 27 44
447 9 46
448 11 35
449 17 31
450 1 32
451 12 8
452 20 6
453 16 14
454 2 48
455 27 2
456 27 35
457 3 48
458 27 8
459 1 24
460 15 49
461 24 33
462 25 2
463 28 15
464 26 34
465 25 27
466 17 17
467 14 47
468 2 31
469 30 26
470 29 38
471 29 47
472 22 1
473 6 11
474 30 19
475 4 35
476 29 47
477 9 13
478 20 49
479 28 36
480 4 22
481 4 1
482 20 49
483 19 14
484 29 10
485 9 9
486 28 17
487 5 21
488 29 3
489 21 29
490 1 17
491 5 39
492 5 33
493 22 15
494 3 31
495 2 17
496 24 15
497 27 44
498 5 17
499 27 43
500 16 47
501 22 23
502 25 8
503 16 35
504 12 26
505 13 32
506 14 29
507 3 9
508 14 26
509 5 46
510 26 26
511 22 9
512 10 28
513 24 4
514 24 12
515 8 22
516 30 1
517 14 24
518 1 41
519 9 22
520 27 23
521 16 12
522 22 28
523 20 15
524 3 44
525 20 10
526 21 22
527 30 10
528 21 24
529 5 47
530 27 13
531 8 47
532 25 13
533 12 25
534 4 32
535 29 22
536 25 4
537 23 8
538 1 5
539 4 35
540 20 33
541 14 21
542 26 15
543 2 9
544 28 47
545 15 27
546 11 24
547 5 27
548 18 46
549 22 41
550 20 50
551 4 36
552 3 49
553 13 35
554 23 16
555 11 4
