515 2583
1 16 24
2 18 30
3 8 16
4 10 4
5 2 46
6 16 45
7 30 42
8 2 17
9 25 25
10 26 44
11 10 31
12 8 38
13 5 34
14 12 42
15 4 46
16 12 19
17 21 49
18 9 28
19 16 18
20 3 37
21 5 50
22 23 34
23 22 16
24 2 38
25 22 50
26 22 32
27 12 31
28 29 7
29 15 13
30 28 18
31 18 41
32 7 30
33 21 37
34 28 6
35 24 40
36 14 20
37 2 26
38 15 35
39 14 6
40 22 35
41 5 5
42 6 37
43 26 37
44 25 2
45 29 44
46 19 8
47 15 7
48 7 27
49 23 46
50 25 48
51 18 30
52 27 29
53 6 21
54 3 1
55 27 34
56 15 33
57 29 3
58 1 26
59 9 15
60 17 39
61 1 47
62 28 47
63 14 36
64 3 48
65 22 9
66 6 19
67 19 12
68 19 46
69 5 11
70 26 13
71 6 30
72 7 36
73 22 18
74 11 22
75 24 39
76 12 44
77 16 9
78 30 41
79 5 15
80 18 28
81 5 33
82 18 13
83 17 46
84 30 31
85 18 5
86 13 5
87 27 39
88 11 20
89 18 3
90 24 42
91 2 5
92 27 29
93 14 29
94 29 10
95 5 6
96 19 19
97 9 36
98 24 37
99 3 43
100 7 40
101 10 11
102 4 36
103 21 36
104 7 9
105 19 50
106 12 32
107 5 40
108 20 20
109 10 28
110 11 14
111 25 19
112 15 25
113 26 20
114 11 38
115 14 27
116 9 13
117 19 22
118 20 42
119 18 7
120 10 48
121 18 3
122 9 12
123 4 40
124 23 16
125 29 15
126 11 3
127 23 15
128 18 40
129 16 38
130 7 50
131 7 5
132 22 5
133 19 14
134 26 38
135 30 47
136 25 29
137 1 15
138 1 47
139 14 25
140 2 22
141 10 42
142 4 24
143 29 1
144 4 44
145 11 42
146 5 7
147 9 7
148 3 27
149 22 11
150 16 41
151 17 50
152 21 10
153 26 13
154 28 19
155 28 19
156 12 29
157 2 15
158 14 20
159 28 19
160 6 8
161 11 10
162 16 11
163 28 28
164 29 39
165 8 4
166 1 47
167 15 2
168 18 20
169 4 15
170 10 3
171 13 31
172 21 44
173 27 35
174 6 16
175 13 33
176 23 15
177 12 40
178 25 12
179 18 15
180 20 7
181 28 33
182 25 24
183 4 12
184 13 47
185 26 34
186 30 8
187 4 32
188 14 13
189 8 21
190 8 21
191 13 3
192 27 46
193 22 14
194 17 11
195 28 9
196 10 48
197 11 24
198 21 24
199 16 16
200 12 11
201 9 23
202 11 15
203 15 26
204 27 22
205 26 4
206 4 50
207 18 33
208 7 50
209 6 6
210 2 25
211 14 31
212 4 6
213 15 45
214 29 42
215 20 2
216 24 10
217 27 24
218 24 31
219 11 2
220 24 46
221 16 50
222 27 15
223 4 44
224 26 29
225 11 28
226 25 14
227 30 29
228 9 16
229 15 49
230 27 34
231 22 11
232 23 28
233 16 19
234 20 37
235 20 16
236 24 27
237 25 31
238 22 48
239 16 7
240 28 28
241 6 34
242 11 46
243 4 11
244 3 38
245 1 20
246 13 12
247 12 18
248 10 17
249 6 49
250 15 5
251 26 39
252 14 30
253 21 27
254 9 48
255 13 8
256 15 21
257 4 17
258 16 7
259 27 28
260 25 37
261 9 17
262 10 32
263 4 41
264 9 21
265 10 3
266 18 7
267 23 11
268 17 13
269 27 17
270 2 21
271 7 36
272 11 20
273 2 8
274 16 30
275 28 22
276 8 38
277 1 18
278 10 26
279 28 20
280 27 49
281 24 24
282 26 17
283 6 44
284 21 24
285 12 43
286 24 40
287 8 37
288 19 32
289 14 37
290 21 33
291 28 31
292 1 50
293 30 42
294 16 9
295 11 22
296 10 34
297 17 15
298 20 34
299 30 31
300 7 23
301 25 50
302 13 2
303 18 21
304 25 34
305 19 48
306 26 19
307 28 38
308 28 29
309 19 43
310 7 39
311 16 46
312 3 14
313 12 24
314 7 23
315 16 3
316 6 30
317 5 8
318 4 42
319 10 18
320 15 41
321 5 43
322 29 44
323 20 26
324 12 9
325 1 9
326 29 36
327 26 21
328 10 18
329 7 48
330 10 4
331 21 35
332 16 7
333 24 19
334 30 26
335 8 25
336 16 5
337 17 26
338 28 48
339 1 20
340 6 23
341 20 5
342 9 35
343 27 10
344 22 25
345 9 44
346 9 11
347 30 14
348 7 24
349 4 17
350 11 21
351 13 18
352 15 11
353 23 25
354 18 45
355 6 16
356 8 25
357 12 28
358 1 48
359 17 15
360 25 45
361 8 5
362 16 37
363 10 24
364 22 3
365 12 14
366 15 34
367 11 50
368 14 25
369 26 4
370 10 21
371 9 37
372 25 42
373 24 7
374 19 2
375 1 15
376 18 30
377 29 5
378 29 38
379 9 30
380 20 22
381 6 17
382 6 28
383 26 1
384 3 41
385 4 22
386 13 24
387 20 7
388 15 23
389 15 6
390 6 36
391 22 25
392 15 41
393 10 33
394 28 10
395 25 20
396 21 12
397 6 38
398 29 3
399 29 41
400 5 44
401 4 7
402 20 23
403 15 36
404 27 29
405 13 24
406 6 15
407 9 31
408 25 28
409 25 34
410 19 31
411 15 21
412 2 40
413 19 33
414 4 47
415 15 38
416 2 39
417 16 13
418 11 12
419 9 10
420 21 43
421 23 6
422 17 31
423 8 13
424 10 5
425 17 48
426 27 1
427 21 31
428 13 29
429 13 36
430 17 37
431 16 18
432 7 23
433 23 40
434 15 33
435 9 27
436 5 33
437 14 32
438 24 22
439 24 25
440 8 40
441 15 14
442 3 45
443 16 35
444 13 10
445 30 1
446 17 47
447 30 25
448 30 2
449 24 6
450 14 12
451 2 9
452 25 15
453 10 10
454 28 35
455 26 15
456 5 10
457 1 19
458 6 28
459 13 30
460 28 24
461 30 36
462 3 50
463 20 42
464 21 24
465 7 37
466 15 30
467 15 31
468 14 36
469 2 32
470 10 28
471 8 46
472 29 30
473 4 47
474 8 18
475 6 45
476 4 6
477 2 16
478 27 41
479 7 9
480 4 5
481 5 1
482 4 41
483 3 29
484 18 25
485 12 50
486 24 10
487 25 44
488 11 11
489 10 50
490 20 16
491 6 23
492 13 27
493 28 29
494 28 46
495 9 31
496 22 34
497 3 37
498 16 16
499 26 4
500 2 27
501 23 47
502 18 49
503 30 31
504 29 32
505 30 41
506 9 26
507 3 21
508 4 3
509 21 21
510 18 39
511 24 50
512 4 36
513 18 50
514 23 3
515 23 44
