553 2815
1 7 42
2 21 5
3 2 3
4 6 15
5 3 6
6 3 10
7 10 33
8 3 22
9 5 36
10 12 23
11 19 21
12 7 26
13 30 48
14 29 15
15 2 24
16 16 8
17 16 18
18 14 49
19 1 29
20 3 5
21 26 25
22 24 8
23 19 28
24 29 45
25 13 50
26 9 1
27 22 17
28 29 32
29 24 7
30 26 15
31 2 43
32 24 47
33 22 38
34 17 34
35 18 9
36 8 6
37 15 3
38 3 45
39 11 41
40 9 43
41 3 8
42 16 16
43 24 24
44 29 40
45 2 44
46 4 13
47 18 30
48 12 2
49 27 8
50 15 36
51 9 23
52 11 5
53 7 3
54 2 7
55 6 40
56 2 40
57 19 49
58 15 25
59 22 4
60 6 5
61 29 21
62 9 39
63 20 30
64 10 18
65 10 24
66 14 10
67 8 44
68 24 25
69 29 15
70 23 44
71 27 34
72 25 7
73 24 39
74 3 7
75 14 48
76 21 43
77 1 30
78 13 20
79 11 22
80 28 50
81 7 41
82 29 45
83 26 25
84 21 34
85 1 5
86 19 49
87 21 13
88 18 24
89 14 42
90 21 49
91 20 41
92 23 12
93 2 25
94 1 33
95 26 20
96 24 45
97 22 45
98 1 48
99 21 11
100 11 11
101 17 12
102 2 7
103 26 19
104 21 31
105 30 11
106 20 1
107 13 22
108 22 27
109 17 45
110 11 44
111 4 44
112 28 26
113 10 30
114 5 10
115 2 7
116 21 9
117 28 32
118 25 44
119 2 45
120 24 11
121 17 5
122 4 12
123 17 25
124 20 25
125 9 50
126 20 35
127 3 10
128 22 35
129 29 36
130 4 31
131 2 14
132 19 10
133 7 5
134 15 48
135 12 30
136 1 10
137 5 24
138 11 13
139 20 10
140 29 21
141 21 8
142 25 6
143 27 16
144 20 6
145 11 33
146 18 44
147 17 26
148 3 45
149 2 9
150 23 33
151 1 5
152 3 27
153 18 15
154 1 27
155 27 29
156 27 37
157 16 3
158 2 3
159 20 31
160 8 22
161 6 45
162 26 14
163 22 20
164 28 5
165 29 2
166 20 21
167 26 32
168 17 35
169 18 37
170 12 24
171 7 10
172 23 2
173 13 6
174 4 34
175 29 13
176 16 4
177 19 21
178 17 32
179 30 24
180 17 20
181 26 26
182 10 33
183 19 38
184 18 6
185 26 31
186 12 42
187 20 46
188 16 4
189 11 49
190 18 39
191 14 43
192 4 22
193 5 10
194 4 4
195 26 42
196 16 11
197 17 17
198 25 27
199 5 12
200 2 32
201 2 15
202 16 34
203 22 21
204 7 13
205 19 26
206 3 34
207 10 47
208 26 34
209 18 11
210 10 43
211 2 15
212 25 20
213 11 50
214 6 37
215 1 29
216 29 5
217 26 44
218 8 7
219 6 26
220 19 36
221 14 24
222 10 23
223 12 25
224 29 29
225 17 50
226 12 40
227 24 26
228 19 46
229 25 6
230 25 38
231 14 5
232 4 29
233 20 31
234 26 15
235 8 6
236 10 11
237 11 19
238 6 2
239 15 44
240 21 33
241 3 2
242 2 8
243 29 30
244 5 6
245 5 39
246 3 21
247 13 38
248 11 42
249 30 38
250 18 27
251 4 8
252 20 26
253 8 25
254 28 25
255 20 10
256 7 14
257 11 29
258 1 41
259 20 27
260 16 47
261 26 38
262 27 10
263 15 17
264 24 46
265 5 11
266 13 50
267 30 12
268 5 48
269 18 4
270 22 9
271 3 28
272 12 25
273 28 44
274 6 18
275 30 11
276 4 37
277 1 32
278 17 27
