514 2691
1 12 47
2 27 10
3 2 19
4 11 33
5 20 10
6 18 36
7 2 40
8 29 41
9 20 48
10 24 41
11 6 38
12 11 17
13 22 15
14 2 4
15 4 2
16 26 35
17 20 32
18 26 22
19 23 36
20 14 24
21 5 4
22 2 38
23 25 10
24 29 14
25 10 44
26 16 45
27 12 19
28 11 43
29 3 4
30 8 16
31 26 35
32 12 7
33 17 47
34 28 21
35 12 34
36 4 28
37 27 5
38 6 31
39 27 46
40 27 26
41 1 2
42 12 22
43 22 34
44 7 4
45 17 16
46 21 44
47 1 22
48 11 17
49 30 30
50 9 3
51 3 32
52 11 1
53 9 48
54 12 5
55 25 30
56 2 35
57 3 3
58 7 5
59 18 25
60 10 24
61 10 31
62 30 40
63 24 20
64 18 24
65 9 46
66 26 14
67 30 8
68 24 18
69 5 47
70 4 1
71 26 5
72 16 9
73 9 44
74 15 46
75 10 24
76 21 9
77 16 40
78 21 10
79 21 8
80 25 12
81 26 10
82 17 35
83 10 40
84 2 24
85 29 25
86 27 14
87 1 14
88 14 41
89 9 38
90 18 28
91 14 8
92 6 19
93 20 38
94 30 12
95 26 14
96 23 3
97 6 1
98 7 45
99 11 40
100 20 29
101 26 46
102 24 48
103 11 20
104 18 19
105 27 25
106 6 22
107 4 34
108 23 35
109 21 22
110 17 18
111 16 21
112 20 13
113 2 8
114 27 14
115 9 28
116 4 16
117 24 37
118 13 36
119 26 50
120 15 15
121 26 50
122 16 10
123 15 28
124 14 6
125 22 42
126 5 37
127 23 47
128 11 36
129 26 7
130 19 5
131 6 42
132 30 11
133 18 35
134 17 36
135 4 1
136 20 12
137 12 37
138 13 37
139 27 18
140 24 18
141 10 18
142 16 24
143 6 6
144 9 22
145 24 7
146 28 49
147 10 47
148 12 29
149 23 8
150 24 17
151 28 15
152 10 9
153 24 2
154 27 20
155 9 40
156 29 30
157 10 44
158 3 27
159 1 13
160 8 16
161 21 27
162 6 20
163 16 27
164 19 8
165 14 12
166 26 43
167 9 5
168 4 32
169 18 50
170 13 27
171 20 41
172 28 1
173 16 13
174 27 38
175 25 27
176 23 46
177 23 20
178 7 28
179 7 15
180 16 32
181 29 11
182 15 7
183 16 30
184 8 23
185 9 42
186 21 20
187 22 11
188 10 19
189 3 47
190 6 49
191 3 10
192 26 25
193 9 13
194 3 27
195 27 40
196 19 5
197 20 35
198 23 17
199 4 2
200 30 42
201 3 42
202 2 26
203 22 31
204 14 26
205 9 1
206 5 3
207 30 22
208 28 39
209 24 32
210 15 13
211 1 25
212 7 22
213 19 30
214 9 24
215 21 30
216 26 26
217 11 29
218 1 25
219 21 47
220 2 40
221 17 26
222 2 7
223 20 21
224 17 33
225 4 13
226 25 26
227 18 14
228 8 48
229 15 36
230 12 27
231 15 39
232 12 37
233 17 5
234 3 29
235 11 15
236 20 47
237 2 14
238 5 41
239 4 3
240 26 40
241 6 20
242 25 5
243 5 12
244 4 31
245 9 25
246 8 15
247 5 11
248 24 33
249 7 16
250 12 17
251 30 31
252 6 22
253 14 22
254 22 30
255 15 37
256 1 42
257 29 35
258 18 45
259 19 1
260 6 49
261 28 35
262 4 42
263 7 19
264 15 14
265 14 36
266 22 14
267 18 49
268 15 14
269 21 48
270 25 47
