638 3258
1 8 40
2 16 24
3 1 42
4 29 17
5 6 46
6 24 22
7 8 45
8 18 22
9 27 43
10 16 33
11 12 18
12 13 49
13 3 25
14 9 21
15 26 25
16 24 15
17 6 39
18 10 26
19 12 50
20 2 37
21 15 18
22 10 24
23 2 50
24 5 28
25 22 33
26 22 23
27 30 14
28 23 4
29 11 14
30 4 28
31 8 49
32 22 4
33 19 34
34 11 20
35 23 25
36 9 28
37 14 18
38 13 5
39 29 50
40 4 10
41 22 46
42 23 33
43 21 7
44 6 1
45 30 11
46 28 10
47 20 22
48 5 50
49 27 45
50 30 39
51 11 28
52 18 14
53 17 21
54 30 16
55 10 4
56 27 1
57 21 9
58 5 13
59 18 20
60 26 37
61 2 45
62 16 41
63 18 10
64 21 24
65 27 12
66 3 27
67 11 32
68 23 37
69 12 12
70 4 23
71 17 31
72 5 17
73 11 9
74 2 8
75 18 47
76 15 10
77 11 40
78 2 9
79 12 44
80 12 8
81 17 46
82 6 47
83 18 30
84 16 31
85 12 39
86 4 8
87 19 28
88 27 10
89 17 8
90 19 16
91 16 13
92 7 46
93 25 31
94 16 8
95 14 38
96 5 33
97 25 2
98 19 12
99 22 14
100 3 25
101 15 48
102 14 23
103 5 10
104 24 13
105 29 3
106 9 26
107 7 5
108 2 21
109 15 27
110 20 11
111 6 46
112 13 1
113 18 23
114 4 31
115 19 8
116 25 43
117 25 40
118 27 32
119 10 3
120 4 20
121 17 22
122 6 23
123 19 19
124 16 13
125 7 25
126 15 13
127 21 19
128 5 20
129 12 30
130 30 32
131 28 6
132 24 44
133 15 40
134 5 46
135 24 19
136 8 50
137 20 15
138 3 18
139 3 20
140 3 31
141 14 7
142 13 16
143 28 9
144 25 19
145 9 34
146 30 28
147 1 25
148 11 36
149 26 46
150 23 10
151 24 50
152 29 5
153 4 33
154 13 48
155 2 7
156 29 46
157 23 23
158 11 42
159 4 48
160 12 22
161 13 13
162 9 24
163 17 21
164 21 3
165 26 43
166 2 31
167 5 22
168 16 10
169 15 8
170 20 6
171 26 38
172 23 30
173 12 14
174 22 45
175 1 33
176 18 43
177 6 18
178 18 32
179 29 28
180 26 4
181 13 49
182 27 19
183 11 22
184 30 25
185 1 39
186 2 46
187 28 35
188 5 40
189 20 46
190 24 12
191 29 2
192 16 26
193 21 24
194 17 9
195 3 43
196 5 27
197 1 1
198 15 13
199 4 27
200 19 4
201 25 21
202 29 43
203 15 25
204 24 4
205 21 19
206 7 1
207 12 22
208 6 43
209 25 34
210 21 50
211 18 17
212 26 21
213 17 23
214 13 40
215 9 22
216 15 15
217 14 45
218 9 48
219 30 42
220 23 42
221 3 19
222 22 34
223 12 19
224 8 37
225 2 29
226 26 30
227 7 13
228 30 14
229 15 34
230 5 35
231 27 2
232 10 50
233 16 8
234 29 15
235 12 1
236 26 14
237 11 49
238 19 13
239 27 27
240 21 21
241 17 38
242 2 3
243 20 3
244 8 37
245 26 25
246 3 43
247 16 24
248 24 21
249 22 43
250 16 35
251 13 43
252 30 16
253 12 48
254 30 10
255 14 30
256 20 32
257 19 33
258 15 18
259 5 2
260 26 23
261 18 31
262 7 3
263 24 10
264 4 37
265 22 9
266 1 47
267 13 20
268 12 44
269 10 43
270 24 45
271 22 35
272 7 40
273 18 13
274 9 4
275 26 17
276 6 44
277 17 42
278 16 50
279 4 19
280 17 5
281 29 9
282 21 32
283 1 14
284 27 2
285 26 32
286 16 29
287 17 24
288 10 36
289 26 31
290 1 2
291 7 19
292 5 45
293 2 40
294 16 15
295 1 34
296 22 41
297 3 24
298 24 25
299 28 1
300 26 45
301 2 21
302 16 50
303 25 47
304 27 32
305 27 30
306 3 25
307 18 29
308 1 9
309 11 17
310 16 31
311 10 47
312 23 44
313 10 47
314 28 9
315 7 43
316 14 30
317 26 31
318 2 12
319 7 18
320 23 6
321 9 28
322 12 46
323 16 3
324 7 28
325 21 32
326 20 20
327 28 33
328 26 47
329 29 33
330 6 27
331 8 11
332 18 45
333 23 39
334 28 21
335 9 50
336 16 7
337 29 10
338 5 37
339 2 11
340 24 32
341 2 24
342 13 21
343 26 18
344 27 36
345 23 24
346 4 32
347 26 23
348 16 28
349 2 33
350 1 22
351 24 28
352 10 15
353 27 36
354 21 48
355 16 14
356 11 39
357 19 34
358 29 44
359 23 28
360 21 5
361 11 46
362 28 39
363 29 13
364 16 32
365 17 16
366 23 33
367 16 34
368 9 32
369 30 49
370 10 17
371 4 12
372 16 3
373 27 14
374 28 50
375 1 29
376 26 44
377 4 44
378 2 44
379 28 49
380 15 7
381 17 29
382 9 12
383 23 39
384 13 34
385 7 24
386 20 50
387 26 5
388 24 34
389 11 2
390 3 13
391 2 39
392 6 7
393 14 39
394 21 41
395 8 25
396 17 6
397 4 37
398 17 18
399 25 11
400 1 13
401 27 2
402 25 24
403 17 18
404 27 29
405 1 40
406 21 4
407 20 47
408 21 13
409 17 13
410 5 26
411 29 4
412 1 44
413 30 49
414 3 17
415 30 13
416 9 48
417 15 45
418 1 23
419 5 27
420 11 35
421 18 43
422 29 47
423 11 1
424 1 28
425 5 16
426 13 3
427 19 36
428 19 10
429 14 11
430 18 45
431 16 9
432 22 42
433 13 12
434 6 17
435 11 18
436 14 8
437 30 42
438 27 1
439 14 17
440 30 10
441 24 32
442 12 4
443 17 12
444 6 3
445 13 43
446 27 50
447 11 39
448 11 6
449 2 6
450 2 42
451 23 27
452 10 34
453 10 6
454 24 13
455 24 13
456 2 10
457 27 36
458 13 15
459 19 28
460 27 21
461 3 14
462 20 23
463 4 12
464 20 5
465 29 4
466 9 41
467 20 50
468 5 50
469 15 10
470 14 30
471 13 38
472 9 21
473 5 2
474 5 23
475 1 2
476 24 3
477 17 15
478 8 22
479 19 7
480 16 47
481 10 26
482 30 40
483 25 14
484 21 31
485 15 4
486 1 49
487 11 1
488 19 17
489 14 6
490 30 35
491 17 33
492 17 25
493 19 16
494 6 29
495 13 23
496 16 34
497 29 15
498 13 23
499 10 15
500 16 4
501 29 18
502 5 11
503 8 23
504 30 22
505 8 19
506 6 36
507 13 44
508 10 1
509 30 5
510 30 34
511 20 7
512 17 28
513 21 42
514 2 2
515 16 7
516 7 26
517 24 11
518 29 44
519 4 18
520 15 13
521 26 22
522 19 38
523 25 10
524 30 26
525 27 21
526 19 46
527 27 28
528 25 49
529 19 28
530 22 24
531 27 9
532 2 12
533 9 40
534 5 2
535 19 19
536 7 44
537 30 17
538 13 7
539 6 24
540 24 44
541 25 45
542 9 23
543 2 15
544 14 42
545 13 25
546 7 29
547 3 18
548 20 2
549 29 45
550 15 17
551 5 23
552 22 7
553 29 46
554 5 17
555 30 48
556 20 16
557 24 1
558 28 15
559 15 11
560 28 9
561 8 25
562 27 20
563 4 29
564 13 3
565 25 30
566 11 39
567 2 35
568 25 41
569 12 9
570 27 1
571 19 16
572 26 2
573 28 6
574 29 35
575 18 26
576 23 5
577 22 32
578 27 46
579 20 49
580 20 34
581 28 22
582 4 30
583 16 21
584 22 40
585 19 28
586 30 39
587 25 8
588 3 15
589 3 11
590 19 32
591 18 41
592 29 40
593 22 15
594 27 33
595 25 36
596 8 43
597 29 42
598 14 17
599 2 47
600 26 42
601 14 45
602 11 20
603 4 25
604 14 18
605 5 34
606 10 24
607 5 38
608 15 48
609 24 1
610 13 18
611 18 50
612 2 47
613 1 35
614 15 4
615 11 20
616 6 6
617 4 28
618 8 20
619 12 13
620 27 38
621 7 38
622 21 23
623 5 28
624 12 28
625 8 4
626 16 18
627 6 9
628 26 48
629 24 30
630 22 26
631 19 47
632 4 14
633 4 11
634 13 27
635 15 22
636 14 21
637 29 26
638 15 34
