506 2671
1 27 13
2 23 22
3 30 50
4 17 19
5 27 25
6 24 48
7 6 41
8 8 24
9 14 13
10 19 36
11 26 25
12 1 19
13 30 31
14 17 15
15 6 12
16 18 44
17 27 50
18 5 36
19 11 44
20 26 17
21 28 21
22 26 45
23 22 13
24 10 35
25 15 18
26 21 22
27 14 31
28 12 33
29 3 19
30 7 40
31 10 16
32 23 6
33 25 50
34 24 15
35 3 1
36 3 12
37 22 50
38 8 33
39 22 27
40 9 39
41 6 39
42 22 41
43 11 4
44 23 36
45 24 21
46 5 3
47 7 10
48 1 3
49 9 6
50 20 3
51 26 2
52 16 27
53 12 25
54 21 15
55 23 30
56 15 48
57 20 17
58 8 43
59 2 12
60 28 45
61 4 2
62 19 22
63 21 11
64 25 19
65 26 44
66 23 24
67 27 38
68 22 48
69 14 13
70 25 16
71 4 19
72 3 13
73 7 2
74 15 8
75 15 32
76 24 49
77 6 3
78 20 46
79 15 46
80 17 33
81 19 39
82 16 36
83 9 9
84 15 42
85 11 49
86 28 16
87 18 22
88 29 4
89 16 35
90 24 42
91 9 17
92 2 4
93 21 14
94 9 36
95 19 17
96 30 48
97 18 25
98 15 36
99 13 19
100 9 6
101 30 38
102 13 37
103 12 1
104 2 39
105 8 7
106 10 6
107 4 22
108 21 46
109 17 11
110 13 45
111 8 2
112 4 35
113 26 30
114 12 11
115 9 2
116 8 20
117 2 40
118 8 3
119 23 49
120 23 32
121 18 22
122 29 31
123 5 49
124 6 31
125 9 9
126 26 38
127 22 21
128 24 40
129 1 47
130 10 1
131 9 19
132 30 40
133 20 27
134 14 4
135 7 36
136 25 34
137 29 25
138 6 4
139 3 44
140 16 34
141 14 13
142 3 15
143 24 47
144 14 36
145 23 5
146 16 43
147 15 7
148 24 35
149 13 27
150 30 11
151 4 25
152 27 23
153 9 12
154 28 24
155 27 15
156 29 10
157 8 31
158 7 13
159 19 32
160 8 22
161 27 35
162 4 11
163 21 48
164 7 25
165 26 37
166 5 40
167 23 31
168 24 13
169 25 43
170 18 3
171 17 46
172 23 36
173 9 41
174 8 7
175 2 47
176 30 10
177 13 46
178 23 23
179 23 19
180 27 20
181 27 34
182 1 21
183 16 26
184 4 12
185 28 23
186 15 25
187 21 29
188 22 49
189 19 10
190 17 42
191 28 37
192 2 41
193 12 24
194 5 26
195 14 14
196 5 3
197 9 8
198 13 14
199 13 8
200 18 1
201 21 42
202 17 1
203 30 38
204 1 40
205 29 7
206 13 9
207 3 34
208 21 24
209 29 15
210 1 5
211 10 48
212 7 28
213 25 29
214 4 39
215 19 21
216 1 19
217 22 17
218 11 33
219 17 21
220 14 7
221 27 6
222 25 20
223 2 17
224 5 2
225 2 48
226 26 13
227 25 14
228 21 1
229 5 34
230 9 33
231 6 30
232 1 17
233 18 21
234 1 4
235 21 26
236 3 19
237 23 27
238 30 24
239 4 37
240 8 27
241 24 35
242 21 28
243 19 31
244 20 45
245 26 18
246 7 21
247 29 27
248 19 47
249 9 41
250 12 41
251 16 14
252 29 49
253 3 49
254 24 38
255 25 3
256 16 20
257 18 6
258 19 38
259 9 28
260 12 6
261 5 10
262 19 46
263 8 19
264 12 36
265 10 45
266 28 27
267 29 38
268 17 3
269 8 3
270 20 24
271 17 7
272 3 44
273 2 41
274 23 2
275 28 16
276 28 15
277 5 36
278 20 12
279 14 3
280 19 15
281 7 26
282 24 7
283 4 20
284 19 3
285 4 50
286 27 31
287 26 19
288 16 20
289 12 11
290 21 29
291 26 28
292 3 3
293 25 4
294 4 21
295 6 15
296 7 3
297 30 30
298 9 5
299 2 20
300 28 25
301 19 36
302 17 25
303 14 33
304 4 15
305 25 14
306 26 20
307 4 40
308 4 10
309 4 40
310 20 49
311 14 17
312 13 45
313 18 14
314 30 49
315 3 9
316 16 1
317 4 32
318 5 49
319 26 20
320 26 10
321 16 11
322 2 29
323 10 5
324 30 43
325 4 20
326 14 49
327 8 46
328 14 35
329 9 45
330 6 41
331 23 11
332 24 48
333 14 18
334 18 12
335 20 13
336 21 25
337 3 4
338 15 23
339 11 44
340 17 4
341 25 10
342 15 2
343 18 48
344 19 18
345 2 24
346 21 46
347 14 4
348 25 29
349 3 42
350 20 12
351 25 13
352 18 27
353 16 42
354 1 26
355 8 18
356 2 2
357 9 36
358 4 38
359 5 42
360 6 26
361 7 18
362 21 2
363 1 15
364 30 45
365 26 20
366 17 12
367 22 46
368 9 49
369 20 41
370 17 27
371 18 8
372 28 39
373 25 33
374 6 29
375 6 33
376 26 42
377 20 26
378 23 20
379 22 25
380 7 49
381 4 25
382 13 27
383 10 1
384 7 9
385 21 3
386 25 1
387 2 15
388 11 6
389 7 16
390 16 23
391 19 41
392 16 50
393 18 9
394 12 11
395 23 38
396 2 28
397 2 24
398 26 31
399 26 32
400 10 18
401 17 26
402 8 48
403 10 8
404 6 39
405 26 43
406 13 26
407 24 28
408 5 3
409 28 46
410 4 22
411 3 27
412 21 44
413 10 8
414 7 25
415 2 16
416 12 28
417 3 12
418 27 35
419 21 32
420 13 46
421 7 37
422 13 10
423 6 48
424 24 6
425 3 29
426 7 28
427 15 30
428 1 6
429 27 49
430 20 30
431 14 24
432 7 9
433 27 34
434 13 7
435 27 17
436 25 43
437 3 29
438 24 20
439 16 20
440 25 21
441 28 4
442 8 5
443 13 20
444 20 21
445 29 42
446 21 34
447 17 9
448 4 3
449 14 36
450 21 11
451 24 17
452 5 8
453 6 9
454 18 21
455 8 2
456 23 27
