658 3487
1 27 50
2 23 48
3 29 49
4 17 41
5 22 31
6 11 16
7 8 7
8 27 31
9 6 37
10 6 12
11 24 7
12 28 4
13 3 32
14 19 47
15 4 34
16 1 20
17 13 13
18 27 31
19 23 44
20 24 14
21 24 26
22 20 13
23 14 28
24 5 40
25 16 50
26 23 41
27 19 31
28 26 33
29 22 4
30 19 7
31 17 39
32 17 19
33 3 45
34 2 15
35 18 27
36 30 13
37 12 11
38 18 35
39 11 22
40 14 6
41 24 27
42 19 34
43 19 44
44 16 22
45 28 44
46 18 36
47 14 6
48 27 36
49 1 10
50 2 40
51 6 33
52 13 37
53 4 30
54 3 36
55 13 49
56 1 26
57 7 41
58 1 37
59 25 26
60 18 34
61 11 37
62 11 4
63 23 27
64 1 43
65 26 44
66 2 23
67 17 36
68 1 20
69 27 34
70 25 22
71 4 47
72 7 10
73 20 8
74 26 24
75 15 5
76 19 6
77 1 29
78 11 33
79 28 4
80 7 45
81 27 11
82 8 23
83 28 28
84 24 17
85 3 50
86 18 46
87 19 36
88 15 38
89 15 2
90 13 30
91 6 21
92 17 47
93 21 49
94 21 10
95 22 10
96 25 49
97 12 24
98 1 19
99 23 15
100 17 16
101 26 24
102 1 14
103 12 18
104 21 6
105 9 13
106 17 25
107 25 23
108 13 38
109 22 5
110 17 25
111 14 3
112 23 37
113 26 44
114 18 29
115 10 44
116 14 25
117 30 6
118 19 31
119 13 41
120 6 42
121 4 23
122 28 40
123 17 42
124 27 20
125 26 24
126 5 12
127 16 19
128 18 4
129 12 5
130 22 23
131 1 27
132 10 20
133 2 40
134 10 7
135 20 37
136 20 35
137 21 17
138 5 8
139 10 3
140 29 5
141 6 25
142 28 4
143 14 18
144 17 7
145 12 40
146 30 24
147 26 31
148 3 49
149 20 44
150 25 49
151 11 4
152 24 41
153 22 10
154 30 33
155 12 29
156 28 40
157 23 7
158 15 46
159 24 3
160 15 48
161 22 34
162 1 9
163 14 14
164 19 33
165 29 14
166 3 39
167 19 18
168 10 43
169 29 29
170 25 43
171 29 14
172 12 14
173 1 26
174 19 46
175 10 15
176 13 21
177 8 14
178 1 13
179 9 39
180 7 39
181 2 32
182 8 23
183 19 9
184 7 28
185 9 41
186 20 48
187 7 3
188 21 29
189 10 21
190 14 9
191 26 17
192 11 35
193 2 11
194 8 12
195 29 46
196 30 3
197 7 29
198 27 28
199 7 43
200 27 26
201 25 28
202 15 41
203 22 35
204 29 11
205 5 45
206 11 42
207 23 1
208 17 46
209 23 26
210 17 13
211 13 8
212 5 50
213 7 43
214 29 25
215 25 35
216 12 20
217 24 26
218 12 45
219 30 33
220 15 17
221 7 27
222 18 39
223 29 36
224 14 41
225 3 42
226 3 36
227 21 20
228 27 39
229 22 15
230 24 49
231 11 15
232 20 14
233 23 31
234 18 2
235 25 14
236 10 41
237 2 30
238 21 20
239 15 16
240 20 28
241 17 14
242 25 10
243 13 1
244 18 47
245 15 13
246 5 15
247 30 16
248 20 22
249 16 37
250 13 13
251 22 45
252 3 43
253 4 36
254 22 40
255 11 23
256 19 10
257 8 33
258 19 21
259 3 16
260 9 49
261 9 15
262 25 10
263 20 44
264 21 27
265 12 5
266 29 35
267 9 44
268 9 24
269 9 42
270 14 29
271 24 34
272 8 2
273 29 6
274 14 3
275 24 44
276 2 4
277 18 18
278 23 37
279 2 45
280 3 45
281 29 2
282 22 48
283 25 10
284 3 25
285 22 38
286 13 17
287 2 43
288 8 40
289 30 43
290 22 23
291 26 45
292 8 43
293 3 42
294 11 26
295 26 44
296 30 35
297 7 1
298 24 43
299 13 6
300 17 14
301 4 21
302 10 17
303 25 50
304 26 15
305 22 49
306 9 30
307 24 17
308 14 6
309 30 5
310 21 46
311 30 2
312 12 48
313 3 15
314 12 15
315 22 10
316 10 15
317 10 9
318 21 45
319 20 38
320 21 4
321 17 49
322 13 30
323 7 8
324 5 27
325 12 17
326 24 13
327 28 5
328 30 22
329 9 1
330 28 42
331 30 17
332 17 42
333 18 39
334 28 37
335 29 48
336 10 15
337 16 24
338 24 15
339 2 30
340 13 43
341 28 16
342 16 15
343 10 17
344 17 40
345 10 24
346 1 31
347 21 39
348 2 20
349 30 11
350 6 8
351 8 48
352 12 6
353 21 17
354 22 2
355 8 14
356 5 45
357 9 2
358 29 48
359 10 47
360 19 39
361 21 21
362 12 13
363 20 45
364 24 39
365 26 39
366 16 15
367 6 19
368 10 7
369 15 41
370 18 34
371 4 4
372 18 34
373 17 38
374 13 27
375 15 21
376 7 7
377 12 38
378 21 3
379 15 4
380 11 40
381 4 38
382 4 32
383 6 26
384 20 42
385 28 49
386 25 24
387 13 4
388 27 11
389 3 40
390 17 29
391 2 6
392 27 5
393 25 9
394 27 29
395 22 49
396 10 8
397 16 24
398 11 43
399 11 30
400 16 18
401 28 12
402 23 32
403 5 50
404 23 8
405 21 31
406 8 2
407 16 25
408 27 33
409 13 15
410 3 47
411 14 33
412 6 1
413 18 46
414 4 8
415 15 29
416 27 2
417 21 20
418 14 7
419 1 28
420 16 11
421 28 4
422 12 44
423 28 20
424 8 12
425 15 40
426 28 50
427 22 15
428 10 29
429 10 43
430 28 34
431 24 17
432 28 14
433 6 23
434 22 8
435 30 38
436 18 7
437 23 31
438 2 22
439 13 29
440 13 37
441 19 43
442 16 42
443 27 37
444 3 17
445 30 12
446 22 5
447 8 41
448 20 15
449 5 41
450 2 14
451 18 39
452 23 22
453 10 26
454 13 22
455 25 26
456 10 25
457 20 47
458 6 26
459 3 40
460 14 14
461 22 48
462 8 29
463 30 37
464 4 5
465 30 15
466 30 7
467 16 44
468 11 27
469 30 23
470 30 24
471 18 11
472 20 19
473 17 17
474 7 41
475 17 42
476 27 8
477 9 24
478 6 31
479 23 29
480 27 42
481 6 6
482 30 3
483 10 30
484 29 21
485 3 30
486 16 2
487 20 45
488 11 48
489 21 19
490 8 17
491 20 46
492 14 1
493 30 12
494 21 34
495 12 17
496 5 37
497 4 26
498 21 23
499 6 21
500 5 10
501 30 40
502 3 39
503 24 35
504 16 45
505 13 26
506 13 13
507 11 39
508 23 42
509 30 45
510 15 41
511 21 1
512 20 34
513 29 20
514 29 36
515 21 3
516 25 40
517 23 7
518 9 28
519 24 16
520 14 46
521 1 37
522 30 14
523 7 22
524 5 26
525 18 32
526 16 28
527 14 45
528 24 12
529 15 24
530 7 5
531 16 43
532 16 20
533 12 26
534 30 45
535 2 23
536 10 34
537 1 50
538 19 37
539 23 6
540 12 41
541 27 28
542 10 22
543 24 33
544 14 38
545 8 30
546 4 36
547 13 42
548 15 24
549 27 6
550 20 10
551 19 9
552 14 41
553 30 44
554 18 35
555 9 41
556 17 37
557 10 46
558 29 44
559 21 42
560 3 38
561 23 29
562 13 47
563 10 30
564 12 38
565 25 41
566 18 15
567 22 43
568 16 13
569 16 35
570 27 37
571 7 23
572 13 47
573 1 31
574 12 3
575 22 26
576 2 47
577 4 15
578 3 25
579 26 17
580 3 32
581 7 12
582 9 10
583 4 6
584 3 41
585 2 21
586 27 18
587 26 50
588 24 16
589 12 5
590 30 4
591 3 11
592 10 36
593 7 44
594 3 24
