509 2443
1 22 30
2 18 40
3 30 37
4 28 4
5 20 42
6 14 24
7 24 7
8 22 36
9 7 32
10 27 12
11 5 37
12 26 16
13 10 4
14 23 35
15 9 13
16 16 20
17 4 13
18 11 45
19 2 38
20 28 11
21 9 4
22 6 34
23 30 8
24 10 48
25 11 18
26 9 7
27 15 35
28 14 26
29 28 48
30 22 38
31 10 7
32 19 5
33 1 21
34 30 22
35 28 49
36 15 38
37 22 22
38 14 13
39 1 43
40 10 21
41 12 19
42 9 18
43 15 5
44 3 44
45 12 4
46 24 14
47 22 44
48 18 33
49 25 19
50 16 24
51 28 42
52 4 21
53 4 37
54 16 44
55 1 45
56 7 42
57 5 47
58 30 21
59 21 4
60 15 3
61 10 50
62 16 21
63 3 35
64 23 9
65 4 11
66 3 23
67 22 46
68 3 15
69 22 30
70 21 12
71 27 27
72 25 43
73 3 14
74 4 24
75 18 30
76 18 27
77 9 45
78 19 23
79 11 4
80 22 34
81 4 14
82 28 17
83 21 3
84 12 44
85 2 44
86 17 8
87 20 11
88 21 44
89 27 16
90 29 44
91 25 46
92 2 25
93 2 20
94 27 23
95 15 30
96 18 38
97 25 16
98 5 5
99 8 38
100 18 1
101 1 6
102 29 2
103 7 11
104 17 43
105 26 16
106 8 22
107 23 11
108 6 5
109 12 44
110 7 7
111 4 34
112 6 18
113 1 2
114 5 18
115 9 24
116 1 21
117 10 29
118 4 48
119 1 23
120 2 16
121 28 31
122 7 2
123 1 34
124 6 24
125 27 34
126 30 2
127 20 28
128 20 20
129 29 44
130 20 20
131 29 10
132 22 48
133 10 18
134 15 30
135 30 36
136 27 27
137 8 33
138 8 8
139 28 36
140 12 44
141 1 13
142 16 42
143 22 17
144 2 21
145 12 3
146 12 30
147 24 33
148 10 5
149 20 24
150 4 39
151 2 32
152 7 29
153 24 47
154 9 31
155 4 22
156 6 4
157 6 23
158 16 28
159 9 9
160 10 50
161 13 43
162 22 26
163 15 11
164 22 27
165 16 17
166 7 49
167 8 36
168 10 11
169 12 20
170 13 17
171 21 20
172 2 28
173 23 19
174 7 31
175 9 6
176 13 41
177 20 14
178 18 27
179 26 49
180 23 11
181 25 21
182 12 12
183 26 41
184 24 39
185 30 18
186 27 2
187 30 29
188 29 32
189 29 36
190 14 28
191 13 48
192 20 43
193 13 38
194 29 38
195 8 23
196 11 5
197 25 12
198 18 3
199 4 44
200 11 15
201 23 50
202 6 2
203 20 44
204 13 28
205 1 49
206 25 24
207 6 25
208 8 9
209 14 36
210 26 1
211 10 48
212 7 4
213 11 25
214 16 14
215 28 49
216 8 30
217 18 45
218 4 29
219 9 16
220 16 21
221 26 13
222 6 12
223 9 13
224 20 2
225 10 17
226 4 9
