627 3321
1 24 39
2 23 38
3 20 39
4 14 24
5 14 29
6 13 23
7 25 37
8 18 13
9 12 21
10 27 33
11 6 45
12 10 28
13 19 43
14 7 13
15 25 13
16 12 31
17 1 26
18 10 12
19 25 33
20 25 50
21 23 10
22 12 48
23 26 9
24 10 37
25 19 39
26 21 37
27 3 21
28 26 44
29 5 42
30 8 2
31 16 40
32 2 7
33 15 3
34 28 31
35 17 5
36 30 49
37 14 1
38 26 11
39 10 8
40 7 40
41 18 19
42 6 32
43 11 41
44 25 6
45 24 35
46 7 40
47 14 40
48 18 40
49 2 17
50 21 30
51 21 50
52 18 36
53 1 26
54 26 12
55 25 44
56 21 32
57 5 29
58 23 5
59 11 40
60 30 5
61 4 18
62 14 49
63 27 41
64 20 50
65 7 12
66 29 30
67 14 9
68 7 14
69 6 13
70 7 20
71 18 29
72 3 22
73 29 17
74 29 30
75 18 40
76 14 33
77 18 29
78 21 16
79 11 23
80 18 29
81 4 46
82 28 47
83 16 27
84 22 41
85 21 40
86 12 48
87 9 14
88 22 27
89 23 2
90 8 40
91 1 41
92 23 48
93 1 5
94 16 41
95 7 33
96 20 13
97 10 29
98 11 36
99 5 23
100 8 45
101 22 40
102 25 32
103 25 18
104 21 39
105 19 18
106 19 9
107 11 1
108 29 31
109 7 24
110 22 36
111 16 43
112 8 35
113 3 8
114 12 28
115 12 50
116 24 46
117 1 18
118 17 47
119 25 39
120 26 5
121 27 14
122 24 19
123 16 22
124 9 24
125 5 22
126 19 50
127 24 6
128 6 37
129 6 8
130 26 47
131 29 41
132 12 49
133 29 21
134 15 45
135 19 32
136 12 17
137 15 15
138 27 12
139 18 36
140 6 32
141 19 44
142 3 23
143 12 20
144 1 17
145 17 28
146 25 35
147 28 7
148 5 28
149 19 32
150 25 39
151 13 26
152 6 10
153 2 42
154 11 29
155 29 8
156 10 38
157 2 44
158 22 5
159 3 24
160 21 42
161 1 37
162 18 20
163 13 15
164 8 21
165 26 24
166 30 10
167 29 17
168 19 40
169 20 42
170 18 41
171 29 29
172 28 2
173 14 41
174 26 36
175 24 28
176 19 16
177 15 7
178 5 9
179 21 32
180 12 18
181 5 43
182 7 5
183 21 48
184 16 22
185 9 13
186 12 39
187 13 41
188 21 16
189 11 48
190 4 46
191 8 34
192 11 44
193 20 46
194 24 12
195 19 37
196 1 36
197 29 8
198 10 39
199 25 36
200 13 45
201 20 24
202 23 43
203 25 25
204 20 47
205 5 13
206 23 4
207 7 3
208 17 38
209 10 2
210 12 29
211 29 32
212 14 17
213 11 3
214 8 47
215 10 20
216 13 40
217 5 26
218 24 11
219 2 43
220 18 26
221 28 50
222 1 6
223 4 27
224 5 4
225 11 48
226 12 19
227 12 47
228 27 22
229 1 46
230 11 41
231 7 13
232 2 12
233 20 15
234 2 44
235 29 29
236 11 16
237 20 2
238 13 36
239 20 18
240 29 10
241 25 22
242 30 46
243 18 17
244 20 18
245 14 42
246 20 31
247 6 41
248 24 48
249 15 15
250 1 14
251 6 11
252 1 27
253 22 4
254 2 44
255 23 2
256 3 39
257 23 33
258 7 42
259 21 6
260 12 16
261 17 21
262 16 4
263 22 39
264 1 18
265 26 41
266 11 3
267 4 14
268 9 15
269 9 43
270 20 41
271 24 13
272 1 19
273 17 17
274 2 49
275 24 23
276 24 22
277 14 12
278 16 7
279 10 26
280 24 7
281 17 7
282 19 20
283 30 38
284 6 38
285 22 46
286 30 25
287 10 10
288 15 8
289 29 7
290 16 2
291 29 21
292 24 22
293 2 49
294 30 32
295 24 4
296 30 42
297 20 49
298 13 31
299 8 1
300 18 19
301 28 49
302 5 7
303 30 40
304 16 38
305 6 21
306 20 24
307 23 13
308 8 25
309 13 27
310 28 36
311 22 47
312 30 41
313 7 42
314 21 34
315 14 40
316 4 41
317 8 49
318 9 50
319 20 14
320 27 35
321 16 28
322 20 29
323 12 9
324 3 4
325 26 12
326 22 19
327 18 21
328 20 5
329 24 32
330 30 8
331 2 46
332 18 11
333 4 49
334 22 35
335 12 49
336 9 50
337 18 30
338 20 20
339 9 32
340 23 26
341 13 14
342 4 2
343 26 3
344 8 50
345 17 48
346 19 10
347 3 8
348 10 38
349 16 34
350 12 20
351 12 42
352 9 11
353 1 48
354 20 9
355 11 5
356 4 25
357 18 30
358 28 6
359 22 36
360 17 20
361 5 15
362 9 29
363 2 1
364 18 30
365 4 39
366 29 17
367 2 19
368 27 4
369 18 7
370 3 48
371 21 48
372 4 30
373 27 1
374 27 11
375 6 43
376 10 22
377 9 11
378 30 33
379 21 17
380 12 46
381 7 12
382 14 38
383 30 40
384 2 47
385 18 6
386 6 10
387 23 19
388 22 32
389 9 28
390 14 7
391 23 23
392 8 31
393 25 28
394 3 47
395 24 26
396 22 3
397 7 5
398 30 18
399 7 33
400 14 44
401 10 9
402 16 45
403 19 47
404 6 48
405 16 19
406 4 48
407 3 33
408 1 30
409 10 43
410 26 6
411 1 20
412 18 7
413 6 49
414 5 22
415 24 40
416 28 23
417 21 23
418 27 29
419 11 44
420 6 46
421 12 31
422 4 7
423 4 24
424 26 25
425 28 11
426 22 38
427 22 39
428 27 8
