528 2832
1 12 40
2 16 3
3 25 41
4 25 19
5 13 1
6 20 10
7 8 23
8 21 36
9 12 30
10 1 40
11 8 18
12 16 39
13 4 25
14 23 17
15 22 29
16 15 45
17 10 3
18 18 45
19 23 14
20 23 7
21 26 24
22 26 23
23 6 46
24 21 28
25 6 33
26 29 35
27 10 24
28 3 15
29 20 25
30 21 11
31 6 45
32 28 25
33 27 7
34 11 41
35 10 35
36 8 35
37 29 15
38 29 4
39 3 19
40 13 40
41 23 1
42 4 4
43 25 46
44 28 24
45 22 48
46 17 27
47 15 44
48 4 43
49 20 24
50 6 21
51 9 35
52 25 19
53 29 13
54 2 13
55 4 7
56 22 36
57 17 25
58 20 33
59 22 7
60 9 44
61 27 47
62 2 3
63 30 27
64 27 41
65 11 32
66 23 11
67 6 17
68 9 17
69 9 2
70 19 14
71 8 31
72 30 17
73 27 41
74 19 29
75 19 9
76 24 7
77 5 47
78 9 46
79 14 6
80 28 24
81 7 50
82 26 5
83 6 14
84 1 47
85 5 49
86 2 23
87 21 11
88 21 38
89 3 39
90 28 2
91 20 41
92 20 4
93 7 19
94 12 10
95 26 39
96 5 12
97 29 20
98 28 6
99 25 38
100 24 50
101 9 16
102 4 19
103 18 14
104 8 31
105 24 25
106 4 3
107 17 43
108 29 6
109 13 10
110 27 38
111 10 4
112 2 40
113 23 19
114 18 10
115 19 1
116 9 47
117 6 34
118 17 46
119 19 25
120 28 4
121 21 13
122 9 18
123 15 17
124 15 20
125 8 41
126 27 29
127 4 8
128 9 19
129 19 16
130 28 37
131 6 38
132 25 34
133 23 1
134 11 21
135 5 8
136 6 26
137 30 34
138 25 26
139 12 19
140 25 29
141 11 2
142 20 7
143 11 28
144 17 41
145 15 6
146 27 12
147 3 11
148 7 17
149 2 27
150 19 38
151 24 14
152 15 5
153 8 11
154 21 1
155 1 25
156 30 42
157 28 41
158 10 41
159 8 26
160 21 14
161 1 10
162 25 25
163 30 22
164 11 33
165 18 31
166 13 34
167 14 37
168 18 43
169 28 20
170 24 30
171 7 25
172 1 26
173 25 20
174 26 34
175 27 49
176 7 27
177 18 23
178 21 29
179 24 43
180 24 44
181 13 36
182 7 19
183 2 16
184 1 21
185 16 6
186 11 34
187 22 23
188 9 46
189 5 25
190 1 41
191 5 29
192 28 32
193 22 20
194 22 47
195 3 25
196 10 37
197 20 18
198 17 34
199 16 20
200 26 21
201 25 6
202 14 7
203 1 14
204 24 25
205 18 35
206 27 12
207 23 36
208 5 16
209 26 7
210 13 20
211 11 4
212 18 43
213 22 15
214 6 7
215 14 31
216 29 8
217 29 34
218 16 21
219 17 20
220 17 37
221 26 13
222 10 20
223 29 45
224 16 6
225 3 50
226 27 33
227 3 34
228 5 24
229 10 2
230 22 33
231 25 12
232 23 23
233 7 10
234 13 44
235 9 39
236 12 36
237 3 31
238 6 1
239 27 43
240 8 29
241 2 34
242 4 44
243 18 40
244 20 17
245 2 3
246 12 26
247 15 44
248 10 11
249 3 42
250 6 34
251 12 39
252 21 34
253 22 26
254 7 48
255 8 44
256 17 11
257 18 42
258 5 47
259 11 26
260 15 22
261 18 16
262 29 44
263 21 48
264 7 16
265 21 12
266 11 24
267 13 21
268 8 24
269 19 46
270 21 16
271 19 49
272 27 18
273 10 33
274 24 21
275 8 31
276 24 37
277 26 45
278 11 9
279 14 37
280 16 37
281 20 26
282 20 2
283 18 19
284 5 46
285 24 48
286 2 5
287 8 40
288 2 38
289 4 38
290 30 33
291 18 3
292 19 15
293 29 1
294 13 43
295 7 50
296 9 39
297 15 40
298 20 23
299 1 17
300 30 24
301 26 33
302 20 13
303 12 4
304 20 47
305 1 9
306 9 10
307 4 50
308 14 14
309 10 49
310 28 37
311 8 38
312 5 25
313 18 16
314 9 38
315 2 18
316 3 49
317 1 43
318 22 24
319 6 13
320 11 38
321 14 49
322 7 39
323 8 22
324 2 48
325 30 10
326 26 20
327 27 12
328 14 26
329 7 42
330 15 11
331 29 28
332 19 9
333 2 20
334 3 19
335 5 3
336 18 8
337 23 4
338 26 3
339 5 49
340 2 47
341 18 37
342 26 7
343 18 9
344 12 26
345 22 47
346 16 10
347 6 47
348 11 47
349 28 3
350 27 2
351 17 24
352 19 11
353 29 6
354 23 5
355 25 16
356 21 12
357 12 18
358 10 1
359 8 2
360 29 29
361 10 14
362 19 25
363 10 11
364 13 28
365 3 41
366 9 21
367 14 40
368 11 42
369 25 46
370 6 49
371 11 49
372 23 15
373 26 34
374 27 44
375 15 45
376 24 36
377 1 12
378 22 20
379 2 36
380 9 36
381 26 30
382 28 41
383 29 41
384 4 15
385 26 30
386 26 48
387 20 30
388 4 45
389 3 31
390 10 50
391 17 14
392 17 37
393 7 49
394 19 1
395 26 7
396 18 12
397 28 46
