568 3004
1 30 48
2 19 43
3 24 38
4 12 42
5 4 47
6 8 12
7 29 16
8 19 18
9 18 35
10 1 40
11 28 15
12 2 4
13 27 30
14 1 47
15 3 14
16 19 42
17 13 19
18 26 19
19 17 7
20 10 30
21 15 10
22 23 33
23 17 31
24 20 14
25 25 22
26 3 5
27 28 4
28 18 25
29 25 21
30 23 17
31 16 24
32 20 1
33 2 45
34 19 48
35 13 30
36 29 7
37 29 22
38 10 17
39 24 41
40 10 21
41 3 32
42 17 50
43 7 34
44 16 21
45 14 49
46 27 42
47 12 48
48 12 15
49 14 10
50 23 46
51 11 41
52 23 32
53 4 44
54 8 20
55 6 28
56 22 48
57 21 18
58 30 48
59 11 25
60 28 7
61 15 7
62 8 48
63 16 41
64 23 50
65 2 25
66 25 42
67 27 49
68 5 33
69 24 23
70 12 30
71 22 43
72 29 14
73 2 28
74 1 12
75 5 31
76 20 29
77 29 19
78 29 44
79 29 41
80 5 10
81 27 40
82 4 33
83 30 28
84 7 36
85 12 20
86 15 3
87 4 43
88 29 25
89 3 29
90 9 27
91 11 8
92 17 1
93 17 35
94 7 35
95 5 41
96 15 43
97 2 48
98 8 24
99 17 44
100 9 29
101 24 25
102 23 27
103 27 1
104 24 39
105 12 42
106 27 44
107 29 24
108 15 25
109 20 43
110 22 35
111 23 6
112 17 15
113 15 4
114 10 33
115 30 48
116 13 13
117 2 46
118 11 40
119 18 44
120 11 31
121 27 47
122 5 36
123 12 21
124 2 32
125 23 23
126 18 45
127 20 46
128 1 36
129 20 2
130 19 1
131 19 31
132 25 22
133 28 5
134 2 28
135 1 42
136 28 39
137 10 34
138 14 12
139 4 38
140 15 16
141 30 12
142 3 42
143 27 25
144 7 8
145 27 47
146 18 27
147 10 22
148 19 7
149 9 10
150 14 31
151 23 42
152 19 42
153 5 45
154 15 31
155 2 49
156 18 43
157 30 12
158 4 19
159 29 11
160 26 15
161 19 36
162 23 38
163 17 41
164 5 37
165 22 30
166 9 4
167 13 40
168 8 50
169 14 2
170 10 17
171 21 29
172 29 12
173 1 45
174 30 29
175 27 6
176 15 15
177 1 37
178 13 49
179 10 47
180 18 31
181 18 6
182 7 1
183 15 34
184 10 30
185 5 31
186 18 37
187 29 7
188 29 49
189 3 28
190 27 9
191 15 23
192 13 25
193 10 25
194 16 41
195 3 13
196 11 1
197 28 9
198 21 15
199 14 2
200 16 31
201 2 44
202 27 40
203 20 17
204 29 4
205 15 17
206 12 29
207 20 34
208 6 1
209 19 31
210 1 33
211 23 13
212 3 12
213 12 33
214 8 15
215 14 24
216 5 15
217 27 14
218 7 18
219 10 47
220 21 26
221 13 32
222 15 4
223 17 12
224 14 25
225 2 44
226 18 36
227 17 42
228 19 30
229 5 27
230 14 10
231 20 41
232 17 18
233 26 33
234 15 35
235 19 7
236 21 43
237 20 17
238 17 6
239 8 2
240 3 21
241 6 42
242 16 4
243 23 4
244 3 9
245 22 28
246 29 33
247 10 47
248 10 25
249 21 36
250 10 11
251 4 22
252 23 33
253 18 1
254 29 17
255 23 23
256 17 50
257 4 42
258 25 46
259 27 37
260 15 29
261 26 25
262 21 36
263 3 13
264 10 3
265 30 21
266 23 44
267 2 17
268 18 31
269 8 16
270 27 22
271 8 33
272 3 3
273 6 27
274 29 23
275 15 5
276 13 30
277 1 15
278 7 3
279 9 27
280 25 29
281 19 19
282 4 43
283 15 1
284 23 4
285 29 22
286 5 8
287 16 49
288 1 34
289 25 11
290 8 39
291 25 10
292 11 45
293 6 37
294 19 5
295 25 3
296 23 14
297 21 8
298 18 7
299 8 32
300 11 26
301 13 37
302 26 11
303 6 46
304 4 10
305 16 1
306 1 22
307 30 23
308 18 37
309 19 16
310 11 26
311 10 25
312 11 42
313 12 48
314 18 42
315 29 10
316 9 34
317 27 4
318 24 32
319 29 39
320 23 6
321 29 45
322 7 50
323 17 46
324 16 28
325 21 27
326 3 32
327 13 45
328 13 35
329 2 21
330 6 22
331 12 44
332 17 28
333 10 2
334 1 50
335 20 6
336 6 28
337 30 34
338 29 19
339 12 15
340 28 42
341 3 2
342 24 45
343 26 48
344 1 39
345 20 8
346 2 2
347 4 19
348 9 3
349 20 42
350 12 12
351 17 9
352 11 46
353 5 20
354 16 26
355 24 13
356 9 28
357 4 44
358 24 11
359 22 5
360 9 11
361 14 13
362 4 17
363 21 43
364 21 2
365 14 25
366 3 32
367 25 4
368 29 29
369 15 45
370 6 10
371 19 25
372 17 25
373 30 10
374 5 11
375 26 36
376 24 30
377 8 37
378 18 30
379 1 21
380 13 16
381 25 48
382 27 29
383 21 26
384 10 27
385 2 15
386 26 30
387 21 22
388 26 11
389 13 41
390 3 49
391 28 48
392 10 25
393 7 29
394 16 17
395 19 38
396 5 43
397 5 33
398 24 37
399 18 33
400 13 31
401 17 48
402 23 40
403 11 18
404 12 4
405 18 24
406 24 37
407 24 35
408 3 10
409 13 18
410 6 14
411 8 12
412 28 42
413 25 31
414 29 4
415 23 43
416 15 12
417 3 47
418 1 13
419 24 2
420 28 24
421 17 21
422 2 50
423 7 25
424 9 20
425 22 37
426 5 49
427 8 42
428 3 44
429 23 23
430 28 35
431 25 32
432 8 9
433 10 50
434 2 45
435 11 39
436 28 30
437 12 30
438 29 18
439 26 40
440 29 47
441 6 23
442 8 25
443 5 42
444 29 39
445 24 18
446 3 30
447 29 23
448 29 30
449 2 12
450 24 25
451 20 44
452 24 13
453 13 34
454 11 28
455 13 19
456 16 50
457 12 25
458 7 8
459 16 47
460 26 31
461 14 20
462 3 14
463 22 3
464 3 16
465 14 16
466 20 15
467 1 45
468 18 33
469 18 8
470 12 3
471 28 40
472 24 21
473 26 30
474 8 34
475 26 25
476 26 41
477 15 28
478 4 38
479 20 48
480 13 43
481 16 44
482 20 26
483 28 37
484 29 18
485 4 22
486 30 23
487 13 23
488 24 29
489 15 21
490 12 32
491 26 27
492 3 42
493 27 26
494 29 36
495 4 34
496 11 39
497 27 40
498 4 17
499 28 24
500 24 23
501 18 5
