537 2672
1 10 5
2 30 4
3 1 34
4 10 12
5 15 19
6 24 30
7 15 39
8 22 1
9 25 29
10 1 47
11 30 48
12 18 32
13 19 19
14 14 34
15 13 22
16 9 33
17 6 9
18 6 49
19 24 17
20 30 10
21 15 5
22 10 39
23 13 11
24 22 49
25 9 22
26 5 18
27 11 35
28 1 39
29 23 36
30 25 45
31 18 13
32 27 35
33 3 14
34 13 17
35 30 42
36 26 14
37 18 17
38 5 42
39 27 46
40 21 17
41 9 35
42 26 40
43 1 38
44 18 23
45 24 2
46 20 31
47 15 48
48 25 37
49 2 48
50 5 43
51 11 33
52 7 39
53 19 11
54 20 28
55 28 22
56 4 28
57 27 30
58 17 29
59 9 47
60 4 42
61 30 23
62 12 16
63 30 39
64 15 33
65 28 11
66 16 28
67 3 34
68 28 44
69 16 48
70 21 3
71 19 16
72 2 27
73 7 1
74 18 16
75 29 11
76 17 48
77 13 31
78 26 4
79 19 22
80 19 8
81 12 16
82 15 27
83 9 5
84 12 46
85 22 42
86 20 22
87 9 31
88 1 6
89 1 8
90 1 29
91 30 29
92 19 4
93 21 46
94 7 31
95 29 47
96 8 50
97 12 25
98 8 12
99 19 49
100 27 32
101 12 6
102 3 1
103 7 5
104 28 19
105 4 30
106 20 33
107 28 30
108 6 19
109 5 45
110 19 43
111 13 37
112 4 5
113 11 24
114 28 39
115 22 25
116 22 16
117 2 24
118 8 20
119 11 25
120 29 46
121 24 38
122 9 13
123 17 16
124 1 43
125 2 32
126 7 5
127 30 32
128 1 32
129 5 28
130 22 29
131 14 43
132 14 36
133 28 13
134 15 48
135 17 45
136 14 42
137 14 24
138 14 50
139 11 37
140 4 3
141 18 32
142 19 39
143 4 19
144 10 18
145 8 41
146 26 2
147 13 41
148 29 50
149 13 45
150 18 41
151 10 43
152 22 23
153 28 38
154 15 8
155 4 20
156 12 43
157 12 20
158 21 15
159 10 2
160 22 38
161 22 30
162 9 24
163 10 29
164 5 25
165 3 22
166 5 14
167 6 49
168 19 35
169 16 13
170 3 11
171 12 6
172 15 35
173 6 37
174 29 15
175 18 31
176 2 29
177 22 42
178 4 31
179 22 28
180 15 47
181 22 22
182 20 19
183 30 48
184 14 7
185 2 48
186 9 46
187 13 23
188 20 28
189 19 29
190 25 48
