664 3535
1 16 30
2 9 20
3 26 40
4 17 41
5 10 14
6 24 37
7 30 48
8 15 14
9 13 23
10 23 50
11 18 43
12 18 14
13 10 10
14 4 26
15 14 31
16 8 19
17 12 17
18 28 7
19 28 34
20 28 18
21 19 3
22 16 18
23 23 40
24 13 25
25 24 28
26 6 23
27 10 4
28 26 11
29 23 39
30 17 48
31 1 46
32 26 35
33 24 5
34 11 22
35 20 40
36 29 39
37 5 44
38 26 47
39 5 41
40 23 49
41 28 48
42 23 39
43 21 9
44 10 16
45 9 38
46 3 22
47 3 31
48 6 49
49 5 48
50 10 27
51 8 10
52 25 34
53 5 22
54 30 39
55 12 4
56 29 31
57 11 12
58 30 4
59 2 21
60 21 20
61 18 35
62 11 42
63 5 48
64 30 2
65 16 11
66 18 33
67 30 42
68 26 24
69 15 47
70 5 27
71 30 3
72 27 2
73 16 28
74 25 37
75 18 27
76 19 7
77 22 49
78 1 26
79 7 42
80 27 44
81 23 6
82 6 24
83 9 43
84 10 14
85 1 14
86 12 42
87 8 50
88 15 36
89 18 2
90 2 27
91 8 32
92 24 39
93 11 34
94 25 29
95 7 43
96 22 29
97 19 49
98 5 49
99 3 4
100 12 35
101 19 3
102 16 36
103 23 20
104 11 32
105 1 45
106 28 1
107 16 43
108 29 8
109 28 5
110 18 5
111 28 11
112 3 48
113 11 39
114 26 3
115 12 10
116 29 10
117 22 14
118 18 16
119 6 20
120 7 8
121 24 7
122 28 42
123 9 49
124 19 27
125 3 37
126 11 2
127 29 15
128 29 10
129 4 47
130 22 47
131 8 3
132 7 19
133 18 4
134 27 3
135 13 35
136 13 39
137 21 22
138 30 40
139 20 30
140 28 23
141 8 50
142 6 17
143 26 25
144 16 19
145 13 39
146 6 30
147 11 24
148 10 9
149 19 36
150 13 3
151 1 27
152 21 13
153 11 22
154 4 20
155 22 21
156 14 21
157 22 20
158 27 38
159 16 14
160 16 20
161 3 23
162 1 45
163 8 2
164 3 26
165 30 18
166 11 12
167 16 23
168 4 46
169 5 28
170 18 48
171 30 11
172 8 22
173 12 5
174 9 29
175 8 16
176 30 22
