619 3116
1 16 1
2 25 26
3 20 25
4 29 24
5 28 6
6 18 40
7 16 30
8 4 48
9 12 31
10 16 4
11 1 50
12 23 26
13 12 34
14 2 13
15 29 33
16 17 45
17 3 1
18 12 22
19 27 30
20 17 24
21 26 46
22 14 33
23 17 37
24 22 48
25 29 37
26 4 50
27 28 46
28 5 50
29 1 38
30 4 10
31 30 10
32 14 4
33 1 27
34 7 37
35 26 25
36 13 43
37 3 26
38 15 49
39 12 6
40 9 33
41 5 2
42 2 32
43 29 6
44 11 30
45 3 47
46 21 14
47 18 46
48 9 20
49 12 47
50 29 27
51 21 21
52 12 43
53 6 46
54 4 9
55 2 42
56 11 46
57 15 22
58 29 45
59 9 12
60 26 23
61 8 16
62 26 15
63 3 6
64 27 34
65 2 45
66 13 25
67 5 34
68 29 10
69 19 14
70 10 32
71 27 11
72 9 1
73 24 8
74 8 13
75 9 23
76 5 28
77 11 23
78 24 3
79 18 30
80 27 32
81 14 1
82 26 38
83 24 26
84 19 14
85 10 19
86 8 46
87 11 26
88 9 14
89 15 46
90 28 5
91 18 13
92 22 10
93 25 28
94 3 14
95 19 1
96 15 33
97 13 2
98 12 36
99 18 23
100 1 17
101 13 50
102 2 23
103 8 10
104 18 12
105 17 16
106 29 25
107 10 50
108 16 16
109 19 48
110 29 38
111 30 26
112 2 2
113 7 43
114 9 6
115 27 42
116 4 9
117 1 36
118 23 18
119 7 21
120 22 4
121 18 50
122 20 19
123 1 17
124 14 30
125 7 14
126 19 16
127 9 40
128 10 18
129 24 10
130 15 1
131 11 49
132 21 44
133 16 44
134 3 34
135 16 44
136 7 5
137 5 18
138 13 46
139 7 6
140 17 3
141 21 47
142 18 10
143 16 39
144 29 21
145 29 3
146 21 49
147 1 34
148 4 36
149 17 7
150 30 44
151 22 8
152 10 47
153 8 22
154 24 14
155 9 20
156 18 49
157 6 35
158 20 3
159 16 38
160 13 24
161 23 46
162 14 45
163 29 18
164 23 7
165 16 4
166 22 27
167 3 1
168 3 40
169 22 16
170 15 2
171 27 22
172 20 4
173 29 12
174 6 34
175 11 31
176 19 43
177 6 32
178 18 6
179 11 22
180 2 26
181 15 13
182 3 37
183 23 25
184 19 36
185 23 35
186 27 29
187 19 38
