596 3203
1 17 20
2 20 13
3 12 17
4 9 9
5 28 37
6 10 12
7 29 34
8 9 13
9 14 16
10 26 35
11 29 48
12 29 29
13 14 39
14 26 17
15 12 26
16 1 29
17 15 2
18 13 26
19 19 2
20 24 48
21 20 5
22 19 28
23 8 30
24 2 13
25 15 29
26 8 33
27 7 18
28 24 12
29 26 41
30 20 47
31 26 42
32 27 12
33 24 20
34 28 14
35 23 23
36 3 12
37 8 22
38 22 15
39 3 35
40 28 47
41 26 27
42 22 44
43 24 47
44 5 49
45 9 35
46 17 4
47 28 24
48 27 23
49 15 4
50 16 19
51 29 1
52 2 6
53 2 25
54 12 24
55 30 1
56 12 27
57 27 5
58 10 22
59 23 24
60 30 41
61 30 17
62 26 38
63 22 13
64 10 36
65 8 48
66 26 46
67 28 37
68 3 21
69 12 25
70 16 23
71 7 19
72 19 4
73 6 18
74 15 28
75 3 47
76 21 5
77 23 16
78 14 6
79 30 5
80 11 50
81 24 46
82 5 1
83 24 50
84 3 45
85 6 20
86 7 2
87 21 17
88 7 16
89 6 32
90 15 29
91 28 15
92 3 42
93 13 28
94 17 12
95 22 39
96 11 36
97 16 8
98 28 19
99 29 13
100 6 34
101 2 34
102 7 22
103 21 44
104 9 36
105 5 34
106 26 4
107 28 50
108 27 30
109 27 45
110 14 9
111 15 6
112 26 20
113 15 35
114 30 23
115 7 5
116 8 31
117 1 45
118 22 41
119 28 43
120 8 14
121 16 44
122 9 23
123 23 17
124 15 22
125 1 50
126 22 47
127 5 27
128 6 22
129 1 7
130 16 10
131 24 4
132 30 4
133 30 43
134 6 39
135 5 23
136 4 10
137 8 22
138 25 13
139 8 41
140 4 50
141 20 15
142 6 46
143 3 13
144 27 5
145 29 13
146 24 34
147 28 3
148 7 17
149 28 32
150 7 32
151 17 10
152 14 24
153 21 30
154 16 20
155 30 21
156 11 11
157 5 16
158 26 29
159 10 25
160 24 50
161 27 47
162 14 6
163 2 22
164 4 49
165 16 30
166 30 12
167 19 25
168 17 21
169 4 25
170 20 23
171 5 10
172 13 32
173 7 41
174 22 6
175 15 45
176 7 3
177 24 40
178 18 45
179 2 31
180 15 19
181 30 24
182 10 48
183 11 18
184 18 4
185 12 9
186 9 39
187 20 13
188 2 46
189 13 33
190 3 17
191 30 11
192 21 23
193 21 28
194 17 14
195 28 11
196 22 19
197 6 13
198 28 36
199 10 37
200 22 24
201 5 20
202 22 16
203 12 35
204 3 37
205 7 17
206 5 46
207 28 26
208 28 28
209 3 36
210 23 13
211 28 26
212 11 36
213 28 49
214 3 17
215 7 14
216 20 32
217 15 3
218 19 17
219 17 12
220 13 6
221 18 7
222 21 5
223 12 21
224 24 37
225 8 26
226 21 6
227 21 31
228 23 38
229 1 15
230 17 18
231 11 48
232 11 15
233 23 49
234 13 39
235 12 35
236 24 40
237 4 47
238 14 27
239 17 28
240 5 26
241 15 15
242 13 6
243 18 25
244 15 28
245 22 3
246 17 22
247 21 49
248 18 3
249 10 21
250 13 11
251 17 39
252 20 50
253 5 46
254 19 3
255 25 43
256 28 29
257 18 13
258 14 5
259 7 31
260 14 30
261 13 31
262 13 35
263 11 41
264 7 32
265 23 32
266 3 19
267 10 44
268 21 6
269 1 49
270 18 15
271 1 37
272 4 48
273 9 29
274 22 38
275 29 36
276 19 44
277 28 22
278 28 48
279 24 17
280 12 26
281 8 24
282 24 19
283 19 16
284 14 12
285 14 31
286 6 5
287 29 19
288 2 18
289 10 4
290 7 10
291 21 25
292 3 8
293 26 31
294 17 11
295 19 38
296 26 46
297 3 32
298 4 32
299 17 37
300 3 11
301 9 20
302 7 37
303 1 18
304 6 40
305 23 12
306 9 13
307 7 4
308 22 34
309 4 29
310 5 32
311 6 32
312 9 31
313 3 44
314 22 12
315 20 6
316 4 50
317 7 40
318 26 17
319 17 42
320 8 32
321 5 9
322 6 41
323 12 18
324 27 47
325 6 21
326 20 13
327 14 8
328 3 17
329 1 6
330 20 32
331 23 3
332 1 40
333 2 16
334 28 50
335 19 16
336 3 14
337 14 29
338 26 35
339 6 32
340 1 43
341 14 10
342 27 8
343 9 50
344 6 21
345 7 7
346 12 20
347 9 34
348 21 2
349 21 18
350 3 10
351 15 38
352 25 8
353 6 30
354 14 13
355 4 26
356 27 17
357 17 13
358 6 5
359 14 3
360 25 21
361 19 28
362 12 19
363 1 4
364 20 12
365 3 25
366 1 8
367 12 47
368 7 29
369 6 13
370 11 39
371 18 47
372 18 27
373 21 35
374 21 25
375 18 8
376 25 46
377 5 38
378 17 48
379 21 38
380 19 13
381 12 31
382 2 25
383 27 41
384 23 2
385 13 45
386 3 42
387 23 50
388 18 4
389 4 1
390 18 23
391 8 24
392 11 44
393 1 37
394 1 3
395 24 1
396 27 38
397 21 39
398 12 9
399 29 17
400 3 33
401 13 5
402 24 6
403 16 42
404 11 41
405 12 38
406 24 1
407 23 36
408 6 25
409 22 39
410 27 45
411 9 43
412 12 22
413 13 46
414 30 13
415 4 44
416 5 26
417 28 19
418 21 5
419 2 41
420 16 3
421 20 11
422 15 42
423 18 50
424 18 19
425 18 44
426 15 29
427 29 49
428 2 23
429 26 33
430 6 9
431 17 32
432 14 26
433 30 15
434 11 11
435 27 28
436 5 37
437 10 21
438 20 37
439 1 50
440 5 10
441 5 21
442 20 35
443 29 41
444 28 14
445 6 45
446 22 2
447 26 6
448 27 28
449 2 9
450 10 28
451 16 7
452 6 25
453 17 48
454 21 49
455 17 17
456 19 41
457 28 50
458 16 8
459 13 35
460 12 18
461 29 45
462 1 6
463 30 49
464 25 23
465 18 27
466 13 45
467 3 18
468 12 11
469 5 32
470 20 13
471 11 20
472 4 38
473 29 31
474 17 13
475 15 18
476 20 43
477 15 2
478 20 16
479 1 35
480 29 10
481 3 41
482 4 47
483 20 25
484 7 25
485 9 18
486 29 9
487 17 42
488 18 8
489 12 44
490 10 36
491 24 2
492 30 28
493 3 32
494 5 3
495 26 33
