665 3369
1 23 27
2 27 23
3 1 50
4 6 29
5 3 29
6 20 26
7 15 2
8 6 15
9 28 23
10 25 9
11 9 17
12 26 23
13 1 36
14 20 50
15 9 25
16 26 24
17 14 2
18 26 14
19 21 21
20 12 46
21 1 4
22 11 36
23 17 38
24 12 15
25 21 47
26 15 9
27 13 22
28 13 35
29 9 24
30 4 48
31 29 29
32 3 2
33 20 18
34 17 33
35 20 10
36 18 40
37 13 50
38 5 20
39 27 27
40 6 49
41 23 12
42 29 37
43 13 42
44 1 44
45 27 4
46 23 17
47 3 15
48 20 14
49 22 36
50 8 21
51 26 27
52 30 10
53 28 37
54 29 15
55 5 16
56 25 39
57 7 24
58 15 12
59 27 45
60 25 33
61 10 49
62 2 34
63 3 21
64 10 46
65 27 47
66 18 4
67 26 27
68 13 3
69 5 42
70 9 31
71 29 34
72 19 36
73 19 45
74 9 25
75 1 5
76 29 41
77 3 10
78 6 15
79 21 25
80 20 39
81 2 29
82 22 49
83 15 4
84 11 22
85 7 20
86 12 6
87 15 23
88 3 13
89 17 41
90 17 10
91 5 47
92 20 49
93 7 25
94 3 39
95 2 24
96 27 23
97 12 18
98 21 8
99 21 23
100 21 18
101 12 35
102 3 48
103 17 17
104 20 25
105 7 46
106 4 3
107 13 35
108 1 1
109 2 15
110 29 13
111 30 15
112 27 43
113 4 9
114 12 4
115 1 33
116 13 25
117 27 47
118 22 25
119 3 32
120 29 19
121 9 35
122 3 23
123 1 23
124 23 32
125 19 13
126 4 28
127 7 32
128 20 10
129 30 22
130 26 21
131 26 38
132 27 22
133 15 18
134 18 49
135 21 48
136 18 30
137 2 42
138 12 3
139 15 27
140 26 3
141 9 32
142 13 18
143 13 2
144 9 3
145 25 44
146 5 30
147 4 21
148 3 20
149 10 2
150 18 41
151 20 37
152 30 33
153 9 23
154 7 45
155 29 23
156 9 38
157 16 31
158 15 18
159 15 33
160 10 9
161 19 46
162 21 14
163 6 45
164 23 8
165 27 50
166 8 48
167 29 17
168 20 17
169 9 17
170 21 38
171 21 11
172 7 46
173 12 33
174 25 28
175 27 37
176 18 45
177 2 28
178 20 50
179 15 42
180 7 21
181 14 4
182 18 32
183 12 49
184 10 12
185 17 12
186 19 7
187 12 27
188 4 15
189 29 19
190 2 28
191 17 30
192 24 38
193 27 34
194 9 33
195 25 45
196 13 20
197 20 22
198 11 21
199 21 2
200 13 37
201 3 33
202 6 37
203 10 1
204 21 20
205 21 43
206 17 27
207 4 21
208 17 32
209 16 5
210 25 30
211 10 17
212 10 1
213 21 2
214 22 13
215 24 6
216 1 18
217 18 46
218 24 49
219 29 7
220 11 19
221 21 19
222 18 24
223 21 14
224 15 46
225 28 19
226 16 19
227 8 27
228 20 30
229 20 41
230 22 35
231 28 42
232 23 35
233 20 8
234 26 38
235 6 8
236 28 16
237 16 7
238 11 17
239 10 46
240 12 38
241 26 39
242 28 5
243 27 27
244 14 47
245 19 25
246 21 16
247 19 35
248 23 8
249 5 38
250 17 12
251 15 6
252 28 22
253 13 18
254 28 32
255 25 2
256 21 33
257 20 29
258 7 7
259 5 21
260 25 26
261 25 35
262 1 15
263 12 43
264 12 18
265 2 20
266 9 28
267 26 8
268 30 38
269 28 39
270 29 42
271 20 42
272 4 32
273 30 11
274 10 26
275 23 44
276 11 29
277 10 44
278 14 3
279 26 15
280 20 20
281 15 1
282 27 12
283 18 48
284 9 35
285 29 19
286 29 30
287 10 2
288 3 31
289 4 2
290 19 46
291 7 9
292 5 29
293 2 20
294 21 40
295 4 3
296 9 20
297 23 7
298 3 12
299 7 31
300 17 47
301 2 25
302 6 13
303 8 39
304 26 44
305 12 4
306 29 39
307 4 15
308 19 18
309 4 1
310 17 20
311 25 17
312 1 9
313 5 24
314 11 33
315 6 17
316 29 7
317 3 5
318 2 20
319 5 17
320 13 36
321 10 4
322 26 35
323 20 46
324 2 6
325 7 10
326 7 1
327 18 17
328 10 3
329 2 30
330 17 50
331 8 16
332 28 40
333 12 29
334 19 16
335 25 24
336 23 16
337 19 29
338 1 48
339 24 2
340 15 22
341 4 31
342 23 41
343 20 34
344 5 41
345 5 32
346 12 12
347 7 50
348 21 20
349 8 11
350 25 23
351 16 39
352 20 14
353 19 40
354 4 45
355 14 18
356 26 7
357 9 40
358 7 48
359 3 42
360 10 37
361 3 32
362 10 21
363 23 2
364 10 10
365 15 26
366 24 50
367 4 24
368 26 35
369 25 29
370 19 8
371 16 44
372 24 46
373 16 13
374 13 8
375 26 35
376 17 28
377 28 48
378 20 50
379 10 41
380 19 14
381 8 45
382 15 33
383 18 30
