590 2893
1 27 21
2 23 15
3 30 19
4 17 13
5 18 39
6 3 39
7 24 49
8 17 27
9 24 11
10 16 12
11 2 43
12 12 31
13 20 38
14 4 32
15 15 21
16 3 3
17 22 25
18 27 33
19 5 15
20 5 5
21 3 47
22 13 26
23 6 9
24 4 11
25 21 19
26 4 14
27 24 27
28 15 33
29 14 40
30 16 38
31 21 18
32 30 4
33 13 8
34 16 37
35 22 30
36 23 26
37 18 35
38 4 23
39 26 7
40 5 18
41 18 8
42 22 41
43 6 28
44 15 50
45 7 40
46 9 29
47 18 31
48 22 2
49 10 19
50 8 14
51 18 33
52 9 26
53 27 42
54 20 14
55 11 37
56 22 28
57 24 15
58 8 32
59 2 42
60 11 10
61 13 21
62 11 40
63 11 22
64 21 41
65 1 31
66 6 40
67 13 44
68 7 31
69 18 19
70 15 38
71 5 28
72 17 50
73 2 36
74 11 35
75 7 11
76 16 11
77 24 36
78 11 36
79 28 43
80 8 50
81 5 33
82 21 39
83 27 8
84 10 16
85 16 16
86 25 32
87 13 21
88 1 34
89 26 12
90 30 34
91 24 15
92 4 7
93 11 46
94 13 10
95 21 20
96 11 15
97 3 1
98 4 31
99 20 23
100 18 37
101 28 2
102 8 32
103 22 49
104 15 29
105 20 34
106 2 33
107 20 7
108 22 50
109 25 34
110 29 45
111 23 19
112 9 7
113 2 12
114 7 31
115 16 36
116 18 25
117 27 37
118 6 10
119 25 22
120 18 46
121 17 1
122 19 7
123 30 20
124 6 14
125 5 17
126 8 9
127 27 18
128 6 8
129 20 4
130 11 17
131 20 8
132 24 28
133 14 1
134 18 31
135 3 27
136 6 29
137 30 6
138 25 39
139 25 43
140 14 31
141 19 11
142 10 47
143 28 7
144 5 9
145 10 45
146 28 1
147 4 21
148 29 49
149 11 18
150 9 45
151 4 5
152 24 23
153 30 10
154 23 37
155 24 16
156 29 14
157 18 8
158 11 8
159 14 15
160 16 26
161 21 43
162 6 14
163 25 6
164 24 38
165 3 43
166 2 17
167 9 5
168 1 10
169 27 6
170 8 20
171 13 17
172 16 1
173 14 46
174 8 40
175 2 25
176 5 22
177 20 40
178 7 36
179 6 50
180 3 18
181 24 5
182 6 42
183 21 29
184 24 27
185 6 1
186 29 8
187 7 34
188 10 43
189 1 19
190 2 42
191 24 46
192 15 15
193 7 3
194 10 34
195 12 23
196 12 46
197 9 39
198 29 39
199 29 42
200 8 4
201 15 16
202 14 13
203 11 23
204 25 31
205 24 38
206 4 37
207 15 38
208 13 22
209 30 4
210 17 43
211 18 8
212 30 6
213 29 31
214 25 19
215 4 12
216 23 18
217 29 38
218 1 29
219 12 37
220 11 5
221 27 34
222 13 11
223 23 45
224 24 14
225 9 41
226 8 26
227 30 48
228 14 50
229 20 28
230 9 3
231 1 43
232 11 19
233 20 3
234 29 43
235 11 9
236 28 19
237 14 40
238 10 16
239 27 15
240 11 35
241 27 38
242 22 7
243 17 45
244 8 16
245 4 26
246 29 14
247 30 41
248 24 1
