540 2947
1 6 36
2 17 33
3 28 23
4 21 28
5 6 7
6 28 35
7 25 48
8 9 7
9 14 31
10 12 20
11 27 47
12 6 50
13 28 43
14 16 33
15 15 6
16 10 32
17 3 26
18 4 10
19 10 4
20 17 46
21 3 15
22 30 7
23 4 11
24 23 17
25 11 36
26 8 19
27 4 36
28 8 3
29 10 16
30 6 24
31 1 47
32 5 16
33 2 18
34 25 22
35 1 14
36 19 33
37 10 48
38 21 43
39 10 5
40 21 3
41 22 49
42 11 26
43 26 41
44 18 15
45 26 15
46 28 28
47 21 44
48 13 35
49 1 20
50 18 33
51 3 26
52 18 12
53 23 10
54 24 33
55 5 16
56 7 8
57 4 7
58 13 1
59 19 13
60 25 6
61 29 4
62 24 40
63 7 26
64 4 9
65 27 31
66 22 29
67 26 11
68 2 30
69 30 47
70 4 34
71 23 50
72 14 28
73 19 26
74 9 9
75 10 43
76 5 19
77 17 48
78 28 45
79 25 33
80 14 22
81 5 45
82 12 22
83 5 44
84 23 26
85 22 17
86 30 4
87 28 5
88 2 28
89 30 10
90 7 22
91 4 1
92 10 50
93 30 49
94 5 26
95 13 50
96 29 47
97 14 1
98 8 50
99 16 20
100 5 37
101 18 36
102 13 8
103 30 24
104 15 22
105 15 21
106 23 38
107 23 34
108 30 22
109 22 36
110 8 14
111 5 46
112 12 28
113 8 31
114 19 45
115 2 3
116 22 40
117 11 24
118 27 30
119 9 33
120 23 33
121 24 45
122 10 28
123 30 9
124 30 11
125 26 49
126 16 30
127 26 37
128 9 46
129 29 37
130 10 21
131 12 21
132 20 34
133 26 8
134 15 44
135 2 18
136 18 45
137 14 50
138 3 44
139 20 24
140 26 6
141 22 32
142 15 19
143 30 44
144 4 39
145 12 4
146 29 25
147 6 20
148 28 24
149 9 23
150 19 20
151 20 47
152 27 5
153 26 41
154 30 5
155 14 6
156 30 37
157 29 47
158 27 8
159 22 21
160 18 25
161 6 8
162 10 1
163 9 7
164 26 9
165 11 45
166 19 22
167 21 47
168 17 38
169 27 26
170 22 2
171 3 4
172 20 21
173 12 46
174 21 43
175 16 30
176 27 43
177 8 18
178 16 16
179 27 21
180 25 7
181 25 5
182 21 7
183 11 9
184 14 39
185 6 38
186 30 19
187 3 29
188 9 44
189 4 21
190 8 42
191 21 6
192 16 38
193 24 31
194 5 50
195 12 31
196 18 18
197 25 38
198 5 37
199 6 20
200 17 34
201 29 16
202 12 1
203 26 42
204 6 22
205 3 33
206 3 15
207 1 48
208 4 14
209 11 8
210 5 32
211 21 22
212 11 27
213 22 27
214 26 9
215 9 42
216 22 7
217 28 43
218 30 5
219 7 5
220 6 1
221 10 40
222 15 30
223 10 18
224 25 20
225 17 9
226 3 19
227 12 3
228 6 43
229 12 11
230 14 30
231 12 45
232 26 11
233 30 45
234 16 28
235 22 41
236 28 43
237 21 44
238 24 20
239 13 18
240 11 39
241 8 43
242 28 9
243 17 5
244 14 28
245 25 9
246 17 18
247 15 43
248 29 46
249 29 46
250 3 42
251 18 2
252 26 20
253 25 9
254 29 7
255 28 31
256 28 5
257 13 5
258 16 20
259 11 21
260 19 27
261 9 6
262 24 33
263 10 24
264 29 38
265 11 3
266 12 9
267 15 17
268 28 49
269 18 19
270 16 5
271 19 3
272 12 24
273 29 29
274 15 19
275 1 43
276 27 29
277 8 42
278 23 47
279 26 43
280 17 36
281 6 20
282 26 50
283 26 24
284 28 15
285 12 5
286 12 42
287 17 33
288 15 17
289 3 9
290 7 13
291 2 33
292 3 49
293 15 5
294 18 42
295 30 36
296 29 45
297 15 25
298 24 42
299 18 43
300 7 41
301 18 28
302 12 6
303 2 47
304 3 24
305 17 9
306 28 8
307 4 32
308 19 18
309 16 8
310 11 37
311 23 39
312 11 47
313 3 24
314 8 12
315 9 44
316 2 16
317 1 34
318 21 34
319 2 45
320 19 40
321 16 46
322 28 49
323 7 8
324 28 15
325 5 28
326 21 7
327 8 34
328 3 31
329 19 40
330 22 27
331 16 46
332 22 8
333 29 15
334 2 12
335 19 50
336 1 14
337 28 50
338 14 26
339 27 31
340 2 23
341 10 45
342 19 28
343 8 33
344 20 36
345 15 1
346 23 10
347 26 6
348 29 26
349 10 10
350 29 31
351 12 42
352 16 9
353 11 10
354 26 50
355 2 28
356 14 4
357 4 3
358 13 1
359 7 42
360 28 11
361 4 2
362 12 42
363 18 41
364 7 29
365 2 8
366 9 13
367 19 7
368 13 41
369 8 9
370 12 11
371 28 16
372 4 11
373 20 48
374 3 6
375 9 50
376 9 33
377 12 42
378 26 11
379 22 44
380 9 34
381 21 50
382 28 49
383 18 21
384 22 25
385 19 33
386 25 18
387 20 1
388 8 19
389 28 40
390 27 37
391 1 47
392 11 44
393 8 46
394 24 20
395 29 45
396 15 42
397 26 2
398 12 3
399 14 33
400 7 2
401 28 13
402 1 17
403 13 48
404 18 13
405 9 14
406 9 32
407 10 21
408 5 47
409 8 29
410 8 8
411 15 24
412 1 20
413 18 43
414 22 1
415 7 50
416 25 44
417 12 25
418 13 25
419 25 50
420 27 13
421 5 37
422 4 24
423 29 21
424 22 28
425 21 42
426 17 25
427 5 38
428 14 44
429 30 17
430 15 6
431 16 49
432 2 27
433 3 14
434 13 49
435 5 41
436 22 29
437 19 7
438 14 39
439 17 25
440 28 29
441 18 5
442 3 35
443 2 48
444 28 23
445 26 22
446 20 31
447 12 31
448 30 47
449 26 14
450 25 10
451 27 6
452 30 37
453 25 43
454 16 43
455 10 43
456 2 37
457 19 26
458 11 40
459 26 1
460 4 41
461 12 44
462 24 44
463 6 33
464 30 24
465 18 34
466 15 4
467 2 25
468 21 8
469 27 18
470 20 38
471 2 23
472 17 11
473 1 49
474 2 26
475 19 16
476 16 21
477 21 39
478 16 38
479 23 5
480 11 21
481 30 46
482 16 33
483 10 18
484 10 38
485 25 42
486 18 47
487 4 4
488 9 14
489 22 10
490 29 1
491 7 7
492 3 39
493 7 38
494 7 20
495 2 37
496 2 33
497 4 17
498 16 5
499 7 7
500 3 21
501 8 22
502 19 14
503 15 29
504 7 26
505 29 18
506 8 17
507 26 50
508 16 22
509 27 32
510 23 30
511 30 34
512 5 4
513 3 30
514 30 39
515 28 2
516 1 36
517 5 32
518 9 49
519 30 27
520 17 50
521 4 6
522 17 21
523 26 24
524 23 44
525 7 37
526 26 26
527 1 40
528 1 25
529 11 41
530 25 8
531 24 25
532 13 21
533 28 43
534 9 18
535 20 47
536 17 15
537 3 35
538 6 10
539 18 30
540 3 14
