531 2717
1 20 42
2 26 19
3 14 12
4 21 16
5 6 1
6 22 3
7 3 32
8 20 38
9 12 29
10 27 49
11 18 21
12 23 32
13 16 12
14 22 35
15 6 7
16 1 46
17 20 38
18 6 26
19 22 9
20 1 29
21 9 4
22 11 3
23 17 43
24 10 39
25 23 46
26 19 20
27 9 41
28 14 26
29 14 47
30 21 21
31 25 13
32 6 5
33 22 34
34 2 5
35 14 24
36 24 2
37 8 16
38 16 14
39 18 46
40 14 33
41 23 42
42 12 13
43 4 7
44 9 37
45 5 1
46 28 10
47 25 25
48 6 16
49 20 47
50 21 3
51 30 6
52 24 49
53 1 10
54 15 31
55 27 18
56 13 1
57 22 16
58 4 45
59 3 2
60 12 27
61 2 41
62 28 16
63 25 3
64 3 27
65 9 5
66 9 21
67 20 35
68 29 31
69 26 35
70 23 4
71 3 25
72 24 14
73 20 17
74 10 12
75 30 43
76 21 21
77 13 28
78 18 50
79 13 21
80 6 31
81 27 6
82 13 37
83 30 24
84 29 37
85 8 31
86 30 10
87 17 44
88 25 46
89 12 35
90 20 32
91 17 2
92 4 12
93 19 42
94 13 11
95 4 40
96 14 40
97 15 48
98 16 37
99 21 46
100 15 29
101 18 15
102 30 34
103 30 15
104 2 23
105 21 41
106 14 29
107 22 8
108 12 22
109 1 4
110 25 14
111 3 28
112 3 40
113 25 31
114 16 46
115 8 50
116 6 6
117 6 15
118 21 27
119 21 22
120 30 31
121 12 5
122 2 5
123 14 3
124 27 14
125 7 11
126 17 1
127 20 32
128 10 16
129 22 17
130 13 39
131 9 38
132 16 34
133 23 37
134 11 33
135 20 12
136 16 24
137 6 27
138 18 30
139 29 4
140 3 37
141 26 22
142 20 5
143 23 29
144 21 16
145 8 33
146 26 16
147 13 2
148 21 27
149 10 11
150 1 1
151 24 26
152 14 40
153 24 2
154 11 35
155 15 15
156 11 21
157 16 12
158 17 38
159 21 47
160 5 40
161 2 11
162 5 6
163 4 5
164 2 3
165 18 42
166 3 41
167 10 27
168 2 23
169 10 2
170 17 36
171 17 30
172 26 4
173 11 35
174 24 33
175 3 48
176 12 16
177 28 28
178 1 21
179 3 4
180 5 2
181 26 30
182 22 17
183 8 26
184 29 37
185 19 48
186 2 45
187 27 30
188 29 17
189 24 44
190 22 46
191 11 25
192 22 49
193 3 34
194 1 35
195 8 46
196 8 35
197 5 31
198 21 34
199 6 39
200 20 35
201 26 43
202 21 14
203 2 31
204 13 37
205 24 34
206 13 15
207 28 46
208 5 12
209 9 35
210 26 16
211 2 35
212 10 8
213 16 2
214 1 21
215 3 10
216 7 30
217 3 38
218 4 26
219 8 26
220 13 44
221 11 47
222 28 20
223 12 24
224 22 22
225 20 29
226 28 42
227 4 39
228 19 29
229 21 42
230 1 33
231 1 8
232 12 5
233 5 7
234 13 14
235 14 45
236 27 44
237 3 16
238 16 34
239 9 47
240 17 49
241 15 44
242 20 40
243 5 40
244 20 27
245 11 21
246 1 34
247 28 24
248 20 24
249 11 24
250 27 14
251 10 46
252 10 12
253 1 25
254 25 50
255 23 4
256 30 47
257 9 41
258 9 33
259 2 8
260 21 15
261 18 21
262 30 7
263 17 39
264 30 27
265 5 19
266 12 34
267 4 3
268 26 24
269 7 42
270 5 49
271 15 26
272 28 44
273 6 38
274 28 48
275 25 39
276 12 25
277 1 13
278 11 7
279 21 13
280 5 15
281 21 29
282 1 46
283 21 46
284 11 10
