600 3089
1 25 18
2 18 31
3 1 38
4 30 43
5 28 33
6 13 6
7 27 11
8 18 16
9 16 28
10 22 10
11 3 44
12 17 36
13 13 23
14 7 4
15 8 32
16 30 2
17 21 8
18 3 31
19 27 4
20 14 15
21 6 36
22 20 33
23 18 20
24 10 44
25 7 2
26 5 21
27 15 31
28 17 49
29 23 5
30 14 33
31 26 43
32 16 37
33 22 18
34 29 49
35 3 42
36 13 11
37 29 34
38 3 29
39 23 44
40 12 2
41 5 28
42 22 41
43 21 30
44 29 15
45 15 42
46 27 22
47 17 33
48 18 38
49 22 27
50 18 25
51 20 2
52 25 1
53 16 29
54 19 40
55 22 50
56 21 19
57 29 15
58 29 39
59 4 50
60 16 30
61 23 2
62 12 29
63 16 11
64 9 40
65 7 8
66 16 9
67 10 2
68 29 47
69 12 37
70 16 5
71 8 29
72 13 18
73 3 34
74 17 38
75 15 12
76 8 27
77 5 19
78 8 3
79 1 26
80 4 20
81 25 9
82 18 44
83 12 36
84 12 43
85 24 30
86 17 13
87 18 22
88 20 50
89 17 38
90 9 41
91 21 6
92 7 16
93 26 24
94 30 7
95 21 13
96 26 36
97 13 5
98 19 34
99 20 23
100 16 15
101 12 24
102 19 9
103 15 8
104 10 1
105 6 48
106 1 46
107 26 10
108 13 31
109 13 32
110 9 34
111 6 14
112 19 18
113 8 49
114 11 9
115 13 28
116 15 24
117 12 3
118 14 48
119 3 43
120 11 10
121 3 43
122 17 48
123 2 20
124 10 37
125 3 21
126 10 49
127 6 40
128 18 6
129 10 19
130 16 13
131 16 41
132 16 47
133 25 22
134 7 9
135 14 47
136 18 8
137 19 25
138 27 43
139 26 39
140 19 48
141 9 50
142 28 44
143 9 16
144 19 30
145 14 15
146 24 31
147 27 32
148 10 3
149 23 26
150 2 16
151 2 29
152 6 12
153 15 32
154 24 50
155 22 34
156 30 30
157 23 47
158 14 23
159 4 24
160 3 49
161 20 46
162 30 48
163 27 9
164 21 29
165 16 14
166 17 9
167 2 24
168 20 47
169 15 26
170 18 27
171 9 47
172 28 44
173 6 33
174 16 9
175 27 18
176 18 48
177 6 39
178 16 42
179 9 48
180 13 34
181 11 21
182 2 4
183 4 13
184 12 50
185 10 50
186 8 1
