594 3105
1 8 17
2 5 35
3 2 12
4 6 50
5 30 38
6 16 3
7 27 42
8 9 50
9 14 12
10 8 30
11 17 41
12 26 7
13 16 15
14 7 16
15 10 44
16 9 47
17 23 23
18 14 24
19 15 39
20 16 16
21 29 33
22 19 5
23 14 47
24 26 10
25 10 33
26 9 28
27 25 34
28 17 3
29 30 3
30 20 10
31 19 8
32 18 11
33 11 41
34 26 17
35 12 13
36 22 10
37 26 2
38 26 21
39 20 22
40 20 12
41 16 21
42 1 31
43 16 27
44 13 6
45 2 4
46 17 30
47 22 26
48 22 42
49 19 27
50 10 50
51 20 43
52 1 37
53 25 26
54 7 46
55 9 39
56 27 7
57 9 48
58 27 16
59 6 21
60 1 7
61 24 39
62 26 37
63 5 29
64 30 33
65 26 39
66 14 47
67 2 44
68 5 28
69 1 43
70 23 22
71 13 32
72 18 41
73 9 16
74 29 6
75 6 29
76 13 11
77 30 50
78 28 34
79 9 27
80 18 36
81 6 1
82 24 49
83 6 20
84 16 18
85 22 48
86 29 45
87 19 18
88 17 9
89 13 45
90 17 20
91 6 29
92 1 45
93 20 30
94 30 10
95 8 49
96 7 23
97 1 30
98 3 46
99 11 48
100 25 13
101 18 4
102 29 28
103 23 47
104 17 6
105 22 3
106 15 19
107 23 5
108 15 14
109 26 44
110 16 44
111 14 22
112 8 44
113 14 41
114 11 4
115 20 5
116 18 37
117 20 26
118 5 33
119 15 3
120 18 16
121 7 14
122 16 39
123 1 50
124 24 6
125 5 29
126 29 38
127 23 19
128 1 6
129 9 21
130 21 48
131 7 29
132 27 37
133 16 3
134 9 30
135 5 8
136 27 11
137 11 32
138 1 41
139 11 4
140 7 25
141 25 47
142 24 37
143 25 44
144 22 25
145 26 2
146 15 43
147 12 11
148 29 38
149 3 49
150 27 19
151 8 16
152 9 28
153 27 31
154 21 28
155 24 19
156 14 20
157 15 18
158 26 32
159 23 49
160 26 29
161 13 32
162 13 34
163 4 1
164 13 8
165 1 42
166 26 8
167 17 6
168 17 3
169 26 7
170 12 22
171 25 38
172 21 40
173 25 49
174 3 17
175 17 30
176 27 49
177 22 19
178 15 7
179 11 7
180 15 23
181 20 40
182 10 6
183 28 17
184 11 33
185 3 42
186 4 50
187 9 47
188 21 35
189 25 13
190 4 41
191 12 50
192 2 5
193 1 26
194 12 41
195 4 28
196 14 34
197 19 45
198 21 16
199 11 1
200 9 36
201 15 4
202 17 25
203 20 27
204 10 44
205 29 13
206 17 32
207 4 28
208 27 34
209 25 50
210 7 38
211 17 42
212 13 45
213 26 14
214 13 49
215 26 11
216 26 10
217 16 22
218 25 16
219 18 44
220 11 38
221 8 47
222 9 23
223 6 7
224 7 30
225 18 35
226 20 34
227 16 44
228 1 11
229 27 43
230 9 23
231 25 46
232 24 20
233 7 18
234 7 14
235 13 48
236 1 20
237 6 22
238 23 22
239 28 1
240 3 36
241 17 22
242 11 12
243 8 3
244 4 24
245 7 33
246 18 1
247 30 32
248 3 47
249 21 9
250 22 14
251 18 15
252 15 4
253 16 29
254 5 15
255 11 29
256 20 17
257 13 23
258 28 20
259 17 2
260 15 24
261 6 43
262 24 15
263 6 48
264 3 26
265 27 25
266 21 14
267 9 26
268 7 26
269 4 43
270 20 35
271 2 42
272 11 24
273 16 31
274 25 42
275 24 39
276 25 21
277 3 41
278 17 8
279 28 50
280 26 44
281 6 28
282 30 16
283 13 28
284 21 9
285 23 32
286 15 44
287 3 45
288 29 38
289 17 13
290 12 12
291 23 46
292 22 36
293 16 21
294 3 24
295 20 30
296 29 45
297 20 28
298 22 12
299 18 2
300 2 30
301 13 16
302 25 8
303 3 43
304 17 39
305 7 28
306 13 9
307 26 34
308 24 11
309 4 39
310 16 25
311 30 7
312 1 29
313 26 32
314 13 43
315 25 14
316 22 20
317 30 46
318 29 42
319 30 25
320 12 48
321 5 34
322 19 30
323 20 4
324 2 25
325 14 28
326 22 14
327 24 22
328 24 19
329 6 38
330 2 40
331 12 35
332 21 33
333 23 39
334 26 22
335 26 9
336 12 20
337 15 30
338 21 16
339 3 42
340 10 27
341 1 41
342 22 4
343 15 37
344 5 20
345 5 38
346 11 26
347 12 22
348 10 6
349 12 35
350 18 27
351 25 1
352 6 39
353 20 48
354 4 14
355 10 44
356 22 10
357 6 33
358 26 2
359 20 40
360 23 44
361 27 34
362 1 50
363 27 32
364 26 18
365 6 35
366 15 10
367 25 42
368 1 16
369 30 4
370 11 31
371 9 23
372 10 37
373 7 5
374 18 26
375 26 11
376 11 24
377 6 43
378 14 2
379 4 31
380 9 41
381 27 15
382 23 1
383 19 3
384 18 48
385 18 48
386 10 7
387 30 19
388 3 27
389 16 30
390 24 21
391 22 27
392 17 37
393 21 20
394 20 45
395 22 11
396 17 18
397 5 39
398 30 35
399 23 39
400 2 1
401 6 13
402 29 8
403 22 1
404 26 9
405 12 39
406 1 26
407 7 27
408 22 38
409 8 2
410 14 49
411 2 20
412 8 38
413 1 37
414 13 5
415 15 6
416 17 13
417 9 15
418 10 2
419 15 5
420 20 49
421 15 40
422 14 14
423 7 35
424 11 16
425 8 36
426 5 1
427 7 34
428 21 19
429 3 13
430 14 49
431 30 30
432 21 38
433 15 32
434 29 11
435 18 50
436 9 35
437 22 34
438 8 8
439 11 50
440 25 8
441 25 39
442 11 41
443 3 1
444 30 47
445 25 35
446 5 34
447 4 6
448 2 10
449 9 12
450 1 27
451 24 31
452 21 5
453 7 8
454 4 37
455 29 38
456 26 43
457 19 6
458 15 3
459 28 46
460 9 22
461 10 43
462 16 46
463 8 29
464 15 37
465 30 27
466 5 5
467 30 25
468 29 26
469 14 22
470 14 42
471 30 9
472 4 38
473 7 20
474 30 24
475 16 38
476 18 47
477 12 3
478 22 30
479 3 49
480 28 24
481 27 32
482 9 38
483 18 37
484 15 41
485 9 28
486 4 20
487 29 19
488 9 7
489 8 48
490 22 5
491 7 29
492 2 18
493 3 45
494 29 15
495 5 18
496 29 22
497 11 17
498 11 8
499 5 26
500 20 15
501 15 33
502 4 43
503 21 42
504 9 41
505 11 31
506 5 29
507 1 48
508 19 44
509 5 49
510 8 39
511 27 48
512 2 17
513 4 23
514 27 19
515 30 28
516 5 4
517 23 19
518 19 15
519 12 47
520 25 3
521 19 2
522 23 40
523 19 31
524 23 43
525 20 42
526 24 48
527 20 45
528 6 5
529 29 44
530 15 18
531 2 10
532 12 36
533 28 20
534 20 41
535 18 7
536 15 49
537 28 28
538 18 8
539 10 22
540 23 41
541 23 36
542 28 2
543 2 4
544 27 1
545 27 33
546 20 20
547 22 43
548 5 21
549 14 7
550 12 32
551 23 6
552 30 20
553 3 19
554 19 45
555 10 31
556 25 4
557 18 23
558 6 50
559 18 14
560 12 26
561 26 21
562 18 40
563 24 4
564 20 29
565 30 21
566 22 22
567 27 43
568 3 11
569 21 24
570 25 2
571 24 40
572 16 22
573 4 13
574 23 41
575 28 24
576 18 23
577 26 15
578 24 11
579 19 24
580 10 28
581 14 1
582 2 22
583 14 46
584 15 6
585 9 39
586 18 25
587 20 13
588 28 43
589 7 20
590 5 4
591 15 3
592 18 42
593 27 42
594 13 37
