658 3392
1 14 17
2 30 44
3 10 34
4 19 15
5 8 47
6 6 6
7 24 12
8 28 18
9 19 30
10 24 30
11 25 47
12 6 19
13 6 17
14 5 17
15 19 24
16 3 12
17 20 45
18 8 9
19 18 48
20 25 45
21 24 12
22 2 49
23 13 39
24 18 31
25 11 13
26 22 37
27 21 37
28 5 37
29 4 41
30 13 24
31 4 38
32 8 5
33 2 47
34 13 9
35 24 40
36 5 40
37 21 8
38 10 24
39 19 10
40 26 21
41 22 18
42 17 33
43 14 13
44 1 9
45 13 25
46 23 19
47 12 20
48 23 43
49 6 38
50 23 11
51 27 9
52 30 27
53 9 42
54 20 17
55 21 8
56 9 22
57 25 45
58 16 28
59 7 26
60 17 11
61 21 21
62 19 14
63 30 4
64 29 5
65 1 11
66 17 19
67 2 17
68 5 40
69 10 47
70 28 10
71 24 46
72 3 28
73 22 41
74 17 48
75 18 45
76 30 20
77 25 39
78 24 6
79 14 42
80 12 34
81 4 29
82 2 27
83 7 48
84 28 6
85 6 27
86 7 49
87 14 1
88 8 15
89 11 37
90 24 11
91 3 24
92 20 48
93 4 13
94 5 7
95 26 17
96 22 12
97 15 43
98 18 41
99 12 6
100 6 38
101 24 14
102 8 8
103 4 18
104 12 7
105 24 38
106 27 38
107 21 48
108 7 26
109 21 42
110 2 18
111 28 23
112 29 2
113 7 19
114 2 8
115 16 39
116 27 9
117 2 37
118 16 17
119 4 40
120 3 9
121 17 41
122 6 39
123 29 33
124 14 1
125 24 47
126 18 33
127 29 49
128 24 35
129 9 27
130 14 44
131 15 43
132 24 18
133 29 22
134 4 34
135 13 9
136 12 41
137 19 39
138 19 37
139 21 44
140 19 46
141 30 9
142 18 10
143 7 13
144 16 27
145 19 41
146 22 5
147 23 25
148 2 13
149 8 6
150 6 10
151 26 39
152 2 14
153 10 32
154 23 2
155 5 41
156 28 16
157 9 27
158 15 7
159 2 20
160 13 30
161 13 6
162 15 45
163 11 8
164 10 30
165 5 5
166 30 30
167 16 41
168 14 25
169 13 48
170 16 49
171 8 25
172 27 39
173 4 41
174 7 45
175 3 32
176 16 25
177 7 12
178 11 19
179 30 30
180 19 34
181 27 40
182 4 34
183 2 9
184 28 6
185 6 35
186 15 45
187 2 21
188 5 17
189 13 32
190 23 27
191 15 38
192 13 1
193 30 24
194 30 19
195 5 20
196 24 41
197 19 19
198 4 42
199 27 33
200 18 34
201 20 4
202 29 33
203 26 15
204 1 40
205 28 13
206 7 12
207 30 21
208 25 1
209 26 36
210 19 1
211 25 25
212 23 15
213 23 19
214 16 20
215 3 3
216 5 24
217 18 35
218 26 33
219 20 6
220 13 47
221 18 41
222 21 20
223 21 25
224 30 7
225 22 41
226 9 16
227 15 1
228 12 9
229 19 37
230 18 22
231 22 35
232 5 1
233 9 3
234 14 18
235 10 8
236 7 28
237 28 27
238 29 10
239 3 18
240 26 14
241 30 24
242 1 24
243 5 12
244 13 45
245 30 12
246 28 43
247 6 15
248 14 15
249 17 29
250 4 28
251 6 50
252 7 35
253 28 5
254 4 32
255 25 10
256 15 34
257 25 27
258 8 11
259 18 42
260 6 40
261 25 25
262 14 1
263 19 27
264 7 7
265 7 2
266 15 42
267 4 41
268 6 31
269 18 20
270 15 22
271 1 11
272 5 15
273 28 14
274 16 27
275 15 33
276 16 10
277 7 50
278 2 48
279 18 30
280 14 35
281 23 40
282 28 36
283 3 4
284 19 30
285 5 33
286 1 5
287 23 7
288 21 30
289 1 46
290 27 25
291 18 24
292 16 37
293 25 49
294 26 5
295 30 41
296 21 13
297 21 18
298 18 15
299 13 16
300 4 49
301 30 46
302 13 43
303 22 24
304 4 22
305 1 32
306 29 1
307 18 34
308 19 32
309 15 24
310 8 14
311 14 28
312 6 44
313 16 26
314 18 20
315 13 3
316 29 43
317 8 23
318 27 2
319 6 10
320 13 19
321 14 23
322 9 1
323 17 7
324 4 43
325 10 22
326 6 43
327 9 34
328 19 46
329 19 48
330 6 1
331 3 36
332 5 50
333 28 31
334 23 6
335 23 26
336 24 36
337 8 44
338 28 6
339 12 21
340 8 31
341 12 6
342 5 43
343 9 15
344 28 49
345 5 5
346 11 17
347 20 46
348 8 48
349 16 21
350 13 18
351 28 28
352 5 47
353 21 42
354 13 22
355 3 2
356 14 6
357 9 30
358 10 49
359 25 38
360 27 9
361 24 50
362 27 36
363 15 44
364 23 22
365 4 37
366 22 11
367 24 46
368 20 34
369 20 12
370 15 4
371 5 10
372 19 26
373 29 9
374 14 33
375 28 23
376 13 43
377 2 21
378 18 18
379 5 10
380 29 30
381 28 30
382 1 11
383 8 50
384 26 19
385 13 2
386 2 29
387 21 32
388 14 50
389 2 30
390 4 39
391 14 29
392 4 27
393 9 11
394 14 15
395 23 32
396 5 20
397 24 35
398 3 43
399 16 28
400 11 50
401 22 32
402 20 42
403 15 36
404 23 7
405 15 29
406 7 18
407 19 30
408 4 9
409 1 39
410 24 15
411 12 18
412 4 37
413 24 18
414 19 41
415 18 41
416 20 29
417 24 21
418 12 39
419 26 17
420 25 22
421 15 41
422 21 5
423 11 34
424 13 13
425 24 36
426 17 46
427 3 12
428 2 6
429 10 13
430 26 29
431 3 37
432 27 29
433 8 28
434 27 15
435 26 13
436 27 40
437 5 27
438 26 27
439 3 9
440 9 36
441 14 17
442 23 49
443 29 15
444 26 10
445 29 4
446 18 33
447 20 46
448 11 49
449 5 29
450 6 21
451 11 2
452 2 46
453 18 8
454 22 42
455 6 13
456 8 11
457 9 12
458 19 9
459 16 17
460 20 6
461 20 9
462 29 11
463 4 1
464 12 29
465 30 27
466 1 20
467 18 12
468 17 7
469 29 39
470 9 36
471 1 28
472 7 31
473 29 7
474 30 17
475 15 11
476 4 44
477 10 12
478 5 23
479 25 16
480 13 44
481 2 3
482 3 21
483 15 32
484 29 35
485 20 29
486 1 22
487 6 19
488 12 47
489 7 43
490 25 2
491 14 38
492 17 25
493 22 1
494 19 16
495 28 2
496 9 11
497 6 23
498 23 20
499 14 12
500 17 23
501 20 29
502 6 48
503 29 48
504 6 25
505 12 10
506 18 47
507 27 25
508 1 48
509 17 20
510 3 45
511 13 23
512 27 28
513 6 40
514 30 49
515 11 8
516 14 42
517 16 19
518 1 34
519 28 36
520 10 12
521 5 38
522 18 42
523 24 31
524 11 40
525 22 4
526 16 26
527 16 43
528 13 23
529 24 4
530 2 36
531 11 47
532 17 48
533 17 18
534 1 35
535 23 41
536 16 50
537 30 5
538 13 45
539 5 33
540 24 38
541 28 22
542 13 14
543 6 18
544 18 49
545 21 11
546 24 34
547 17 12
548 11 24
549 11 14
550 10 36
551 14 7
552 15 35
553 11 27
554 19 48
555 19 14
556 17 47
557 27 50
558 22 2
559 17 1
560 22 39
561 12 35
562 22 18
563 9 5
564 23 29
565 28 2
566 14 23
567 18 50
568 29 21
569 16 37
570 28 37
571 12 6
572 5 39
573 5 48
574 10 23
575 18 42
576 12 9
577 8 35
578 19 26
579 11 21
580 27 8
581 13 20
582 2 32
583 22 40
584 12 49
585 8 21
586 25 30
587 7 21
588 28 33
589 8 7
590 16 18
591 30 19
592 8 28
593 5 6
594 15 46
595 7 11
596 15 1
597 13 37
598 2 4
599 8 36
600 2 6
601 6 39
602 5 34
603 9 2
604 7 29
605 30 22
606 26 10
607 10 23
608 29 46
609 21 43
610 21 7
611 16 46
612 29 38
613 14 40
614 1 11
615 5 44
616 6 33
617 12 2
618 6 41
619 3 32
620 29 15
621 25 16
622 16 44
623 10 14
624 2 20
625 18 32
626 26 13
627 19 36
628 22 12
629 16 44
630 15 2
631 8 42
632 6 19
633 14 2
634 1 48
635 15 31
636 2 40
637 28 37
638 5 38
639 30 26
640 7 10
641 28 35
642 4 36
643 10 26
644 10 47
645 9 26
646 29 6
647 27 34
648 27 10
649 7 39
650 18 22
651 2 21
652 1 19
653 28 45
654 6 9
655 3 15
656 20 30
657 29 44
658 7 18
