548 3003
1 8 15
2 27 43
3 15 45
4 20 50
5 1 21
6 17 11
7 30 10
8 12 1
9 22 3
10 30 16
11 30 18
12 20 24
13 30 19
14 2 33
15 18 42
16 11 5
17 26 37
18 10 20
19 3 9
20 11 3
21 11 7
22 6 11
23 18 47
24 13 39
25 19 22
26 27 9
27 21 46
28 14 30
29 27 6
30 12 4
31 17 14
32 30 4
33 13 9
34 5 35
35 29 45
36 10 2
37 4 5
38 12 21
39 1 24
40 22 2
41 27 18
42 22 37
43 3 45
44 29 29
45 12 32
46 4 50
47 16 46
48 23 48
49 4 27
50 12 25
51 4 21
52 26 29
53 27 39
54 19 28
55 14 12
56 1 10
57 19 44
58 18 44
59 18 18
60 12 40
61 10 8
62 11 47
63 3 44
64 14 8
65 22 27
66 14 47
67 30 11
68 15 26
69 29 26
70 15 12
71 27 37
72 13 16
73 20 23
74 29 20
75 30 32
76 21 39
77 1 1
78 25 45
79 4 30
80 23 18
81 9 38
82 4 10
83 29 39
84 17 49
85 14 44
86 1 2
87 30 35
88 17 12
89 27 27
90 11 47
91 1 43
92 27 1
93 23 24
94 26 39
95 5 50
96 28 13
97 7 21
98 4 37
99 11 11
100 16 26
101 14 48
102 18 35
103 12 46
104 8 39
105 3 28
106 27 33
107 2 23
108 25 15
109 6 30
110 5 3
111 29 12
112 15 18
113 24 41
114 16 45
115 1 41
116 12 6
117 8 49
118 2 22
119 25 40
120 20 19
121 27 48
122 13 41
123 30 37
124 15 18
125 27 11
126 30 47
127 4 36
128 6 7
129 16 22
130 23 28
131 14 25
132 13 2
133 3 25
134 3 19
135 24 34
136 7 32
137 13 39
138 2 4
139 18 28
140 1 44
141 10 42
142 22 13
143 20 10
144 10 5
145 3 22
146 5 46
147 6 17
148 29 21
149 23 23
150 19 8
151 28 28
152 20 40
153 28 13
154 14 45
155 13 16
156 20 32
157 28 34
158 27 37
159 23 16
160 13 25
161 29 27
162 2 37
163 26 21
164 27 40
165 23 47
166 18 1
167 24 37
168 22 42
169 11 35
170 28 43
171 11 28
172 7 10
173 21 23
174 16 5
175 30 40
176 29 28
177 29 2
178 16 16
179 22 22
180 25 17
181 11 2
182 27 46
183 10 8
184 9 41
185 15 27
186 5 45
187 24 11
188 24 16
189 5 1
190 10 24
191 12 50
192 2 12
193 21 19
194 17 25
195 13 34
196 11 13
197 15 9
198 18 25
199 8 49
200 7 12
201 25 1
202 8 30
203 14 11
204 7 48
205 23 18
206 22 5
207 7 25
208 28 19
209 23 45
210 23 35
211 18 35
212 19 14
213 23 9
214 10 13
215 17 6
216 14 33
217 19 32
218 4 22
219 14 10
220 11 9
221 17 42
222 25 45
223 8 32
224 3 11
225 6 8
226 27 5
227 12 46
228 1 37
229 6 10
230 19 12
231 18 24
232 16 26
233 7 11
234 29 1
235 12 19
236 19 50
237 3 25
238 4 30
239 26 8
240 2 34
241 7 39
242 30 11
243 6 10
244 7 43
245 10 47
246 16 39
247 10 1
248 24 27
249 11 12
250 29 32
251 22 39
252 11 44
253 13 26
254 4 18
255 25 15
256 1 2
257 25 41
258 12 42
259 22 8
260 24 23
261 4 39
262 11 25
263 1 26
264 21 3
265 17 29
266 16 21
267 27 16
268 24 29
269 23 39
270 9 28
271 16 49
272 11 10
273 1 42
274 24 43
275 1 39
276 7 6
277 18 28
278 30 20
279 13 31
280 13 42
281 1 8
282 22 28
283 16 27
284 28 18
285 26 6
286 17 21
287 7 27
288 12 49
289 10 37
290 13 20
291 6 10
292 5 3
293 7 7
294 24 41
295 17 46
296 2 49
297 4 45
298 28 31
299 22 36
300 10 39
301 23 47
302 11 1
303 15 42
304 20 45
305 19 42
306 4 4
307 13 41
308 8 39
309 27 33
310 22 35
311 29 13
312 13 34
313 30 11
314 4 31
315 28 13
316 29 40
317 1 31
318 3 36
319 22 42
320 2 2
321 15 45
322 17 38
323 27 16
324 8 33
325 9 11
326 27 27
327 14 50
328 22 33
329 12 27
330 25 9
331 21 35
332 20 2
333 15 42
334 29 38
335 5 20
336 30 22
337 26 48
338 1 3
339 24 40
340 15 14
341 21 4
342 22 26
343 13 3
344 30 16
345 29 26
346 16 19
347 30 25
348 2 26
349 19 10
350 3 5
351 21 4
352 26 47
353 24 38
354 9 19
355 18 33
356 2 30
357 26 23
358 25 40
359 5 16
360 7 5
361 1 32
362 5 2
363 27 47
364 27 27
365 28 41
