514 2896
1 15 44
2 28 39
3 15 47
4 15 39
5 29 4
6 16 12
7 10 28
8 25 44
9 3 25
10 9 32
11 26 14
12 16 26
13 18 16
14 30 17
15 21 18
16 23 37
17 2 30
18 17 36
19 6 11
20 6 4
21 14 24
22 17 35
23 11 4
24 19 13
25 28 49
26 14 24
27 22 41
28 1 21
29 16 50
30 19 18
31 17 21
32 24 30
33 30 30
34 17 25
35 2 45
36 1 7
37 28 47
38 14 18
39 20 22
40 12 30
41 20 27
42 25 33
43 7 5
44 25 22
45 16 44
46 20 24
47 24 45
48 26 14
49 7 22
50 20 18
51 26 20
52 7 35
53 7 20
54 22 18
55 13 33
56 19 12
57 19 3
58 26 25
59 29 50
60 9 14
61 25 38
62 30 9
63 24 45
64 4 10
65 28 13
66 30 36
67 13 8
68 30 1
69 17 22
70 20 21
71 16 19
72 22 17
73 21 29
74 13 32
75 20 41
76 17 25
77 10 36
78 25 14
79 2 8
80 25 50
81 20 4
82 15 4
83 13 6
84 4 39
85 19 24
86 19 35
87 24 42
88 23 16
89 2 45
90 17 2
91 18 44
92 28 19
93 19 12
94 14 13
95 19 9
96 12 40
97 24 48
98 24 27
99 23 47
100 27 32
101 12 28
102 8 15
103 1 20
104 3 43
105 26 29
106 16 5
107 22 25
108 24 3
109 26 9
110 15 6
111 7 28
112 5 33
113 27 38
114 21 29
115 25 29
116 22 8
117 16 29
118 25 29
119 28 7
120 11 16
121 15 18
122 20 9
123 22 45
124 23 27
125 4 29
126 14 22
127 16 28
128 24 32
129 16 16
130 22 2
131 15 24
132 29 2
133 12 33
134 30 2
135 11 2
136 9 26
137 19 38
138 16 12
139 3 50
140 18 38
141 28 21
142 29 35
143 11 15
144 8 16
145 20 29
146 27 24
147 4 27
148 26 8
149 2 7
150 9 2
151 19 29
152 29 27
153 6 14
154 9 50
155 13 28
156 19 42
157 11 48
158 6 1
159 2 43
160 8 41
161 4 36
162 17 27
163 12 44
164 6 23
165 20 46
166 25 10
167 14 3
168 7 42
169 29 27
170 3 33
171 16 32
172 5 8
173 9 2
174 30 42
175 7 27
176 22 20
177 2 50
178 8 26
179 3 34
180 18 45
181 19 24
182 14 5
183 19 42
184 6 47
185 10 38
186 11 26
187 29 5
188 5 49
189 9 45
190 30 5
191 3 24
192 16 37
193 13 23
194 2 18
195 28 11
196 22 39
197 15 17
198 3 15
199 9 38
200 3 30
201 7 43
202 27 48
203 20 42
204 26 8
205 28 38
206 4 10
207 1 39
208 26 33
209 3 9
210 12 21
211 30 15
212 1 6
213 22 3
214 22 42
215 2 34
216 1 18
217 28 30
218 27 27
219 21 13
220 6 8
221 10 49
222 9 10
223 19 17
224 14 2
225 15 48
226 22 46
227 12 34
228 3 45
229 8 24
230 8 29
231 9 11
232 8 37
233 20 15
234 15 10
235 19 3
236 19 28
237 13 37
238 29 42
239 15 34
240 23 32
241 21 16
242 27 45
243 19 32
244 19 36
245 7 29
246 26 18
247 19 15
248 14 28
249 29 20
250 9 9
251 2 7
252 6 27
253 15 26
254 8 50
255 22 10
256 21 42
257 27 9
258 28 27
259 22 29
260 24 49
261 27 29
262 6 45
263 13 21
264 14 24
265 22 12
266 4 14
267 10 22
268 30 14
269 27 9
270 15 8
271 20 47
272 22 46
273 28 39
274 14 49
275 19 37
276 9 25
277 25 16
278 21 9
279 8 44
280 24 30
281 25 18
282 23 24
283 29 34
284 20 37
285 4 6
286 27 13
287 15 48
288 8 12
289 28 31
290 22 7
291 19 11
292 23 33
293 28 4
294 3 16
295 17 29
296 5 4
297 16 39
298 29 36
299 24 20
300 22 17
301 6 18
302 19 30
303 27 38
304 23 7
305 30 4
306 25 38
307 14 47
308 30 42
309 22 14
310 17 1
311 12 3
312 4 39
313 1 34
314 16 14
315 4 50
316 20 29
317 9 8
318 20 36
319 25 2
320 22 14
321 25 6
322 11 21
323 24 22
324 4 6
325 17 22
326 16 31
327 24 11
328 9 14
329 4 45
330 9 47
331 24 8
332 7 12
333 27 36
334 29 11
335 29 42
336 6 46
337 19 28
338 16 3
339 1 29
340 20 39
341 22 17
342 29 25
343 29 38
344 30 22
345 24 18
346 1 29
347 5 49
348 2 41
349 17 43
350 13 25
351 4 30
352 30 33
353 9 37
354 27 9
355 17 48
356 17 18
357 4 16
358 14 42
359 15 33
360 25 40
