558 2980
1 11 3
2 20 16
3 17 39
4 3 16
5 27 17
6 15 40
7 23 46
8 27 45
9 19 1
10 9 18
11 29 41
12 9 44
13 3 28
14 27 20
15 6 44
16 5 8
17 16 24
18 3 4
19 12 25
20 11 10
21 14 35
22 2 48
23 3 8
24 14 3
25 30 43
26 21 20
27 25 31
28 6 7
29 28 44
30 27 23
31 7 3
32 11 35
33 8 5
34 30 41
35 2 11
36 11 25
37 27 2
38 4 29
39 1 18
40 4 22
41 2 6
42 3 46
43 6 8
44 14 43
45 24 30
46 5 42
47 24 47
48 6 11
49 12 16
50 12 35
51 8 2
52 19 24
53 25 34
54 25 17
55 1 38
56 30 14
57 13 32
58 19 28
59 10 13
60 20 43
61 4 36
62 24 28
63 23 12
64 28 36
65 19 41
66 30 8
67 22 30
68 21 48
69 23 35
70 16 16
71 12 5
72 9 16
73 17 38
74 3 28
75 22 14
76 12 45
77 30 7
78 14 32
79 10 12
80 9 48
81 12 38
82 15 46
83 9 38
84 25 31
85 4 13
86 16 48
87 17 25
88 23 5
89 14 6
90 12 15
91 1 5
92 21 20
93 12 35
94 21 31
95 8 21
96 11 1
97 28 37
98 28 28
99 14 43
100 29 48
101 25 6
102 25 23
103 22 9
104 28 47
105 26 11
106 23 37
107 16 24
108 26 29
109 10 9
110 9 9
111 29 41
112 19 39
113 28 7
114 16 3
115 1 26
116 12 5
117 4 48
118 19 15
119 7 8
120 14 22
121 9 26
122 28 36
123 11 16
124 4 12
125 24 24
126 20 2
127 15 29
128 2 44
129 17 8
130 28 37
131 15 50
132 3 18
133 29 21
134 5 5
135 29 48
136 29 49
137 15 36
138 14 26
139 11 49
140 29 26
141 12 9
142 18 38
143 19 21
144 13 25
145 28 31
146 13 15
147 12 5
148 22 30
149 27 18
150 7 7
151 5 15
152 15 42
153 22 40
154 7 5
155 28 7
156 20 12
157 15 9
158 11 3
159 10 36
160 29 9
161 18 41
162 3 49
163 25 7
164 30 24
165 4 16
166 30 41
167 10 35
168 12 34
169 26 50
170 18 14
171 6 17
172 17 23
173 28 29
174 15 7
175 4 4
176 27 31
177 24 42
178 11 41
179 8 11
180 24 23
181 16 43
182 25 8
183 29 46
184 11 5
185 7 30
186 10 5
187 18 46
188 17 25
189 6 3
190 21 40
191 6 50
192 22 2
193 1 3
194 24 38
195 13 9
196 2 40
197 1 27
198 29 32
199 24 41
200 8 21
201 20 7
202 27 18
203 4 3
204 22 29
205 5 25
206 10 13
207 6 42
208 16 16
209 4 9
210 5 8
211 17 16
212 27 19
213 24 46
214 22 18
215 18 39
216 10 8
217 15 16
218 7 50
219 18 20
220 11 24
221 16 50
222 16 21
223 13 3
224 26 36
225 1 42
226 23 29
227 28 42
228 10 3
229 29 1
230 30 26
231 22 9
232 23 38
233 6 11
234 8 45
235 11 20
236 29 26
237 29 6
238 17 12
239 29 34
240 19 21
241 26 44
242 22 35
243 15 1
244 27 23
245 23 9
246 28 44
247 27 33
248 12 45
249 3 21
250 9 23
251 20 9
252 1 8
253 5 49
254 21 25
255 12 22
256 15 9
257 5 48
258 13 49
259 20 30
260 1 3
261 20 20
262 18 8
263 24 29
264 2 47
265 9 41
266 1 40
267 9 21
268 30 15
269 9 20
270 29 3
271 21 36
272 11 7
273 3 6
274 5 35
275 25 27
276 27 26
277 17 34
278 13 50
279 5 35
280 28 15
281 17 21
282 25 25
283 21 4
284 22 12
285 13 30
286 26 16
287 17 26
288 4 2
289 21 29
290 26 17
291 5 24
292 12 3
293 27 25
294 15 21
295 1 4
296 28 37
297 24 42
298 3 17
299 15 4
300 20 19
301 6 45
302 6 2
303 12 10
304 25 5
305 18 40
306 1 44
307 3 15
308 19 22
309 21 5
310 14 1
311 20 31
312 29 34
313 2 1
314 12 18
315 25 31
316 27 42
317 7 22
318 13 48
319 3 48
320 12 20
321 19 25
322 26 4
323 1 16
324 5 31
325 30 20
326 3 31
327 21 23
328 24 24
329 23 17
330 22 29
331 27 30
332 30 23
333 11 15
334 13 34
335 4 24
336 25 2
337 20 22
338 27 40
339 17 33
340 2 8
341 3 6
342 19 5
343 18 4
344 28 3
345 1 21
346 11 19
347 20 1
348 14 3
349 7 16
350 28 30
351 11 44
352 23 41
353 18 40
354 12 4
355 12 4
356 4 24
357 1 4
358 20 39
359 17 8
360 21 29
361 20 21
362 20 32
363 3 43
364 16 41
365 28 25
366 10 48
367 18 5
368 30 35
369 14 22
370 1 17
371 17 6
372 23 37
373 9 22
374 27 17
375 21 17
376 18 11
377 10 47
378 4 14
379 9 29
380 5 48
381 23 26
382 27 22
383 30 37
384 29 25
385 30 1
386 22 38
387 16 34
388 24 16
389 25 3
390 2 36
391 21 29
392 18 10
393 17 41
394 26 15
395 1 32
396 14 23
397 19 11
398 16 41
399 7 4
400 15 8
401 26 6
402 5 11
403 11 20
404 26 46
405 2 10
406 13 43
407 30 30
408 14 17
409 12 31
410 3 42
411 22 47
412 26 23
413 27 13
414 13 5
415 17 27
416 22 22
417 25 8
418 15 25
419 7 10
420 2 1
421 21 6
422 15 11
423 5 48
424 7 8
425 21 11
426 11 42
427 17 18
428 6 15
429 1 28
430 29 47
431 7 32
432 20 41
433 29 6
434 27 16
435 28 39
436 28 38
437 4 12
438 8 31
439 1 26
440 30 41
441 7 41
442 25 45
443 8 50
444 20 38
445 18 30
446 16 34
447 22 8
448 16 50
449 15 42
450 17 32
451 2 34
452 30 28
453 25 19
454 20 6
455 27 49
456 16 35
457 21 30
458 9 1
459 2 40
460 20 9
461 30 28
462 4 31
463 17 21
464 10 1
465 14 49
466 13 48
467 2 4
468 27 29
469 24 36
470 6 20
471 26 33
472 14 29
473 15 35
474 29 46
475 4 20
476 26 43
477 7 1
478 23 33
479 1 5
480 24 36
481 13 18
482 13 34
483 1 9
484 24 46
485 16 49
486 6 32
487 12 21
488 12 46
489 25 42
490 3 29
491 11 48
492 1 10
493 18 46
494 24 20
495 10 29
496 15 4
497 6 40
498 19 18
499 28 3
500 14 46
501 3 29
502 9 36
503 21 40
504 1 6
505 21 23
506 6 43
507 22 8
508 24 21
509 13 48
510 10 4
511 26 45
512 19 22
513 6 48
514 21 35
515 12 4
516 30 4
517 14 8
518 20 35
519 27 22
520 12 29
521 7 27
522 24 20
523 14 27
524 21 39
525 26 30
526 24 2
527 16 3
528 15 11
529 12 15
530 16 5
531 1 25
532 28 4
533 15 49
534 10 33
535 13 33
536 4 21
537 29 37
538 30 45
539 5 30
540 15 41
541 20 30
542 14 37
543 4 18
544 18 35
545 24 45
546 21 4
547 1 49
548 30 5
549 19 1
550 18 21
551 14 1
552 3 44
553 9 33
554 30 5
555 22 24
556 5 21
557 6 40
558 8 39
