606 3285
1 17 26
2 23 1
3 6 48
4 3 16
5 29 28
6 5 12
7 27 37
8 5 19
9 30 40
10 9 12
11 30 13
12 15 5
13 10 48
14 10 49
15 17 1
16 18 13
17 26 2
18 5 41
19 9 37
20 17 10
21 16 23
22 21 34
23 1 17
24 12 42
25 16 10
26 15 37
27 25 30
28 4 34
29 17 5
30 22 33
31 15 41
32 27 30
33 2 11
34 3 43
35 29 29
36 2 17
37 23 22
38 10 15
39 30 4
40 7 45
41 25 11
42 14 39
43 20 27
44 14 18
45 21 8
46 30 38
47 28 48
48 7 40
49 18 39
50 24 9
51 19 35
52 7 23
53 8 26
54 18 47
55 21 44
56 13 46
57 6 28
58 26 48
59 4 10
60 15 37
61 7 17
62 6 16
63 24 42
64 25 24
65 13 40
66 4 3
67 4 10
68 26 31
69 17 15
70 9 18
71 20 22
72 23 15
73 9 48
74 12 5
75 19 29
76 13 25
77 17 18
78 21 12
79 21 47
80 27 43
81 17 20
82 18 12
83 1 25
84 23 18
85 9 21
86 25 48
87 14 47
88 14 43
89 26 28
90 19 5
91 28 41
92 1 4
93 18 23
94 15 20
95 20 2
96 3 8
97 3 12
98 9 4
99 16 13
100 21 26
101 16 5
102 5 29
103 23 38
104 13 50
105 27 21
106 16 24
107 23 37
108 29 22
109 29 46
110 2 30
111 9 6
112 7 21
113 7 8
114 6 4
115 22 48
116 29 7
117 24 3
118 28 6
119 12 12
120 18 9
121 3 13
122 24 47
123 19 15
124 19 10
125 20 10
126 19 10
127 15 28
128 22 33
129 17 8
130 26 8
131 15 14
132 15 9
133 18 4
134 16 9
135 5 25
136 29 47
137 28 5
138 24 38
139 29 14
140 17 30
141 23 38
142 29 39
143 15 20
144 11 1
145 9 6
146 8 36
147 29 24
148 24 38
149 17 11
150 6 42
151 26 17
152 20 25
153 11 35
154 22 41
155 8 11
156 10 22
157 28 10
158 20 12
159 11 30
160 4 10
161 5 23
162 5 5
163 17 40
164 24 23
165 12 40
166 16 39
167 26 8
168 13 28
169 24 27
170 28 42
171 27 39
172 23 36
173 28 25
174 19 28
175 4 12
176 19 41
177 24 33
178 17 30
179 4 41
180 5 26
181 2 22
182 14 39
183 9 29
184 16 23
185 7 35
186 26 45
187 25 30
188 10 22
189 14 28
190 21 10
191 19 42
192 10 24
193 24 48
194 6 48
195 28 12
196 5 21
197 13 40
198 9 14
199 20 26
200 8 26
201 20 5
202 20 34
203 4 1
204 27 40
205 18 10
206 11 18
207 11 2
208 2 26
209 29 47
210 15 39
211 8 49
212 9 42
213 21 18
214 17 10
215 25 44
216 6 5
217 18 7
218 20 34
219 8 49
220 15 37
221 10 25
222 15 12
223 6 48
224 7 26
225 6 12
226 14 5
227 2 23
228 8 4
229 2 5
230 24 36
231 18 1
232 2 48
233 7 34
234 3 16
235 22 9
236 23 43
237 3 9
238 4 10
239 28 40
240 25 3
241 23 49
242 29 17
243 23 6
244 30 16
245 30 33
246 11 10
247 5 45
248 29 44
249 18 43
250 9 11
251 1 13
252 23 35
253 13 6
254 16 30
255 27 30
256 4 50
257 10 42
258 28 4
259 8 37
260 9 7
261 12 22
262 8 6
263 16 26
264 11 43
265 28 12
266 3 18
267 4 7
268 14 49
269 12 49
270 10 10
271 1 14
272 11 10
273 15 28
274 26 2
275 27 34
276 21 38
277 15 28
278 15 22
279 26 46
280 24 23
281 29 18
282 13 34
283 4 48
284 2 37
285 17 12
286 29 29
287 25 9
288 18 31
289 9 3
290 23 5
291 9 45
292 4 45
293 24 40
294 7 29
295 5 30
296 4 43
297 10 48
298 19 25
299 25 10
300 12 43
301 1 10
302 11 47
303 10 11
304 18 8
305 25 12
306 22 3
307 28 5
308 10 31
309 5 16
310 2 31
311 7 15
312 26 46
313 4 4
314 21 8
315 25 34
316 23 38
317 3 23
318 4 14
319 15 13
320 22 50
321 14 33
322 4 31
323 30 3
324 24 36
325 28 25
326 18 15
327 21 45
328 12 4
329 18 34
330 13 15
331 17 15
332 22 11
333 30 35
334 15 24
335 30 46
336 15 23
337 10 29
338 16 19
339 1 21
340 26 1
341 25 24
342 17 35
343 18 28
344 30 18
345 22 2
346 2 30
347 9 33
348 11 10
349 9 15
350 13 18
351 22 10
352 13 41
353 8 50
354 2 20
355 20 17
356 20 16
357 2 36
358 12 10
359 26 41
360 9 27
361 14 10
362 8 12
363 24 48
364 13 12
365 4 6
366 2 25
367 15 26
368 18 4
369 25 31
370 13 44
371 29 45
372 19 41
373 22 12
374 12 47
375 2 30
376 25 45
377 21 33
378 29 34
379 20 33
380 7 46
381 28 28
382 10 4
383 13 39
384 9 27
385 21 34
386 12 20
387 8 32
388 20 9
389 13 13
390 16 46
391 4 32
392 13 34
393 4 3
394 7 46
395 5 13
396 1 25
397 13 12
398 20 45
399 21 39
400 24 21
401 12 47
402 22 1
403 11 3
404 9 25
405 25 16
406 21 8
407 18 13
408 13 13
409 27 11
410 28 1
411 16 48
412 25 18
413 30 7
414 14 12
415 5 39
416 14 18
417 26 26
418 18 16
419 8 28
420 20 45
421 26 12
422 14 43
423 4 47
424 17 42
425 7 15
426 23 34
427 12 19
428 11 23
429 15 15
430 14 21
431 23 20
432 18 40
433 25 7
434 7 24
435 15 47
436 18 32
437 28 22
438 6 34
439 20 32
440 15 28
441 6 19
442 2 10
443 8 12
444 12 14
445 28 18
446 25 33
447 7 24
448 22 33
449 1 29
450 16 17
451 17 26
452 8 36
453 27 23
454 21 16
455 4 48
456 3 50
457 26 4
458 11 5
459 8 42
460 1 45
461 9 5
462 9 47
463 28 3
464 29 10
465 13 37
466 26 9
467 2 23
468 26 8
469 7 17
470 5 1
471 14 19
472 12 31
473 25 12
474 18 42
475 5 8
476 28 16
477 4 19
478 12 43
479 21 43
480 13 3
481 9 28
482 23 40
483 3 8
484 29 49
485 26 25
486 11 41
487 23 4
488 24 19
489 5 11
490 2 22
491 20 2
492 29 35
493 20 50
494 7 42
495 4 29
496 4 24
497 19 8
498 5 11
499 27 13
500 21 43
501 27 12
502 15 32
503 15 8
504 20 32
505 10 14
506 5 41
507 5 43
508 5 34
509 4 2
510 25 38
511 30 20
512 11 40
513 29 26
514 30 45
515 10 11
516 9 29
517 14 26
518 10 38
519 15 11
520 1 5
521 4 25
522 15 40
523 7 20
524 23 11
525 23 49
526 18 4
527 20 10
528 24 50
529 27 45
530 27 27
531 5 37
532 27 30
533 12 16
534 8 47
535 18 40
536 13 4
537 5 49
538 13 31
539 30 18
540 13 42
541 28 40
542 6 40
543 12 41
544 19 40
545 5 35
546 28 42
547 4 24
548 11 35
549 21 40
550 3 19
551 10 35
552 22 44
553 4 16
554 16 3
555 23 19
556 17 3
557 20 42
558 22 13
559 4 32
560 23 20
561 17 20
562 1 42
563 14 34
564 26 34
565 5 11
566 4 4
567 5 27
568 19 30
569 13 27
570 3 27
571 17 31
572 9 6
573 24 22
574 21 7
575 24 23
576 26 22
577 24 39
578 13 37
579 22 40
580 3 48
581 20 28
582 2 47
583 15 2
584 16 49
585 30 10
586 7 26
587 20 8
588 14 13
589 29 4
590 1 32
591 16 47
592 15 21
593 7 17
594 30 10
595 19 32
596 7 8
597 29 10
598 24 15
599 12 32
600 23 43
601 11 40
602 19 33
603 7 2
604 5 27
605 27 18
606 11 34
