651 3407
1 25 4
2 22 34
3 3 11
4 2 44
5 17 49
6 25 27
7 25 21
8 20 36
9 14 32
10 28 25
11 2 10
12 3 5
13 17 49
14 21 24
15 9 44
16 29 26
17 28 40
18 9 12
19 30 2
20 26 18
21 2 12
22 24 6
23 24 35
24 13 17
25 19 21
26 3 22
27 22 17
28 7 38
29 26 37
30 13 26
31 13 1
32 13 32
33 22 13
34 23 41
35 14 50
36 21 16
37 13 4
38 11 47
39 11 16
40 5 11
41 26 10
42 2 19
43 26 8
44 17 43
45 27 21
46 1 31
47 2 23
48 2 15
49 26 4
50 28 1
51 26 18
52 16 18
53 23 39
54 6 13
55 4 31
56 23 41
57 10 5
58 29 15
59 24 17
60 18 10
61 28 28
62 20 11
63 22 3
64 5 39
65 29 32
66 10 14
67 19 5
68 23 24
69 5 49
70 6 48
71 1 11
72 20 20
73 15 49
74 6 30
75 17 45
76 20 4
77 24 31
78 26 26
79 14 41
80 24 44
81 24 5
82 27 25
83 20 41
84 8 4
85 9 35
86 24 19
87 25 43
88 10 11
89 23 26
90 1 10
91 30 32
92 15 44
93 12 31
94 1 47
95 3 36
96 20 48
97 11 48
98 22 50
99 19 21
100 15 29
101 18 10
102 20 4
103 5 41
104 5 47
105 6 7
106 28 38
107 8 23
108 13 1
109 15 3
110 20 27
111 28 41
112 4 28
113 1 48
114 29 31
115 30 36
116 29 27
117 27 10
118 21 1
119 1 47
120 20 18
121 5 7
122 25 44
123 21 37
124 14 35
125 11 45
126 13 29
127 26 39
128 8 28
129 18 39
130 28 7
131 4 16
132 26 20
133 28 18
134 23 30
135 16 22
136 17 20
137 28 4
138 23 11
139 2 8
140 7 33
141 23 10
142 13 40
143 20 20
144 27 37
145 18 24
146 15 33
147 11 30
148 5 20
149 9 27
150 19 14
151 8 46
152 5 27
153 1 47
154 7 42
155 25 34
156 14 9
157 25 38
158 10 44
159 8 18
160 20 17
161 21 24
162 30 33
163 6 4
164 23 6
165 22 1
166 22 29
167 8 6
168 25 48
169 23 44
170 10 9
171 29 15
172 9 23
173 3 18
174 28 12
175 15 47
176 10 27
177 12 29
178 11 29
179 4 13
180 15 17
181 6 6
182 15 15
183 1 2
184 13 15
185 25 4
186 15 23
187 20 43
188 7 24
189 10 14
190 15 46
191 20 15
192 4 33
193 25 35
194 24 31
195 17 48
196 7 14
197 5 44
198 19 17
199 15 43
200 12 39
201 6 6
202 1 17
203 11 9
204 1 10
205 2 27
206 28 33
207 1 31
208 5 38
209 15 28
210 30 14
211 27 18
212 7 33
213 11 7
214 20 5
215 9 33
216 25 46
217 10 7
218 23 40
219 15 5
220 2 36
221 21 9
222 28 24
223 21 35
224 23 6
225 14 32
226 21 41
227 19 49
228 25 12
229 6 24
230 16 6
231 6 11
232 12 46
233 27 14
234 27 32
235 18 38
236 19 50
237 18 37
238 13 39
239 3 35
240 6 36
241 18 16
242 18 17
243 6 3
244 28 21
245 26 45
246 17 34
247 7 30
248 1 26
249 15 17
250 7 14
251 25 27
252 23 2
253 3 36
254 12 35
255 2 37
256 13 40
257 4 50
258 18 22
259 4 37
260 12 32
261 11 20
262 15 40
263 9 47
264 5 45
265 3 23
266 8 19
267 19 21
268 23 14
269 28 14
270 10 29
271 13 22
272 10 8
273 14 29
274 9 27
275 25 23
276 8 48
277 24 24
278 7 45
279 20 1
280 9 35
281 13 47
282 3 23
283 17 27
284 6 26
285 13 36
286 26 47
287 29 26
288 24 32
289 24 35
290 29 21
291 7 18
292 8 2
293 4 6
294 16 13
295 16 37
296 29 30
297 3 4
298 4 1
299 10 40
300 8 22
301 25 33
302 30 33
303 30 24
304 27 14
305 18 25
306 26 16
307 14 3
308 29 37
309 8 15
310 2 15
311 23 2
312 26 35
313 15 49
314 27 37
315 30 14
316 30 14
317 28 30
318 9 8
319 23 15
320 21 12
321 21 8
322 9 36
323 10 49
324 5 19
325 5 28
326 15 17
327 19 32
328 13 34
329 22 39
330 12 22
331 4 31
332 7 4
333 10 37
334 21 14
335 3 33
336 17 43
337 10 7
338 11 1
339 16 5
340 19 20
341 12 5
342 9 12
343 26 41
344 17 19
345 22 18
346 30 37
347 1 27
348 10 12
349 13 50
350 18 16
351 2 4
352 30 21
353 13 42
354 21 20
355 8 41
356 1 31
357 17 29
358 3 34
359 30 39
360 13 1
361 9 42
362 7 9
363 10 27
364 10 35
365 16 47
366 30 10
367 23 11
368 12 17
369 15 5
370 16 2
371 17 28
372 3 44
373 17 27
374 7 26
375 15 29
376 28 25
377 1 16
378 23 40
379 12 5
380 24 20
381 13 25
382 21 7
383 28 12
384 23 42
385 18 10
386 25 15
387 8 27
388 8 46
389 15 34
390 23 20
391 25 50
392 6 35
393 15 31
394 26 9
395 15 2
396 30 39
397 18 10
398 16 17
399 13 20
400 10 41
401 30 5
402 27 19
403 23 14
404 14 38
405 9 38
406 29 13
407 17 6
408 19 3
409 16 27
410 3 20
411 10 44
412 11 9
413 5 6
414 26 28
415 25 37
416 10 6
417 23 26
418 6 28
419 1 41
420 15 39
421 8 25
422 4 16
423 30 4
424 1 16
425 20 35
426 7 9
427 19 47
428 10 33
429 4 47
430 2 31
431 23 31
432 28 26
433 8 14
434 23 48
435 14 19
436 9 34
437 25 44
438 29 26
439 17 19
440 23 27
441 16 30
442 27 34
443 8 8
444 26 34
445 24 30
446 24 37
447 30 1
448 24 20
449 16 16
450 29 20
451 6 9
452 13 30
453 2 3
454 15 49
455 24 48
456 17 29
457 29 15
458 12 8
459 3 29
460 1 28
461 18 6
462 4 20
463 29 27
464 1 24
465 4 9
466 5 29
467 28 49
468 30 21
469 12 15
470 1 25
471 14 49
472 5 44
473 14 16
474 1 38
475 6 44
476 17 6
477 9 31
478 25 7
479 9 15
480 13 3
481 15 27
482 13 44
483 26 43
484 25 27
485 19 37
486 3 24
487 26 7
488 27 1
489 14 17
490 30 19
491 20 6
492 26 11
493 6 50
494 27 47
495 6 49
496 19 43
497 18 33
498 16 3
499 27 2
500 19 37
501 19 33
502 30 24
503 19 26
504 14 14
505 15 13
506 12 6
507 28 10
508 16 6
509 11 35
510 2 27
511 5 2
512 21 12
513 26 6
514 4 13
515 30 44
516 29 48
517 26 11
518 23 16
519 16 46
520 29 32
521 10 13
522 18 29
523 2 5
524 16 32
525 21 39
526 20 26
527 12 30
528 17 28
529 8 3
530 22 47
531 26 40
532 24 24
533 2 16
534 19 40
535 13 18
536 1 24
537 20 10
538 4 1
539 27 42
540 2 7
541 20 44
542 12 22
543 23 21
544 1 10
545 3 42
546 6 20
547 3 1
548 3 35
549 28 32
550 14 32
551 9 46
552 7 30
553 16 11
554 10 22
555 22 13
556 20 33
557 16 12
558 4 29
559 14 6
560 30 6
561 17 46
562 5 30
563 18 20
564 16 16
565 21 39
566 17 1
567 26 4
568 10 41
569 26 11
570 14 19
571 13 44
572 11 31
573 27 7
574 21 40
575 2 50
576 17 11
577 17 23
578 22 45
579 12 7
580 12 44
581 27 10
582 14 32
583 5 23
584 25 30
585 25 40
586 30 10
587 25 1
588 20 43
589 9 2
590 22 22
591 13 30
592 12 50
593 13 25
594 26 46
595 23 9
596 10 29
597 18 33
598 3 33
599 8 39
600 14 42
601 18 14
602 1 15
603 16 42
604 17 26
605 13 41
606 17 46
607 30 31
608 17 24
609 15 42
610 20 38
611 2 9
612 18 19
613 21 30
614 3 50
615 30 19
616 22 50
617 14 44
618 14 49
619 26 22
620 14 28
621 22 22
622 3 34
623 12 19
624 17 7
625 22 26
626 4 13
627 4 13
628 4 27
629 25 36
630 6 14
631 6 19
632 3 39
633 3 28
634 9 48
635 30 14
636 5 13
637 6 50
638 26 39
639 10 3
640 5 34
641 10 40
642 8 14
643 13 31
644 22 47
645 9 17
646 22 24
647 16 27
648 25 50
649 24 3
650 7 5
651 9 23
