603 2870
1 14 24
2 7 42
3 4 19
4 19 29
5 21 30
6 26 16
7 22 7
8 17 30
9 7 25
10 4 50
11 12 20
12 6 11
13 5 19
14 27 32
15 17 32
16 1 42
17 15 17
18 5 50
19 18 23
20 28 38
21 3 4
22 3 36
23 22 11
24 28 38
25 15 11
26 9 47
27 20 5
28 17 6
29 15 16
30 27 11
31 19 37
32 14 3
33 26 38
34 5 43
35 3 32
36 12 15
37 17 36
38 12 50
39 16 19
40 19 30
41 1 28
42 18 10
43 4 37
44 6 8
45 24 4
46 10 2
47 21 23
48 6 48
49 2 10
50 12 24
51 4 23
52 30 32
53 20 42
54 12 5
55 20 20
56 26 41
57 19 16
58 2 32
59 2 19
60 1 5
61 23 10
62 28 15
63 2 13
64 12 44
65 13 3
66 29 18
67 7 9
68 19 38
69 10 32
70 22 11
71 14 29
72 3 4
73 14 7
74 16 45
75 25 26
76 1 49
77 18 8
78 13 19
79 23 26
80 14 47
81 8 35
82 4 6
83 3 14
84 23 42
85 6 36
86 24 1
87 15 7
88 4 10
89 15 41
90 5 39
91 19 7
92 18 6
93 17 2
94 16 39
95 8 42
96 5 7
97 26 50
98 13 18
99 13 7
100 1 10
101 25 14
102 20 9
103 12 16
104 28 36
105 26 24
106 27 24
107 13 16
108 19 49
109 27 5
110 7 44
111 26 23
112 11 21
113 2 15
114 10 36
115 11 2
116 8 15
117 25 9
118 5 39
119 4 45
120 16 32
121 10 4
122 5 4
123 9 36
124 12 36
125 20 40
126 1 37
127 4 31
128 19 37
129 17 50
130 3 20
131 21 22
132 16 17
133 20 11
134 27 6
135 7 33
136 7 28
137 16 41
138 22 7
139 26 33
140 14 17
141 5 24
142 5 38
143 17 15
144 27 3
145 4 1
146 14 14
147 22 10
148 1 1
149 12 37
150 26 28
151 1 42
152 17 9
153 5 38
154 25 12
155 3 10
156 21 49
157 13 35
158 6 41
159 10 14
160 16 15
161 14 19
162 29 35
163 28 11
164 8 1
165 9 43
166 10 22
167 27 37
168 2 23
169 4 48
170 14 48
171 17 14
172 26 39
173 21 34
174 12 2
175 17 27
176 26 11
177 25 46
178 27 25
179 6 34
180 15 7
181 7 5
182 30 15
183 21 11
184 17 16
185 18 20
186 6 14
187 26 13
188 24 36
189 16 35
190 7 45
191 23 4
192 17 8
193 10 3
194 24 7
195 17 10
196 5 15
197 24 44
198 1 6
199 4 17
200 14 11
201 8 41
202 16 25
203 3 30
204 2 49
205 6 48
206 5 29
207 24 1
208 8 3
209 25 23
210 1 41
211 22 26
212 17 48
213 9 37
214 13 23
215 3 28
216 25 43
217 28 11
218 27 21
219 12 29
220 11 9
221 28 17
222 7 31
223 27 26
224 15 23
225 20 46
226 24 32
227 21 20
228 19 41
229 19 33
230 3 11
231 3 50
232 15 30
233 30 24
234 22 3
235 2 24
236 11 31
237 30 50
238 4 8
239 15 50
240 1 25
241 17 46
242 8 17
243 17 38
244 20 25
245 10 24
246 18 34
247 3 42
248 26 34
249 5 17
250 26 18
251 3 47
252 11 32
253 16 14
254 12 22
255 23 22
256 18 10
257 27 7
258 8 33
259 4 39
260 18 16
261 3 47
262 9 35
263 28 14
264 29 5
265 13 4
266 22 25
267 22 22
268 8 49
269 7 49
270 13 2
271 30 20
272 23 38
273 9 42
274 23 22
275 11 32
276 9 43
277 28 38
278 17 17
279 13 47
280 11 37
281 23 43
282 1 6
283 26 19
284 5 3
285 19 27
286 24 39
287 8 18
288 28 26
289 29 50
290 20 39
291 13 38
292 21 10
293 7 10
294 27 30
295 28 49
296 6 10
297 1 29
298 26 9
299 29 22
300 21 17
301 8 16
302 27 47
303 13 35
304 15 41
305 6 24
306 12 21
307 23 14
308 20 40
309 15 8
310 11 33
311 7 38
312 2 49
313 28 9
314 17 16
315 10 19
316 13 29
317 26 41
318 16 20
319 17 2
320 3 13
321 17 44
322 3 39
323 7 14
324 8 32
325 14 50
326 26 32
327 18 7
328 2 5
329 8 41
330 3 47
331 9 7
332 18 47
333 7 3
334 26 24
335 16 28
336 8 32
337 3 22
338 10 32
339 7 50
340 15 10
341 19 30
342 23 38
343 28 25
344 5 5
345 5 17
346 14 25
347 5 31
348 1 21
349 25 37
350 26 40
351 16 35
352 11 39
353 26 40
354 20 43
355 21 36
356 14 40
357 5 47
358 29 2
359 23 25
360 29 37
361 1 12
362 1 17
363 12 34
364 8 26
365 20 35
366 7 37
367 20 37
368 15 27
369 28 46
370 9 19
371 21 25
372 28 47
373 21 38
374 19 43
375 13 9
376 1 5
377 20 43
378 2 13
379 16 11
380 20 45
381 25 6
382 24 16
383 12 10
384 13 19
385 18 13
386 27 40
387 27 46
388 17 9
389 26 37
390 13 48
391 5 33
392 4 16
393 6 25
394 8 3
395 27 19
396 10 34
397 14 33
398 19 17
399 2 43
400 17 49
401 28 26
402 19 46
403 13 27
404 25 8
405 23 9
406 7 9
407 12 11
408 4 19
409 7 3
410 21 24
411 21 20
412 17 44
413 24 7
414 12 46
415 12 48
416 6 9
417 25 36
418 24 48
419 12 10
420 15 26
421 9 14
422 6 12
423 16 9
424 12 12
425 3 2
426 17 33
427 24 45
428 18 29
429 14 39
430 26 5
431 19 22
432 25 13
433 9 20
434 12 21
435 20 17
436 8 48
437 2 34
438 1 7
439 14 42
440 8 7
441 5 7
442 9 20
443 11 19
444 29 4
445 9 24
446 10 47
447 17 24
448 2 6
449 14 23
450 8 25
451 1 25
452 22 24
453 20 32
454 10 4
455 25 50
456 20 19
457 26 50
458 19 6
459 8 37
460 22 29
461 10 21
462 27 9
463 27 38
464 14 40
465 3 41
466 4 5
467 27 37
468 19 27
469 30 8
470 20 44
471 7 41
472 22 14
473 20 50
474 22 10
475 18 33
476 28 50
477 5 14
478 8 1
479 14 21
480 2 16
481 3 7
482 2 31
483 13 50
484 7 14
485 10 38
486 27 18
487 18 21
488 2 20
489 20 5
490 11 10
491 27 18
492 19 43
493 1 16
494 16 36
495 8 37
496 13 50
497 14 25
498 30 38
499 4 39
500 22 35
501 16 8
502 13 6
503 20 36
504 17 50
505 20 7
506 1 28
507 4 19
508 30 6
509 14 17
510 24 21
511 24 46
512 30 49
513 20 1
514 16 46
515 11 37
516 20 19
517 17 32
518 6 26
519 29 2
520 7 8
521 10 37
522 17 35
523 25 9
524 30 40
525 15 35
526 20 28
527 21 31
528 6 50
529 24 12
530 25 24
531 20 27
532 22 46
533 30 17
534 4 29
535 18 2
536 8 27
537 9 25
538 23 45
539 3 5
540 25 7
541 29 44
542 17 19
543 17 14
544 29 10
545 27 15
546 13 27
547 21 25
548 14 3
549 23 49
550 11 11
551 11 18
552 29 41
553 4 2
554 5 28
555 6 21
556 15 46
557 27 23
558 15 43
559 6 35
560 22 15
561 19 36
562 11 42
563 30 16
564 14 3
565 17 26
566 25 17
567 25 5
568 29 39
569 28 45
570 26 15
571 16 2
572 21 32
573 24 25
574 16 12
575 1 29
576 8 11
577 24 20
578 4 26
579 25 47
580 30 3
581 24 44
582 29 19
583 30 29
584 17 10
585 14 24
586 6 39
587 6 36
588 2 1
589 22 49
590 4 22
591 7 41
592 25 40
593 20 38
594 7 47
595 7 46
596 9 10
597 21 20
598 18 41
599 18 36
600 2 21
601 22 27
602 21 37
603 25 34
