510 2636
1 16 32
2 13 50
3 20 45
4 24 2
5 27 23
6 18 3
7 19 14
8 3 19
9 14 22
10 28 46
11 12 36
12 19 44
13 7 26
14 25 33
15 20 40
16 3 17
17 22 27
18 18 33
19 22 1
20 14 30
21 24 2
22 4 34
23 17 36
24 22 20
25 30 2
26 18 31
27 27 16
28 14 33
29 23 30
30 27 34
31 30 39
32 1 43
33 28 18
34 15 41
35 21 9
36 20 46
37 22 3
38 9 28
39 28 33
40 29 49
41 4 18
42 29 22
43 6 5
44 16 28
45 4 22
46 2 5
47 2 14
48 7 29
49 3 22
50 9 5
51 12 40
52 12 43
53 12 33
54 10 32
55 5 18
56 20 50
57 8 9
58 13 23
59 15 28
60 10 50
61 1 13
62 5 12
63 18 3
64 23 11
65 16 13
66 27 7
67 13 19
68 29 46
69 21 20
70 17 17
71 30 7
72 8 27
73 17 42
74 19 31
75 9 50
76 2 19
77 23 38
78 2 42
79 1 24
80 14 16
81 9 21
82 13 41
83 11 23
84 6 43
85 3 15
86 1 34
87 21 30
88 30 37
89 11 10
90 29 41
91 29 2
92 19 23
93 20 42
94 15 30
95 28 18
96 5 6
97 8 19
98 18 30
99 12 35
100 2 36
101 29 32
102 21 19
103 1 30
104 17 33
105 29 27
106 13 49
107 29 33
108 2 18
109 5 36
110 7 42
111 5 43
112 29 45
113 4 46
114 14 7
115 22 46
116 12 31
117 9 12
118 1 42
119 13 10
120 26 33
121 16 49
122 13 16
123 1 4
124 15 7
125 29 33
126 28 44
127 16 48
128 8 41
129 25 13
130 17 27
131 20 38
132 7 39
133 21 9
134 22 45
135 8 7
136 19 6
137 17 11
138 13 38
139 15 8
140 14 5
141 10 44
142 30 17
143 13 39
144 27 38
145 4 3
146 24 13
147 2 22
148 13 44
149 20 34
150 30 50
151 13 18
152 27 49
153 11 31
154 8 47
155 28 34
156 21 30
157 17 3
158 16 21
159 3 5
160 28 46
161 9 21
162 29 1
163 12 11
164 16 24
165 7 36
166 5 39
167 25 31
168 17 35
169 1 27
170 21 1
171 30 34
172 20 38
173 8 27
174 28 30
175 23 16
176 16 42
177 8 36
178 4 32
179 16 41
180 5 44
181 18 31
182 2 33
183 23 21
184 9 25
185 27 2
186 5 8
187 17 6
188 25 24
189 5 2
190 25 19
191 9 32
192 20 7
193 7 5
194 28 15
195 26 44
196 28 25
197 16 42
198 9 38
199 24 28
200 22 12
201 1 39
202 29 17
203 4 13
204 2 30
205 6 46
206 19 35
207 28 10
208 23 46
209 15 32
210 10 12
211 27 20
212 28 2
213 13 47
214 19 26
215 24 2
216 9 6
217 20 7
218 24 36
219 21 15
220 15 38
221 12 13
222 24 41
223 3 16
224 27 39
225 19 48
226 2 25
227 19 39
228 26 31
229 5 16
230 28 10
231 8 46
232 5 7
233 4 40
234 12 24
235 14 9
236 12 18
237 13 35
238 18 45
239 13 46
240 15 1
241 26 38
242 8 14
243 7 5
244 7 13
245 1 6
246 15 40
247 2 41
248 18 5
249 1 42
250 21 36
251 10 44
252 23 22
253 20 11
254 29 32
255 8 5
256 25 3
257 13 14
258 9 21
259 18 17
260 5 40
261 2 9
262 1 23
263 30 29
264 30 30
265 10 12
266 27 21
267 5 20
268 2 34
269 22 12
270 18 39
271 27 4
272 24 11
273 27 14
274 11 36
275 30 17
276 8 1
277 26 8
278 26 27
279 18 7
280 8 9
281 28 24
282 29 22
283 23 23
284 25 26
285 14 24
286 5 2
287 7 10
288 2 43
289 13 44
290 9 2
291 11 8
292 4 38
293 15 29
294 14 3
295 15 23
296 21 2
297 16 42
298 5 41
299 26 32
300 6 1
301 25 32
302 3 32
303 21 16
304 26 13
305 30 6
306 6 22
307 3 20
308 29 28
309 30 24
310 12 37
311 16 44
312 10 43
313 27 15
314 23 2
315 28 1
316 23 2
317 22 5
318 15 25
319 12 11
320 29 31
321 28 5
322 4 31
323 6 14
324 10 27
325 19 43
326 3 36
327 6 3
328 19 23
329 19 13
330 16 16
331 15 28
332 29 47
333 24 4
334 11 6
335 16 9
336 8 33
337 5 44
338 13 42
339 27 24
340 29 46
341 26 31
342 3 2
343 5 11
344 26 5
345 16 3
346 22 40
347 3 41
348 28 16
349 26 10
350 23 11
351 1 13
352 23 35
353 26 8
354 7 14
355 11 47
356 21 47
357 27 44
358 30 14
359 6 27
360 30 33
361 19 42
362 13 11
363 12 12
364 9 29
365 2 1
366 9 42
367 15 33
368 28 20
369 20 6
370 24 21
371 22 46
372 29 31
373 29 20
374 4 45
375 6 13
376 17 26
