638 3235
1 9 17
2 21 25
3 24 40
4 28 37
5 30 45
6 17 45
7 23 49
8 16 14
9 11 45
10 8 15
11 10 44
12 2 47
13 23 15
14 7 27
15 7 5
16 27 7
17 22 38
18 11 27
19 29 30
20 5 10
21 6 11
22 26 19
23 1 32
24 22 33
25 16 22
26 28 8
27 25 39
28 14 20
29 25 20
30 26 13
31 15 15
32 29 48
33 2 2
34 4 32
35 1 40
36 3 7
37 20 48
38 27 13
39 1 10
40 15 7
41 1 44
42 26 46
43 24 19
44 5 40
45 28 12
46 24 14
47 6 25
48 1 29
49 16 36
50 12 8
51 25 4
52 14 27
53 4 40
54 11 34
55 20 37
56 12 30
57 21 7
58 7 16
59 15 43
60 16 15
61 25 11
62 30 30
63 15 41
64 21 12
65 18 22
66 30 3
67 16 33
68 11 31
69 15 21
70 6 26
71 7 8
72 7 39
73 24 36
74 25 41
75 8 12
76 5 32
77 2 34
78 24 9
79 26 24
80 30 6
81 15 39
82 18 22
83 4 40
84 24 48
85 10 20
86 5 18
87 17 31
88 27 42
89 8 13
90 2 46
91 14 38
92 9 47
93 24 44
94 15 1
95 7 25
96 16 14
97 5 15
98 27 38
99 14 43
100 17 13
101 12 13
102 1 40
103 16 39
104 21 13
105 1 15
106 8 26
107 4 39
108 12 27
109 2 29
110 30 1
111 25 35
112 6 19
113 10 2
114 7 5
115 6 45
116 30 7
117 28 2
118 6 3
119 10 29
120 5 40
121 25 25
122 15 48
123 13 38
124 17 44
125 6 6
126 14 20
127 30 9
128 21 41
129 13 47
130 8 8
131 3 17
132 27 2
133 28 14
134 4 7
135 12 21
136 8 36
137 5 14
138 26 7
139 23 12
140 30 19
141 27 46
142 20 8
143 16 30
144 11 18
145 28 48
146 8 23
147 24 44
148 14 33
149 27 28
150 19 1
151 18 38
152 28 44
153 23 23
154 30 5
155 26 1
156 5 2
157 18 15
158 2 4
159 26 12
160 1 24
161 21 50
162 16 26
163 3 19
164 18 2
165 8 48
166 14 47
167 15 41
168 30 37
169 26 41
170 13 1
171 12 18
172 5 39
173 12 18
174 2 27
175 1 15
176 22 41
177 24 49
178 26 9
179 20 25
180 10 17
181 2 13
182 14 6
183 25 5
184 14 20
185 26 36
186 3 37
187 13 29
188 27 36
189 26 21
190 15 26
191 7 16
192 16 2
193 27 33
194 10 36
195 7 21
196 12 30
197 25 17
198 7 40
199 22 30
200 1 17
201 7 35
202 15 22
203 23 31
204 19 8
205 23 23
206 5 39
207 1 50
208 13 7
209 14 2
210 4 42
211 25 45
212 3 9
213 24 9
214 30 35
215 20 13
216 23 9
217 9 7
218 30 12
219 9 38
220 11 44
221 13 6
222 14 3
223 27 26
224 1 43
225 18 4
226 14 4
227 10 7
228 14 15
229 17 14
230 1 7
231 28 3
232 25 26
233 21 46
234 29 2
235 3 10
236 15 47
237 25 28
238 19 23
239 24 11
240 15 33
241 6 1
242 6 16
243 29 49
244 10 25
245 24 33
246 21 41
247 25 47
248 19 48
249 22 7
250 29 27
251 26 43
252 23 32
253 10 24
254 25 25
255 14 19
256 27 50
257 21 44
258 27 29
259 13 48
260 4 8
261 30 36
262 11 17
263 23 19
264 24 26
265 15 12
266 14 43
267 4 27
268 6 25
269 2 30
270 30 35
271 1 8
272 26 21
273 12 4
274 10 44
275 4 5
276 13 33
277 20 3
278 19 24
279 21 14
280 10 48
281 25 3
282 22 30
283 21 17
284 25 32
285 27 6
286 29 49
287 3 6
288 9 16
289 30 20
290 21 13
291 14 14
292 27 14
293 26 48
294 29 39
295 11 38
296 6 36
297 23 27
298 17 23
299 23 23
300 5 41
301 18 25
302 29 43
303 10 10
304 18 39
305 1 21
306 3 5
307 4 50
308 10 1
309 7 8
310 29 9
311 8 26
312 14 40
313 22 13
314 4 47
315 25 20
316 17 15
317 24 28
318 9 24
319 29 18
320 4 19
321 18 17
322 13 21
323 28 44
324 12 16
325 14 12
326 4 1
327 28 20
328 12 39
329 2 5
330 17 18
331 7 26
332 22 20
333 3 40
334 25 43
335 18 9
336 21 47
337 27 36
338 18 46
339 9 41
340 11 32
341 22 36
342 4 41
343 15 27
344 22 38
345 14 18
346 26 10
347 3 37
348 11 47
349 9 26
350 19 36
351 26 50
352 14 12
353 5 1
354 29 15
355 13 19
356 19 47
357 14 32
358 7 11
359 21 18
360 28 44
361 6 3
362 23 30
363 2 35
364 19 20
365 30 17
366 27 45
367 8 40
368 8 4
369 3 16
370 9 35
371 6 19
372 3 42
373 2 20
374 2 12
375 29 1
376 25 26
377 14 9
378 18 45
379 4 36
380 16 5
381 4 22
382 12 24
383 21 9
384 7 3
385 17 47
386 30 14
387 17 22
388 25 19
389 3 8
390 10 34
391 9 37
392 19 14
393 5 18
394 28 40
395 3 23
396 17 9
397 16 48
398 2 6
399 16 10
400 21 34
401 7 2
402 8 23
403 5 4
404 11 20
405 12 23
406 23 22
407 9 13
408 25 5
409 1 42
410 27 35
411 26 43
412 23 11
413 10 24
414 8 45
415 24 30
416 11 42
417 1 28
418 6 6
419 11 9
420 5 44
421 21 29
422 25 41
423 21 49
424 25 23
425 2 41
426 8 9
427 3 50
428 21 24
429 16 39
430 29 11
431 10 1
432 22 1
433 18 19
434 8 10
435 27 34
436 4 9
437 22 18
438 29 4
439 9 46
440 17 10
441 28 36
442 29 23
443 7 39
444 26 14
445 9 16
446 14 49
447 16 27
448 29 45
449 16 8
450 15 24
451 1 10
452 13 4
453 7 33
454 17 45
455 10 35
456 17 18
457 2 25
458 30 9
459 25 35
460 22 44
461 11 46
462 22 18
463 24 42
464 13 19
465 9 17
466 13 41
467 6 27
468 14 4
469 11 2
470 11 41
471 9 7
472 28 10
473 3 47
474 18 47
475 13 42
476 30 35
477 29 31
478 3 12
479 24 15
480 1 24
481 11 25
482 24 8
483 13 9
484 3 13
485 13 13
486 5 3
487 9 12
488 22 3
489 20 32
490 30 43
491 3 39
492 9 11
493 12 31
494 22 47
495 25 4
496 21 27
497 10 36
498 26 32
499 27 49
500 7 11
501 11 1
502 13 32
503 5 24
504 14 24
505 27 35
506 18 29
507 4 47
508 21 47
509 7 15
510 3 24
511 18 15
512 12 50
513 21 38
514 11 49
515 6 29
516 9 48
517 20 21
518 11 44
519 16 17
520 9 3
521 21 37
522 3 26
523 15 26
524 22 13
525 20 17
526 6 9
527 23 40
528 18 35
529 17 41
530 13 14
531 29 43
532 21 50
533 3 44
534 3 11
535 10 12
536 15 10
537 30 49
538 16 34
539 24 9
540 18 15
541 15 34
542 4 10
543 3 33
544 4 1
545 25 27
546 24 44
547 29 26
548 25 34
549 29 40
550 26 30
551 23 10
552 30 2
553 18 25
554 27 32
555 5 34
556 8 12
557 29 21
558 11 43
559 16 14
560 25 30
561 22 10
562 25 13
563 16 22
564 6 6
565 1 43
566 6 13
567 2 27
568 6 11
569 11 2
570 14 37
571 7 42
572 18 8
573 24 18
574 12 19
575 4 47
576 11 25
577 16 27
578 7 43
579 8 34
580 29 8
581 26 36
582 22 29
583 22 37
584 30 14
585 20 33
586 30 27
587 4 48
588 16 38
589 15 37
590 28 50
591 3 8
592 5 41
593 27 13
594 3 34
595 29 31
596 4 24
597 18 15
598 5 29
599 14 44
600 2 43
601 16 42
602 21 2
603 11 6
604 1 7
605 25 48
606 27 27
607 28 33
608 29 44
609 25 2
610 19 43
611 24 24
612 9 2
613 1 23
614 20 44
615 8 24
616 8 43
617 7 9
618 26 7
619 26 36
620 3 10
621 16 21
622 9 43
623 13 7
624 28 48
625 8 18
626 22 42
627 14 10
628 5 34
629 4 26
630 19 1
631 29 16
632 26 17
633 16 41
634 5 42
635 9 38
636 23 14
637 20 41
638 6 13
