505 2648
1 25 12
2 7 12
3 23 50
4 15 15
5 4 40
6 18 20
7 30 49
8 10 38
9 16 39
10 3 36
11 3 6
12 14 2
13 21 29
14 22 1
15 26 24
16 20 30
17 17 7
18 14 39
19 26 50
20 15 2
21 10 3
22 3 9
23 23 44
24 26 50
25 2 11
26 5 45
27 18 1
28 6 28
29 9 7
30 21 17
31 12 30
32 16 18
33 6 39
34 29 44
35 11 13
36 15 30
37 7 19
38 20 21
39 12 38
40 20 44
41 20 7
42 18 17
43 19 35
44 7 39
45 4 27
46 15 25
47 6 1
48 5 44
49 21 5
50 19 31
51 29 35
52 12 38
53 3 4
54 10 14
55 23 30
56 19 42
57 8 48
58 10 48
59 13 8
60 6 26
61 4 41
62 22 42
63 13 48
64 27 35
65 4 27
66 18 25
67 1 29
68 22 15
69 14 21
70 30 26
71 22 39
72 9 41
73 8 29
74 8 20
75 26 24
76 27 22
77 26 1
78 23 10
79 28 1
80 24 4
81 17 11
82 18 39
83 2 39
84 25 25
85 1 34
86 21 15
87 4 19
88 5 14
89 9 45
90 23 37
91 18 32
92 18 35
93 22 22
94 4 31
95 4 37
96 4 2
97 30 13
98 20 41
99 13 46
100 7 14
101 21 19
102 20 7
103 10 34
104 20 38
105 20 4
106 6 47
107 15 35
108 3 18
109 16 26
110 9 31
111 25 34
112 22 14
113 17 23
114 16 49
115 8 22
116 4 49
117 11 43
118 15 30
119 9 26
120 29 8
121 29 45
122 27 14
123 19 39
124 11 37
125 27 31
126 29 31
127 15 1
128 6 13
129 15 3
130 13 43
131 26 27
132 13 16
133 1 49
134 17 49
135 14 18
136 29 2
137 4 17
138 17 44
139 15 50
140 2 23
141 22 1
142 15 46
143 21 2
144 20 25
145 24 23
146 19 30
147 11 11
148 17 21
149 11 46
150 12 34
151 3 30
152 28 26
153 26 6
154 19 2
155 25 1
156 27 37
157 13 31
158 14 5
159 23 44
160 29 38
161 28 50
162 27 18
163 2 16
164 18 23
165 1 11
166 28 23
167 22 45
168 30 37
169 1 20
170 11 7
171 22 19
172 3 24
173 9 29
174 28 33
175 4 9
176 1 41
177 20 39
178 30 21
179 24 49
180 3 14
181 30 1
182 18 1
183 17 37
184 30 47
185 19 32
186 4 30
187 30 48
188 6 50
189 6 33
190 23 49
191 13 5
192 1 2
193 3 50
194 23 47
195 1 17
196 12 10
197 9 50
198 12 16
199 8 1
200 4 46
201 4 19
202 6 33
203 27 33
204 3 44
205 5 17
206 25 10
207 1 37
208 11 13
209 9 35
210 21 39
211 4 23
212 30 24
213 2 11
214 21 9
215 14 5
216 5 47
217 15 32
218 20 43
219 4 14
220 19 30
221 30 33
222 9 2
223 29 2
224 24 9
225 28 27
226 7 43
227 9 46
228 27 20
229 9 7
230 10 22
231 3 34
232 8 38
233 7 49
234 12 32
235 24 20
236 2 43
237 4 2
238 6 25
239 5 10
240 23 43
241 6 30
242 25 36
243 27 3
244 15 35
245 30 36
246 26 22
247 30 26
248 11 38
249 14 45
250 30 38
251 14 31
252 22 18
253 24 28
254 12 39
255 19 24
256 23 26
257 25 19
258 21 32
259 22 17
260 18 31
261 12 24
262 14 23
263 9 17
264 1 24
265 1 30
266 21 26
267 22 45
268 23 45
269 24 36
270 5 12
271 22 17
272 27 16
273 28 49
274 29 9
275 5 17
276 1 18
277 22 44
278 11 42
279 22 3
280 5 22
281 2 28
282 28 45
283 14 42
284 21 47
285 8 28
286 18 39
287 14 46
288 6 33
289 6 5
290 21 10
291 13 31
292 9 16
293 27 19
294 17 38
295 21 23
296 2 4
297 22 11
298 20 25
299 2 41
300 11 31
301 28 30
302 21 13
303 25 27
304 6 22
305 23 38
306 1 7
307 9 12
308 22 45
309 20 30
310 14 3
311 12 47
312 8 4
313 27 8
314 30 11
315 30 1
316 13 17
317 22 14
318 21 9
319 22 26
320 30 26
321 6 13
322 2 34
323 24 5
324 10 5
325 14 15
326 7 37
327 22 17
328 12 18
329 26 22
330 30 25
331 14 23
332 13 7
333 16 23
334 5 27
335 21 45
336 4 16
337 27 35
338 1 32
339 11 30
340 16 26
341 24 45
342 2 7
343 21 4
344 25 36
345 17 4
346 2 2
347 6 4
348 18 13
349 16 23
350 11 28
351 19 44
352 23 27
353 10 43
354 18 20
355 24 45
356 5 20
357 9 7
358 16 1
359 12 50
360 28 40
361 26 49
362 11 33
363 12 50
364 6 30
365 4 38
366 17 42
367 22 50
368 20 11
369 24 27
370 21 18
371 2 25
372 19 12
373 23 14
374 23 46
375 6 50
376 7 23
377 11 27
378 15 2
379 29 2
380 3 2
381 20 40
382 24 21
383 21 13
384 3 34
385 12 13
386 23 15
387 10 43
388 6 24
389 7 40
390 20 22
391 2 6
392 4 42
393 5 50
394 25 15
395 14 28
396 26 43
397 9 11
398 5 9
399 16 47
400 4 17
401 22 49
402 1 1
403 21 8
404 16 49
405 18 47
406 22 41
407 15 17
408 22 41
409 27 28
410 5 20
411 27 20
412 4 25
413 11 28
414 25 6
415 6 31
416 14 37
417 1 6
418 19 23
419 3 15
420 2 12
421 23 43
422 22 17
423 10 35
424 17 28
425 5 11
426 29 21
427 13 12
428 28 15
429 1 34
430 2 18
431 4 45
432 25 46
433 20 45
434 9 14
435 1 40
436 18 24
437 24 31
438 22 45
439 28 1
440 22 32
441 21 20
442 24 45
443 13 1
444 9 23
445 5 30
446 11 50
447 16 47
448 26 25
449 23 16
450 11 4
451 27 18
452 9 40
453 20 20
454 7 17
455 30 8
456 18 33
457 10 2
458 29 12
459 24 38
460 27 40
461 9 29
462 12 45
463 17 39
464 21 19
465 24 13
466 24 10
467 20 2
468 1 32
469 2 37
470 18 43
471 27 48
472 27 26
473 1 6
474 19 4
475 25 27
476 6 13
477 5 37
478 19 33
479 15 32
480 22 28
481 24 25
482 19 26
483 9 41
484 7 50
485 10 4
486 24 26
487 13 21
488 3 3
489 16 41
490 29 20
491 20 4
492 4 26
493 12 45
494 29 18
495 16 10
496 17 19
497 26 35
498 14 14
499 7 2
500 5 6
501 6 9
502 13 10
503 11 35
504 23 8
