580 3222
1 17 28
2 14 22
3 19 8
4 30 36
5 13 41
6 22 2
7 29 18
8 27 42
9 24 49
10 29 2
11 6 19
12 14 15
13 29 19
14 29 8
15 18 3
16 26 44
17 10 49
18 27 50
19 7 49
20 17 41
21 29 18
22 24 19
23 17 43
24 21 33
25 21 21
26 4 48
27 29 17
28 24 39
29 7 45
30 26 34
31 17 31
32 19 29
33 21 46
34 8 39
35 4 15
36 30 34
37 24 25
38 13 23
39 27 15
40 5 9
41 5 40
42 26 25
43 8 22
44 13 45
45 26 8
46 30 14
47 20 9
48 22 22
49 26 20
50 21 1
51 16 42
52 6 19
53 26 38
54 11 35
55 4 47
56 23 40
57 6 1
58 24 44
59 22 26
60 20 37
61 5 19
62 12 26
63 29 44
64 18 34
65 25 10
66 6 50
67 11 22
68 18 18
69 21 11
70 12 15
71 27 45
72 24 43
73 15 20
74 16 18
75 7 27
76 6 32
77 15 7
78 27 24
79 20 6
80 29 14
81 5 47
82 23 17
83 8 33
84 5 28
85 23 38
86 22 1
87 4 48
88 5 30
89 17 32
90 7 15
91 8 2
92 26 3
93 21 5
94 28 12
95 20 38
96 16 27
97 14 40
98 23 1
99 24 29
100 19 18
101 27 22
102 19 2
103 1 13
104 2 39
105 5 30
106 24 2
107 4 49
108 26 44
109 25 35
110 25 17
111 3 32
112 23 6
113 24 37
114 29 47
115 26 37
116 17 34
117 10 35
118 5 31
119 19 18
120 11 45
121 28 24
122 19 33
123 15 4
124 16 29
125 29 32
126 15 13
127 26 39
128 8 39
129 6 26
130 27 43
131 14 3
132 6 26
133 17 12
134 18 38
135 30 28
136 12 29
137 2 32
138 11 26
139 28 38
140 16 26
141 19 3
142 10 34
143 21 7
144 24 18
145 15 11
146 2 50
147 3 37
148 5 2
149 1 34
150 9 32
151 12 22
152 2 15
153 4 22
154 20 43
155 21 47
156 18 29
157 19 9
158 15 40
159 27 40
160 19 1
161 20 21
162 23 15
163 19 29
164 26 11
165 3 6
166 2 26
167 29 3
168 10 34
169 6 31
170 16 36
171 17 45
172 27 26
173 13 33
174 7 20
175 2 25
176 12 24
177 7 26
178 28 8
179 15 5
180 28 19
181 10 10
182 14 40
183 24 33
184 16 42
185 5 1
186 17 41
187 18 45
188 18 50
189 7 34
190 1 1
191 11 45
192 14 9
193 30 13
194 26 24
195 17 34
196 14 28
197 15 37
198 17 8
199 11 42
200 29 37
201 25 28
202 28 42
203 12 45
204 3 1
205 1 16
206 3 43
207 22 26
208 11 31
209 18 17
210 27 4
211 22 50
212 13 46
213 29 49
214 5 11
215 23 6
216 8 39
217 3 25
218 12 6
219 11 26
220 8 3
221 1 10
222 5 2
223 17 46
224 5 24
225 22 41
226 29 13
227 2 11
228 10 30
229 2 14
230 1 6
231 1 40
232 24 3
233 4 27
234 1 36
235 2 18
236 9 43
237 10 33
238 16 16
239 20 30
240 22 41
241 12 20
242 15 14
243 23 16
244 5 46
245 30 37
246 1 2
247 26 46
248 25 41
249 12 17
250 27 23
251 16 17
252 7 15
253 1 15
254 13 31
255 26 24
256 23 18
257 23 28
258 21 27
259 15 27
260 14 26
261 14 26
262 28 39
263 21 34
264 30 44
265 30 8
266 29 35
267 6 37
268 2 26
269 11 34
270 26 47
271 17 29
272 6 1
273 18 48
274 30 2
275 4 3
276 30 37
277 19 7
278 18 1
279 10 9
280 17 41
281 18 17
282 15 43
283 3 28
284 20 6
285 13 26
286 4 21
287 26 21
288 22 15
289 18 3
290 28 41
291 17 47
292 30 37
293 23 7
294 28 44
295 17 36
296 24 34
297 12 11
298 18 6
299 30 47
300 3 3
301 14 18
302 3 31
