502 2523
1 3 41
2 18 25
3 11 40
4 26 15
5 11 27
6 5 8
7 21 29
8 23 28
9 5 25
10 16 5
11 30 10
12 10 28
13 20 3
14 12 20
15 28 15
16 14 20
17 7 31
18 16 40
19 30 12
20 4 32
21 20 50
22 29 32
23 20 4
24 19 24
25 18 45
26 20 47
27 6 2
28 6 5
29 6 17
30 26 13
31 13 29
32 24 39
33 9 30
34 20 30
35 13 33
36 24 32
37 15 2
38 4 14
39 27 22
40 20 34
41 18 21
42 22 23
43 22 7
44 17 29
45 5 2
46 13 7
47 20 27
48 28 40
49 8 27
50 12 50
51 2 35
52 13 46
53 18 46
54 19 45
55 30 48
56 20 37
57 1 12
58 10 42
59 30 36
60 3 45
61 30 17
62 13 19
63 13 50
64 1 2
65 19 32
66 23 40
67 16 36
68 5 3
69 21 45
70 9 2
71 15 29
72 21 15
73 2 50
74 28 11
75 17 30
76 27 28
77 7 12
78 27 41
79 3 7
80 15 41
81 30 47
82 2 5
83 12 18
84 9 15
85 13 8
86 28 9
87 8 8
88 3 29
89 9 32
90 1 48
91 14 48
92 25 12
93 21 21
94 14 23
95 9 48
96 6 18
97 27 47
98 14 28
99 5 35
100 24 29
101 2 12
102 27 31
103 9 11
104 1 28
105 12 1
106 5 5
107 20 1
108 28 10
109 12 22
110 25 2
111 9 50
112 20 15
113 28 45
114 5 12
115 9 38
116 10 22
117 11 28
118 2 22
119 18 12
120 21 32
121 3 27
122 8 14
123 7 6
124 24 48
125 17 10
126 22 47
127 9 21
128 14 6
129 27 8
130 30 46
131 7 11
132 7 48
133 29 19
134 21 28
135 2 21
136 29 46
137 27 49
138 10 23
139 4 35
140 13 32
141 4 24
142 28 2
143 6 41
144 9 12
145 20 28
146 7 49
147 9 24
148 28 29
149 14 18
150 6 25
151 28 17
152 3 34
153 25 32
154 26 20
155 6 28
156 1 9
157 3 30
158 12 48
159 23 20
160 10 22
161 20 16
162 22 38
163 21 19
164 26 36
165 6 23
166 11 25
167 19 33
168 18 5
169 16 16
170 24 31
171 5 24
172 21 48
173 14 2
174 7 26
175 21 6
176 9 20
177 24 21
178 29 14
179 19 26
180 10 27
181 1 12
182 11 39
183 16 9
184 24 11
185 26 17
186 13 22
187 3 33
188 21 46
189 26 18
190 13 8
191 13 21
192 10 46
193 21 38
194 12 32
195 16 13
196 18 16
197 24 8
198 26 21
199 18 1
200 23 45
201 20 27
202 27 12
203 21 39
204 29 46
205 6 31
206 23 31
207 23 32
208 16 46
209 2 39
210 7 39
211 1 36
212 16 26
213 5 13
214 16 13
215 14 30
216 19 35
217 26 27
218 16 16
219 16 6
220 1 21
221 16 16
222 1 40
223 17 29
224 5 20
225 27 11
226 10 20
227 18 15
228 5 43
229 28 43
230 7 43
231 12 15
232 27 28
233 2 24
234 23 9
235 9 6
236 29 16
237 1 32
238 15 19
239 22 40
240 19 30
241 22 48
242 29 2
243 15 46
244 24 42
245 8 50
246 6 9
247 16 12
248 26 7
249 5 31
250 17 15
251 26 48
252 20 8
253 29 36
254 26 42
255 7 16
256 21 31
257 26 20
258 22 30
259 15 25
260 13 4
261 6 8
262 2 41
263 19 50
264 30 5
265 22 16
266 11 19
267 23 2
268 26 43
269 17 1
270 24 14
271 19 5
272 14 34
273 26 27
274 23 42
275 11 35
276 15 26
277 14 8
278 6 14
279 27 17
280 8 38
281 13 40
282 26 45
283 1 33
284 18 27
285 26 21
286 2 4
287 17 37
288 27 2
289 3 49
290 5 13
291 15 39
292 20 28
293 27 8
294 21 5
295 14 10
296 25 6
297 29 50
298 23 39
299 25 40
300 7 20
301 12 11
302 3 41
303 7 9
304 24 10
305 9 39
306 14 45
307 9 16
308 4 27
309 13 14
310 12 48
311 5 26
312 6 25
313 17 8
314 15 11
315 29 31
316 30 12
317 21 4
318 22 40
319 22 48
320 21 22
321 28 24
322 6 16
323 21 39
324 3 15
325 24 24
326 13 30
327 11 20
328 14 27
329 7 18
330 30 27
331 11 21
332 28 41
333 15 42
334 20 38
335 11 30
336 20 28
337 6 27
338 13 48
339 26 37
340 13 21
341 12 27
342 1 12
343 26 4
344 11 24
345 4 30
346 20 24
347 22 39
348 6 26
349 12 48
350 4 22
351 19 25
352 29 36
353 1 44
354 4 18
355 10 46
356 29 44
357 2 41
358 5 19
359 26 47
360 12 19
361 16 41
362 4 30
363 9 10
364 5 11
365 27 20
366 12 37
367 14 33
368 23 47
369 28 6
370 24 7
371 3 4
372 20 24
373 4 7
374 14 40
375 23 35
376 20 31
377 25 4
378 30 5
379 25 16
380 7 23
381 26 1
382 19 31
383 13 31
384 7 10
385 6 41
386 8 40
387 6 20
388 25 40
389 28 8
390 1 30
391 2 40
392 12 16
393 5 23
394 13 9
395 29 39
396 11 26
397 29 40
398 16 21
399 2 33
400 12 10
401 15 2
402 29 22
403 1 14
404 21 48
405 1 43
406 9 13
407 3 41
408 20 29
409 23 2
410 20 3
411 13 22
412 28 31
413 13 34
414 14 35
415 28 35
416 14 44
417 6 44
418 15 8
419 27 28
420 25 28
421 10 36
422 22 4
423 16 23
424 25 40
425 27 24
426 13 19
427 5 20
428 19 8
429 15 2
430 2 24
431 19 37
432 29 26
433 10 36
434 14 39
435 3 40
436 18 34
437 25 9
438 8 50
439 3 22
440 2 9
441 7 34
442 7 41
443 15 26
444 20 12
445 27 43
446 17 17
447 19 6
448 23 11
449 21 26
450 19 3
451 5 16
452 18 42
453 6 25
454 23 8
455 18 34
456 7 46
457 29 45
458 27 26
459 30 38
460 19 49
461 21 25
462 25 11
463 20 9
464 21 22
465 14 21
466 16 1
467 28 14
468 24 15
469 20 36
470 25 38
471 10 43
472 23 40
473 27 21
474 5 7
475 19 3
476 7 39
477 20 23
478 1 9
479 2 22
480 11 17
481 22 6
482 17 32
483 21 12
484 6 11
485 18 20
486 18 19
487 22 32
488 18 49
489 5 25
490 7 15
491 7 13
492 15 6
493 5 5
494 27 18
495 6 49
496 5 20
497 16 3
498 23 27
499 15 48
500 17 12
501 20 36
502 20 33
