590 3158
1 29 31
2 23 13
3 19 39
4 12 3
5 13 47
6 28 48
7 25 5
8 25 15
9 21 46
10 1 44
11 28 47
12 18 48
13 15 21
14 7 22
15 30 1
16 20 38
17 22 15
18 11 22
19 3 42
20 25 46
21 20 14
22 5 7
23 30 21
24 21 11
25 27 41
26 24 16
27 19 13
28 25 25
29 13 33
30 26 32
31 24 36
32 1 17
33 20 23
34 8 4
35 16 12
36 21 8
37 15 47
38 4 47
39 8 36
40 27 36
41 29 10
42 3 17
43 22 18
44 12 4
45 20 39
46 7 33
47 14 9
48 19 25
49 2 39
50 1 49
51 20 31
52 6 27
53 8 21
54 3 47
55 9 31
56 2 37
57 10 34
58 23 13
59 1 46
60 18 1
61 17 6
62 25 10
63 6 36
64 17 49
65 24 17
66 8 25
67 29 5
68 1 26
69 28 25
70 12 36
71 15 5
72 12 46
73 9 26
74 30 41
75 14 29
76 13 10
77 24 28
78 21 50
79 13 7
80 28 38
81 15 47
82 2 24
83 2 15
84 11 29
85 19 25
86 26 46
87 19 37
88 11 19
89 2 3
90 20 37
91 11 4
92 6 15
93 1 17
94 26 45
95 25 15
96 24 2
97 12 46
98 7 15
99 20 27
100 3 48
101 23 8
102 25 32
103 26 36
104 22 9
105 30 13
106 26 20
107 27 41
108 6 49
109 19 1
110 16 36
111 8 29
112 7 29
113 4 13
114 23 35
115 21 37
116 23 44
117 6 29
118 17 41
119 6 28
120 19 5
121 3 46
122 15 9
123 7 10
124 9 47
125 13 4
126 22 30
127 3 20
128 8 8
129 24 2
130 13 25
131 30 27
132 20 35
133 5 46
134 27 21
135 5 27
136 15 17
137 13 49
138 27 11
139 11 36
140 27 23
141 29 41
142 12 23
143 30 11
144 13 44
145 24 25
146 30 3
147 21 39
148 27 7
149 24 15
150 27 10
151 21 4
152 19 15
153 24 5
154 5 14
155 12 34
156 18 33
157 4 39
158 17 35
159 1 39
160 10 14
161 23 1
162 8 15
163 19 4
164 22 24
165 10 50
166 24 13
167 13 14
168 17 7
169 18 2
170 10 12
171 7 8
172 24 12
173 18 2
174 26 1
175 1 28
176 4 3
177 28 32
178 20 17
179 7 41
180 12 9
181 20 27
182 1 45
183 30 47
184 1 10
185 30 20
186 1 36
187 29 16
188 7 29
189 17 45
190 19 7
191 22 44
192 2 1
193 17 31
194 19 16
195 23 11
196 24 14
197 27 44
198 28 29
199 2 8
200 28 42
201 30 10
202 7 10
203 5 26
204 28 43
205 30 16
206 22 43
207 22 13
208 23 38
209 5 12
210 23 17
211 4 28
212 22 12
213 23 40
214 10 15
215 17 29
216 26 28
217 18 34
218 28 14
219 21 25
220 27 30
221 3 8
222 24 6
223 2 17
224 23 18
225 20 48
226 16 5
227 15 17
228 6 48
229 26 8
230 24 5
231 6 19
232 12 24
233 4 21
234 7 15
235 18 45
236 6 42
237 4 20
238 27 25
239 8 41
240 2 19
241 18 27
242 3 15
243 24 40
244 24 1
245 7 27
246 15 35
247 27 39
248 28 50
249 11 46
250 16 8
251 13 12
252 9 46
253 13 47
254 21 20
255 8 14
256 8 25
257 1 12
258 11 36
259 1 4
260 18 50
261 20 45
262 4 28
263 13 43
264 30 43
265 10 45
266 13 32
267 28 3
268 8 42
269 10 50
270 21 37
271 3 50
272 3 5
273 13 4
274 2 16
275 9 30
276 5 41
277 14 50
278 28 8
279 22 47
280 2 33
281 4 4
282 15 1
283 27 44
284 3 8
285 25 5
286 14 7
287 27 6
288 14 19
289 21 5
290 14 20
291 26 50
292 20 11
293 9 27
294 18 42
295 6 20
296 15 19
297 25 41
298 1 33
299 26 15
300 10 30
301 2 35
302 8 28
303 23 1
304 28 3
305 28 34
306 4 45
307 13 33
308 16 34
309 2 23
310 5 39
311 14 1
312 29 21
313 1 29
314 13 28
315 16 45
316 7 19
317 29 45
318 28 21
319 27 45
320 26 6
321 28 49
322 1 13
323 14 8
324 16 47
325 2 20
326 5 26
327 1 45
328 8 13
329 15 50
330 11 20
331 26 49
332 8 25
333 23 35
334 7 42
335 22 24
336 27 11
337 15 49
338 13 10
339 26 20
340 26 40
341 10 42
342 27 12
343 16 14
344 16 10
345 15 18
346 22 11
347 27 21
348 27 11
349 18 35
350 22 39
351 19 1
352 19 35
353 21 24
354 14 9
355 13 1
356 28 34
357 22 14
358 7 29
359 27 23
360 20 41
361 10 23
362 13 8
363 24 39
364 9 1
365 26 22
366 19 36
367 2 39
368 30 25
369 14 15
370 23 7
371 5 30
372 2 8
373 13 39
374 8 21
375 23 27
376 3 4
377 30 16
378 22 45
379 16 30
380 25 31
381 13 35
382 16 25
383 25 37
384 21 39
385 11 33
386 27 17
387 2 38
388 24 6
389 6 13
390 28 38
391 20 40
392 14 41
393 15 5
394 25 11
395 26 31
396 3 38
397 15 11
398 14 39
399 9 14
400 9 50
401 16 25
402 18 9
403 25 44
404 6 42
405 26 43
406 12 47
407 3 25
408 17 39
409 29 23
410 9 14
411 13 44
412 23 17
413 14 17
414 28 2
415 2 38
416 3 30
417 25 23
418 10 29
419 16 6
420 2 21
421 10 3
422 18 34
423 7 6
424 13 7
425 29 23
426 12 31
427 16 25
428 30 21
429 3 9
430 5 26
431 8 27
432 5 12
433 11 45
434 12 16
435 22 14
436 29 1
437 26 8
438 5 45
439 3 7
440 21 41
441 29 25
442 4 47
443 21 25
444 27 43
445 13 43
446 18 30
447 22 23
448 14 22
449 29 35
450 28 20
451 8 28
452 20 14
453 25 6
454 20 47
455 2 10
456 20 43
457 4 13
458 21 36
459 17 9
460 8 21
461 2 48
462 2 23
463 2 45
464 24 40
465 10 33
466 11 29
467 30 30
468 4 44
469 8 3
470 21 49
471 3 30
472 23 48
473 24 33
474 6 32
475 14 13
476 14 45
477 22 5
478 7 33
479 22 10
480 14 33
481 13 34
482 1 4
483 16 5
484 28 3
485 19 40
486 23 23
487 11 48
488 3 16
489 12 8
490 27 25
491 20 50
492 9 34
493 16 37
494 18 7
495 7 42
496 21 41
497 17 2
498 6 44
499 18 43
500 16 16
501 4 1
502 19 4
503 8 11
504 9 31
505 28 17
506 6 39
507 6 26
508 4 24
509 13 42
510 20 11
511 23 23
512 13 11
513 16 48
514 25 33
515 13 2
516 30 26
517 24 40
518 22 3
519 22 50
520 4 21
521 27 39
522 12 34
523 6 35
524 7 28
525 6 39
526 20 10
527 21 42
528 21 38
529 12 27
530 30 34
531 8 21
532 1 32
533 23 42
534 16 16
535 14 19
536 17 12
537 19 48
538 25 25
539 4 4
540 4 10
541 4 44
542 29 6
543 17 41
544 13 28
545 17 14
546 13 45
547 16 24
548 18 48
549 5 13
550 14 8
551 14 2
552 19 42
553 19 16
554 18 34
555 21 22
556 23 14
557 7 12
558 1 3
559 24 13
560 13 21
561 8 45
562 27 13
563 8 46
564 23 33
565 30 26
566 22 43
567 27 13
568 7 27
569 8 4
570 20 48
571 7 5
572 13 45
573 18 35
574 28 21
575 17 32
576 21 24
577 26 9
578 8 44
579 14 50
580 8 14
581 27 21
582 18 3
583 23 44
584 21 10
585 10 43
586 19 26
587 29 23
588 21 16
589 27 20
590 18 5
